system:index,center_lat,center_lon,col,grid_id,groups,numeric_id,region,row,.geo
0,44.11228889687388,-4.887711103126123,0,grid_0000_0000,[],0,Central2,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,44.33686669062163,-4.887711103126123,0,grid_0001_0000,[],1,Central2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,44.56144448436939,-4.887711103126123,0,grid_0002_0000,[],2,Central2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,44.78602227811714,-4.887711103126123,0,grid_0003_0000,[],3,Central2,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,45.01060007186489,-4.887711103126123,0,grid_0004_0000,[],4,Central2,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,45.23517786561265,-4.887711103126123,0,grid_0005_0000,[],5,Central2,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,45.459755659360404,-4.887711103126123,0,grid_0006_0000,[],6,Central2,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,45.68433345310816,-4.887711103126123,0,grid_0007_0000,[],7,Central2,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,45.90891124685591,-4.887711103126123,0,grid_0008_0000,[],8,Central2,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,46.13348904060366,-4.887711103126123,0,grid_0009_0000,[],9,Central2,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,46.35806683435142,-4.887711103126123,0,grid_0010_0000,[],10,Central2,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,46.582644628099175,-4.887711103126123,0,grid_0011_0000,[],11,Central2,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,46.80722242184693,-4.887711103126123,0,grid_0012_0000,[],12,Central2,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,47.031800215594686,-4.887711103126123,0,grid_0013_0000,[],13,Central2,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
