system:index,center_lat,center_lon,col,grid_id,groups,numeric_id,region,row,.geo
0,48.11228889687388,0.11228889687387711,0,grid_0000_0000,"[{treecover_class=1, mean=[75.46915963441813, 30.458477475752147, -0.10052617925136942, -0.905787224737216], median=[64.53666666666666, 26.0, 0.0, -6.486595942235129], stdDev=[40.44120038491576, 16.844807223671364, 7.353193634683263, 49.12421312617745], min=[0, 0, -28, -30], max=[386, 182, 99, 960], count=[11558, 11558, 11558, 11558], p10=[42.478070175438596, 16.0, -6.0, -10.0956312545129], p25=[48.43366336633663, 18.999999999999996, -4.0, -6.486595942235129], p75=[90.3859957518494, 37.0, 3.0, -2.7149043618102326], p90=[122.42592592592592, 50.0, 5.0, 1.2057305950634607]}, {treecover_class=2, mean=[99.46655822456361, 40.210690556691304, -0.08515981286365783, -4.919872424909577], median=[90.38888888888889, 38.0, 0.0, -6.0], stdDev=[44.12463247507403, 17.432240159144765, 5.08649564899043, 6.35527795257895], min=[36, 11, -15, -19], max=[355, 125, 15, 27], count=[798, 798, 798, 798], p10=[52.500140095264776, 20.0, -7.0, -11.0], p25=[66.47817189631651, 27.0, -4.0, -9.0], p75=[122.1, 49.0, 3.0, -2.0], p90=[156.75, 62.0, 6.0, 2.0]}, {treecover_class=3, mean=[110.1179435483871, 44.141129032258064, -0.5725806451612904, -1.622983870967742], median=[106.4074074074074, 42.0, -1.0, -6.49271137026239], stdDev=[45.871326879020785, 18.648711414866273, 7.702427756251308, 55.47582839631874], min=[12, 11, -26, -16], max=[365, 153, 98, 945], count=[992, 992, 992, 992], p10=[54.285714285714285, 23.0, -7.0, -10.208661417322835], p25=[76.29411764705883, 31.0, -4.0, -10.208661417322835], p75=[136.65217391304347, 53.0, 2.0, -2.831460674157303], p90=[170.57142857142858, 68.0, 5.0, 1.2705882352941176]}, {treecover_class=4, mean=[141.04858827093778, 49.8288293077983, -3.9629843532876747, 1.4828959672791149], median=[140.6060606060606, 48.0, -4.0, -2.612305801808128], stdDev=[46.8371358656062, 17.724989291757332, 7.890775622994118, 49.01353868751579], min=[0, 0, -28, -30], max=[412, 155, 99, 955], count=[5391, 5391, 5391, 5391], p10=[80.48837209302326, 29.0, -12.0, -10.308263992455934], p25=[108.56410256410257, 38.0, -8.0, -6.467936383766631], p75=[170.44736842105263, 59.0, 0.0, 1.4365962400194385], p90=[202.51111111111112, 72.0, 3.0, 13.311111111111112]}]",0,East4d,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,48.33686669062163,0.11228889687387711,0,grid_0001_0000,"[{treecover_class=1, mean=[73.64377595596953, 29.746347525426337, -0.30104495614520727, 0.5065077234926162], median=[61.415721034119784, 26.0, -1.0, -6.472984806025883], stdDev=[36.02699508824058, 14.880813930873702, 8.072117093888632, 54.10576639607638], min=[0, 0, -58, -30], max=[587, 236, 99, 960], count=[10632, 10632, 10632, 10632], p10=[41.65241379310345, 16.0, -7.0, -10.101578283248287], p25=[49.530546623794216, 19.0, -4.0, -6.472984806025883], p75=[89.6171875, 37.0, 2.0, -2.6920913248017895], p90=[117.63975155279503, 48.0, 5.0, 5.273439949827532]}, {treecover_class=2, mean=[95.51655629139073, 38.35641180012041, -0.44063816977724257, 0.13606261288380475], median=[90.7, 37.0, -1.0, -6.497757847533633], stdDev=[40.743261315429024, 16.33154588578832, 8.51127280955803, 64.20710502295293], min=[1, 9, -20, -16], max=[332, 171, 98, 946], count=[652, 652, 652, 652], p10=[50.5625, 18.0, -7.0, -10.117647058823529], p25=[64.23809523809524, 27.0, -4.0, -10.117647058823529], p75=[118.63636363636364, 48.0, 2.0, -2.828857919782461], p90=[150.5, 60.0, 5.0, 1.0]}, {treecover_class=3, mean=[106.80676318327906, 41.745453932764114, -1.3974254748255077, -3.918341385744915], median=[98.4375, 40.0, -1.0, -6.0], stdDev=[46.63883215268288, 18.321882349356205, 5.370580021471536, 10.261866459960888], min=[33, 13, -28, -17], max=[317, 145, 23, 107], count=[931, 931, 931, 931], p10=[50.5, 20.0, -8.0, -11.0], p25=[70.52941176470588, 28.0, -5.0, -9.0], p75=[132.14285714285714, 52.0, 2.0, -2.0], p90=[174.8181818181818, 64.0, 5.0, 4.0]}, {treecover_class=4, mean=[153.210949712683, 53.79350427331333, -4.940164677405753, 1.0878906871760388], median=[150.3846153846154, 52.0, -5.0, -2.658960567092936], stdDev=[56.25967026713923, 20.20216261853044, 7.2092361081006135, 38.52477439615258], min=[1, 5, -26, -17], max=[340, 138, 99, 960], count=[7024, 7024, 7024, 7024], p10=[82.43333333333334, 29.0, -13.0, -10.30842806029284], p25=[114.5609756097561, 40.0, -9.0, -6.4451081088074975], p75=[188.5, 65.0, -1.0, 5.468036186260395], p90=[228.44736842105263, 80.0, 2.0, 13.4]}]",1,East4d,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,48.56144448436939,0.11228889687387711,0,grid_0002_0000,"[{treecover_class=1, mean=[74.34734613826997, 30.25697663314228, -0.3146607446340053, 0.7176386793737478], median=[64.50869565217391, 27.0, -1.0, -6.460628441161962], stdDev=[33.28026826528839, 13.788042958493882, 8.287231936372285, 56.62121299732666], min=[1, 5, -27, -17], max=[276, 122, 99, 957], count=[8875, 8875, 8875, 8875], p10=[42.55555555555556, 16.0, -7.0, -10.154552598733378], p25=[50.521362173757595, 20.0, -4.0, -6.460628441161962], p75=[90.52054794520548, 38.0, 2.0, -2.6820774677789765], p90=[118.28206546332143, 49.0, 5.0, 1.3039265818015449]}, {treecover_class=2, mean=[91.9417875738103, 37.464558760625984, 0.14666679777573463, -3.9098739877970234], median=[85.0, 36.0, 0.0, -5.532258064516129], stdDev=[39.56985968373824, 15.801404371866456, 5.700322605215549, 19.29640590293564], min=[4, 11, -15, -19], max=[228, 91, 60, 356], count=[798, 798, 798, 798], p10=[49.0, 19.0, -5.0, -11.24561403508772], p25=[60.0, 24.0, -3.0, -9.456521739130435], p75=[118.0, 47.0, 3.0, -3.574074074074074], p90=[147.0, 58.0, 6.0, 2.6956521739130435]}, {treecover_class=3, mean=[97.61944092555017, 37.77133384154886, 0.11607493189538233, 0.7450701225322586], median=[90.0, 36.0, 0.0, -6.634660421545667], stdDev=[43.3033541223322, 16.45880199659881, 8.674941041122324, 66.04516798175398], min=[0, 0, -14, -30], max=[248, 105, 99, 957], count=[1403, 1403, 1403, 1403], p10=[47.0, 18.0, -7.0, -10.26323639075317], p25=[64.0, 24.0, -4.0, -6.634660421545667], p75=[126.0, 48.0, 3.0, -2.699125783760703], p90=[160.0, 60.0, 5.0, 1.329268292682927]}, {treecover_class=4, mean=[151.48043053333248, 50.946620920268735, -4.657659952579483, 0.60667457410668], median=[154.44642857142858, 50.0, -5.0, -2.6006995045176335], stdDev=[49.74562289593265, 17.608191407475765, 6.280175153643899, 30.672594602690424], min=[2, 4, -24, -19], max=[353, 209, 99, 959], count=[16263, 16263, 16263, 16263], p10=[82.54700854700855, 29.0, -12.0, -10.2953216374269], p25=[116.48823529411764, 39.0, -8.0, -6.43669008360751], p75=[188.5385154675313, 62.0, -1.0, 5.392767042587718], p90=[212.5609756097561, 73.0, 2.0, 13.367123683766657]}]",2,East4d,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,48.78602227811714,0.11228889687387711,0,grid_0003_0000,"[{treecover_class=1, mean=[76.27893459447851, 32.64666076812164, 0.06510675948159737, 2.9447687714571775], median=[65.51743967995999, 26.4379326203769, -1.0, -6.497222393951972], stdDev=[47.82767996141868, 29.63607999293231, 9.622873196361388, 71.44839108486748], min=[0, 0, -55, -30], max=[700, 414, 99, 960], count=[11261, 11261, 11261, 11261], p10=[41.59624639622256, 16.473482350315045, -7.0, -10.09589414555554], p25=[49.43757355781757, 20.491182307202674, -4.0, -6.497222393951972], p75=[85.4020265379976, 36.457907129715245, 2.0, -2.6349143978947245], p90=[117.46450568198247, 48.49230769230769, 6.0, 5.212631675578914]}, {treecover_class=2, mean=[89.42827444260955, 39.071644538832025, 1.0712308270443396, 0.2268967823565712], median=[80.51851851851852, 34.41509433962264, 0.0, -6.575458522553853], stdDev=[43.532463626017886, 26.59571486333895, 8.831747753999426, 72.76338034398069], min=[2, 9, -13, -17], max=[513, 324, 98, 950], count=[1140, 1140, 1140, 1140], p10=[46.4375, 18.50793650793651, -5.0, -10.138478710086124], p25=[60.54838709677419, 24.441809558555274, -3.0, -10.138478710086124], p75=[108.4, 46.59375, 4.0, -2.6070265123039142], p90=[134.14285714285714, 58.6, 6.0, 1.3562011173184356]}, {treecover_class=3, mean=[98.08360224978783, 40.743360201004066, 0.851824236525008, 2.8977430197599654], median=[89.43548387096774, 36.29446120274693, 0.0, -6.580475803144684], stdDev=[50.546004168898165, 27.485046484621847, 9.982979043772719, 78.32605893244727], min=[1, 10, -17, -17], max=[560, 338, 99, 954], count=[1643, 1643, 1643, 1643], p10=[45.589687500000004, 18.568627450980394, -7.0, -10.119448546428334], p25=[61.73838542295161, 26.443037974683545, -3.0, -10.119448546428334], p75=[121.51428571428572, 48.51020408163265, 3.0, -2.878457513082482], p90=[161.375, 64.78787878787878, 6.0, 1.1719745222929936]}, {treecover_class=4, mean=[143.88879007107445, 51.56373208180628, -3.4651915657136216, 1.5012922936302064], median=[145.5050847457627, 50.47599543976692, -4.0, -2.6757673756397238], stdDev=[55.92634108452632, 23.988350546940577, 8.289764831932878, 52.84117272370998], min=[0, 0, -34, -30], max=[615, 363, 99, 959], count=[11610, 11610, 11610, 11610], p10=[73.5340909090909, 28.5375, -11.0, -10.308011471108669], p25=[105.43382352941177, 38.531017369727046, -8.0, -6.492405414712406], p75=[177.4845848775997, 62.476567688075136, 0.0, 1.2898190741786901], p90=[209.47337278106508, 72.49514563106796, 4.0, 9.367272727272727]}]",3,East4d,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,49.01060007186489,0.11228889687387711,0,grid_0004_0000,"[{treecover_class=1, mean=[79.58400361238684, 33.20974558947961, 0.3334388324236526, -0.3086351388224097], median=[61.48977604673807, 26.515378601370685, 0.0, -6.51638425439438], stdDev=[56.479766282319275, 25.872864978435782, 7.844288476206081, 53.0845719441229], min=[0, 0, -33, -30], max=[715, 376, 99, 960], count=[17089, 17089, 17089, 17089], p10=[41.648748841519925, 16.500739644970412, -5.999999999999999, -10.046287705519356], p25=[49.486051054962225, 18.499372545047326, -4.0, -6.51638425439438], p75=[89.38746542437036, 36.45139169019766, 3.0, -2.6571938445361165], p90=[125.1304347826087, 54.44679312454803, 6.0, 1.2195784295437686]}, {treecover_class=2, mean=[86.5063016365329, 36.50191965268577, 0.9918018856628597, 1.243121888289346], median=[73.51309156572117, 30.48366064725175, 0.0, -6.500770416024653], stdDev=[54.83546510964891, 25.32842728107763, 9.10830139117723, 72.25443018265723], min=[2, 7, -19, -20], max=[617, 354, 99, 960], count=[2034, 2034, 2034, 2034], p10=[41.584158415841586, 16.559322033898304, -6.0, -10.16871420106656], p25=[53.66101694915254, 22.62280701754386, -3.0, -10.16871420106656], p75=[101.27272727272727, 42.59130645944633, 4.0, -2.7177951023284996], p90=[141.28571428571428, 56.72222222222222, 7.0, 1.2709744979672293]}, {treecover_class=3, mean=[90.57121464980087, 38.02453959185573, 1.1131549207134381, -1.7487171261667085], median=[78.46530107716757, 34.432, 1.0, -6.5145222111793215], stdDev=[49.209978936592236, 22.092489324897073, 7.154483500280584, 47.35378830475372], min=[0, 0, -24, -30], max=[485, 349, 98, 949], count=[3209, 3209, 3209, 3209], p10=[44.65493910690122, 16.518072289156628, -6.0, -10.178412368455243], p25=[56.47142857142857, 22.58955223880597, -2.0, -10.178412368455243], p75=[108.70282384580904, 46.350515463917525, 4.0, -2.6737142019415248], p90=[144.625, 60.58, 7.0, 1.3367697594501717]}, {treecover_class=4, mean=[134.37679462285996, 51.045016988325735, -2.218940135566721, -2.2273843037118213], median=[129.45637583892616, 48.526505596352564, -2.0, -6.580823776868959], stdDev=[57.637714841867336, 23.06114164719059, 6.690135366099322, 28.047627297989372], min=[0, 0, -63, -30], max=[541, 347, 98, 950], count=[9932, 9932, 9932, 9932], p10=[65.55422446406052, 26.413656431868347, -10.0, -10.2975376241844], p25=[93.44343891402715, 36.50729221829424, -6.0, -10.2975376241844], p75=[165.51639344262296, 62.545732800879975, 2.0, 1.3394816353086927], p90=[205.46902654867256, 74.36507936507937, 5.0, 9.387620212168281]}]",4,East4d,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,49.23517786561265,0.11228889687387711,0,grid_0005_0000,"[{treecover_class=1, mean=[70.853010869805, 30.420888524646426, 0.8426076256139441, 8.861387311669505E-4], median=[62.50250420641207, 26.46538845931303, 0.0, -6.495382031905961], stdDev=[30.635397339238196, 15.916122698417068, 8.052102351072136, 53.19394651748047], min=[1, 4, -31, -19], max=[336, 272, 98, 950], count=[19213, 19213, 19213, 19213], p10=[40.46385873299437, 16.503320336792466, -6.000000000000001, -10.15480366118444], p25=[48.58182029120019, 20.508051180499557, -3.0, -6.495382031905961], p75=[86.47194719471948, 38.46676970633694, 4.0, -2.706767422276335], p90=[110.4478527607362, 48.50413223140496, 7.0, 1.1006820947210783]}, {treecover_class=2, mean=[83.43619074512213, 35.680741256555706, 0.9600037284892218, -2.131947395403541], median=[76.49056603773585, 32.588235294117645, 1.0, -6.600616082229753], stdDev=[36.17348425659084, 17.209436166526768, 7.068267860025813, 45.90603081958228], min=[2, 9, -20, -16], max=[347, 289, 98, 943], count=[2862, 2862, 2862, 2862], p10=[44.602409638554214, 16.52542372881356, -6.0, -10.179386136259405], p25=[56.49230769230769, 22.49645390070922, -2.0, -10.179386136259405], p75=[102.63265306122449, 44.455555555555556, 4.0, -2.7204116638078903], p90=[132.56521739130434, 56.604166666666664, 7.0, 1.1575426065729397]}, {treecover_class=3, mean=[91.94472077453123, 39.84986659349733, 0.8394033224203533, -3.161318057874893], median=[86.52688172043011, 38.587044534412954, 1.0, -6.701621846925637], stdDev=[39.57423960139528, 18.88316281003634, 6.689495625558833, 38.641151780861264], min=[1, 5, -19, -17], max=[438, 292, 98, 947], count=[4819, 4819, 4819, 4819], p10=[46.568627450980394, 18.45049504950495, -5.0, -10.271583775067285], p25=[62.54807692307692, 26.361842105263158, -3.0, -10.271583775067285], p75=[114.36507936507937, 50.46478873239437, 4.0, -2.730195177956372], p90=[144.34883720930233, 62.50515463917526, 6.0, 1.162466770657117]}, {treecover_class=4, mean=[126.29474349640415, 52.01958270443043, -1.0241424132114, -4.110944508567877], median=[124.45762711864407, 50.55272214225112, -1.0, -6.635154208757681], stdDev=[48.62739366908373, 20.31849710745705, 6.428760008962887, 31.978699620187726], min=[2, 7, -24, -17], max=[408, 296, 99, 955], count=[11051, 11051, 11051, 11051], p10=[62.55128205128205, 26.519650655021834, -8.0, -10.378143216005055], p25=[90.46342940951409, 38.459610027855156, -5.0, -10.378143216005055], p75=[158.52082028377677, 64.54147143854053, 2.0, -2.741526877469458], p90=[190.52374839537868, 78.51163957226566, 5.0, 5.2055256948086]}]",5,East4d,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,49.459755659360404,0.11228889687387711,0,grid_0006_0000,"[{treecover_class=1, mean=[71.25862638886474, 28.918673955914517, 0.194202612298866, 0.41391725093563203], median=[60.44186046511628, 24.488188038728946, 0.0, -6.438240350054698], stdDev=[35.096439829193926, 15.837432616291181, 7.827835359738109, 45.628122558668146], min=[0, 0, -41, -30], max=[452, 259, 99, 960], count=[7675, 7675, 7675, 7675], p10=[40.49875853507138, 14.579715972824822, -7.0, -10.159614960602507], p25=[46.604045845877565, 18.4625463128959, -3.0, -6.438240350054698], p75=[86.61016949152543, 34.48829431438127, 4.0, 1.1986878567537482], p90=[118.45098039215686, 48.52427184466019, 6.999999999999999, 5.33235294117647]}, {treecover_class=2, mean=[87.94136095190993, 37.26291566054752, 1.0310127134669653, -3.2344863701160795], median=[77.42424242424242, 34.59375, 1.0, -6.704818340445382], stdDev=[47.20734656703591, 23.535014567419672, 6.273483560997265, 33.45165610073437], min=[2, 9, -14, -16], max=[589, 339, 77, 601], count=[674, 674, 674, 674], p10=[45.55882352941177, 16.636363636363637, -6.0, -10.156862745098039], p25=[57.483870967741936, 22.52783527617387, -2.0, -10.156862745098039], p75=[109.78571428571429, 46.5, 4.0, -2.6375480339000896], p90=[141.55555555555554, 58.333333333333336, 7.0, 1.0790030445327417]}, {treecover_class=3, mean=[104.15756972867253, 42.99296917480537, 0.3734683296732015, -0.13139802985150123], median=[101.0, 41.0, 0.0, -6.707407407407407], stdDev=[44.059928540031876, 18.460884608587953, 8.585880353835936, 62.63773038276168], min=[5, 9, -21, -15], max=[243, 122, 98, 950], count=[932, 932, 932, 932], p10=[50.0, 21.0, -7.0, -10.297515199577056], p25=[69.0, 29.0, -4.0, -10.297515199577056], p75=[135.0, 54.0, 3.0, -2.5428587435571823], p90=[165.0, 67.0, 6.0, 1.2702702702702702]}, {treecover_class=4, mean=[146.0995012913164, 53.79575359997548, -3.4407191904174357, 0.6066102370351069], median=[150.46808510638297, 53.0, -4.0, -6.516329640797064], stdDev=[44.44820370816811, 17.436231638157324, 7.995667017427011, 52.530305521498036], min=[0, 0, -52, -30], max=[328, 126, 99, 960], count=[4098, 4098, 4098, 4098], p10=[84.61111111111111, 32.0, -11.0, -10.352118076386978], p25=[118.55813953488372, 43.0, -8.0, -10.352118076386978], p75=[174.55714285714285, 64.0, 0.0, 1.4483492804555833], p90=[200.4, 76.0, 4.0, 9.308988764044944]}]",6,East4d,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,49.68433345310816,0.11228889687387711,0,grid_0007_0000,"[{treecover_class=1, mean=[77.85631192996283, 31.524638272717038, 0.4979380137371918, 6.294874591825244], median=[65.51063829787235, 26.32576725392911, 0.0, -6.5140043122953655], stdDev=[54.013787014938224, 21.455042574891152, 11.212270707596259, 93.97461727477769], min=[0, 0, -41, -30], max=[731, 380, 99, 960], count=[2232, 2232, 2232, 2232], p10=[41.5, 16.545945945945945, -7.0, -10.035771168698474], p25=[49.452090857665034, 18.586220108634407, -4.0, -6.5140043122953655], p75=[93.19354838709677, 38.39705882352941, 3.0, -2.637833084886413], p90=[125.96138180721074, 50.51346194615221, 6.0, 5.3125]}, {treecover_class=2, mean=[93.77063084024468, 37.95168311629827, 0.2677787368184036, 5.775340563665703], median=[85.0, 34.0, 0.0, -6.413821083237542], stdDev=[42.57326789338907, 16.921931853685262, 11.20427874850565, 94.35589834883326], min=[0, 0, -21, -30], max=[219, 95, 99, 960], count=[209, 209, 209, 209], p10=[47.0, 18.0, -7.0, -10.098039215686274], p25=[61.0, 25.0, -4.0, -10.098039215686274], p75=[119.0, 50.0, 2.0, -2.772727272727273], p90=[161.0, 60.0, 6.0, 5.363636363636363]}, {treecover_class=3, mean=[116.4252494995812, 43.39773711332888, -2.155662185374995, 0.3097627801990318], median=[113.25, 42.0, -2.0, -6.873563218390805], stdDev=[65.69262031520789, 23.77377336842718, 8.09961086258619, 58.47076581710357], min=[19, 14, -27, -14], max=[628, 210, 99, 960], count=[277, 277, 277, 277], p10=[54.142857142857146, 20.0, -10.0, -10.175841857257787], p25=[73.375, 29.0, -6.0, -10.175841857257787], p75=[141.4, 53.0, 1.0, 1.2070597781985393], p90=[177.8, 66.0, 4.0, 8.7]}, {treecover_class=4, mean=[135.1991691495061, 51.92625731928532, -1.7027641756816452, 0.49127325018562557], median=[135.0, 50.0, -2.0, -6.624], stdDev=[51.567275989500025, 20.27049290197341, 8.773657543352925, 67.65554638169154], min=[0, 0, -43, -30], max=[368, 117, 99, 960], count=[418, 418, 418, 418], p10=[68.66666666666667, 26.0, -8.0, -10.356111397627643], p25=[100.0, 38.0, -5.0, -10.356111397627643], p75=[165.0, 66.0, 1.0, -3.0256410256410255], p90=[196.0, 79.0, 5.0, 4.9]}]",7,East4d,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,49.90891124685591,0.11228889687387711,0,grid_0008_0000,[],8,East4d,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,50.13348904060366,0.11228889687387711,0,grid_0009_0000,[],9,East4d,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
