system:index,center_lat,center_lon,col,grid_id,groups,numeric_id,region,row,.geo
0,34.11228889687388,25.112288896873878,0,grid_0000_0000,[],0,East5,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,34.33686669062163,25.112288896873878,0,grid_0001_0000,[],1,East5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,34.56144448436939,25.112288896873878,0,grid_0002_0000,[],2,East5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,34.78602227811714,25.112288896873878,0,grid_0003_0000,[],3,East5,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,35.01060007186489,25.112288896873878,0,grid_0004_0000,"[{treecover_class=1, mean=[50.10380528572144, 21.058065146077237, 4.951463307926639, 36.62992990816798], median=[44.5086626637991, 16.46163996666358, 2.0, -2.455099627921892], stdDev=[23.015201669621746, 16.42204690415989, 19.635956612387677, 178.63408481997], min=[0, 0, -72, -30], max=[423, 259, 99, 960], count=[7279, 7279, 7279, 7279], p10=[34.647214854111404, 12.609215008853646, -5.0, -6.284727066266526], p25=[38.47043701799486, 12.609215008853646, -1.0, -6.284727066266526], p75=[56.44502617801047, 22.473822733637235, 5.0, 1.0149523684813566], p90=[74.47887323943662, 32.448265203616415, 8.0, 9.37667823201086]}, {treecover_class=2, mean=[55.72494989979959, 20.552104208416832, 1.2995991983967934, 1.1528056112224447], median=[48.0, 18.0, 4.0, -1.0], stdDev=[23.00630197479715, 10.24661190616467, 8.073877630977572, 13.132273117104372], min=[35, 12, -25, -10], max=[140, 62, 17, 59], count=[24, 24, 24, 24], p10=[37.0, 12.0, -12.0, -6.0], p25=[39.0, 13.0, -1.0, -5.0], p75=[63.0, 22.0, 6.0, 1.0], p90=[82.0, 26.0, 8.0, 3.0]}, {treecover_class=3, mean=[49.0, 13.25, 2.0, -12.5], median=[62.0, 12.0, 2.0, -7.0], stdDev=[28.583211855912904, 10.328964130056798, 1.4142135623730951, 10.111874208078342], min=[0, 0, 0, -30], max=[72, 29, 4, -6], count=[4, 4, 4, 4], p10=[0.0, 0.0, 0.0, -30.0], p25=[31.0, 6.0, 1.0, -18.5], p75=[67.0, 20.5, 3.0, -6.5], p90=[72.0, 29.0, 4.0, -6.0]}, {treecover_class=4, mean=[123.0, 44.0, -1.0, -8.5], median=[123.0, 44.0, -1.0, -8.5], stdDev=[30.0, 15.0, 2.0, 0.5], min=[93, 29, -3, -9], max=[153, 59, 1, -8], count=[2, 2, 2, 2], p10=[93.0, 29.0, -3.0, -9.0], p25=[93.0, 29.0, -3.0, -9.0], p75=[153.0, 59.0, 1.0, -8.0], p90=[153.0, 59.0, 1.0, -8.0]}]",4,East5,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,35.23517786561265,25.112288896873878,0,grid_0005_0000,"[{treecover_class=1, mean=[52.55886318222309, 21.736224052327774, 4.993096979338164, 36.909533390989694], median=[47.0, 18.0, 2.0, -2.512420664279166], stdDev=[20.42874663390638, 14.381376167892181, 19.74785827397684, 179.36785420088816], min=[0, 0, -76, -30], max=[237, 198, 99, 960], count=[8486, 8486, 8486, 8486], p10=[37.0, 13.026350165205724, -5.0, -6.220731502980109], p25=[41.0, 14.0, -1.0, -6.220731502980109], p75=[60.0, 22.999999999999996, 5.0, 1.127696025689835], p90=[78.0, 33.0, 8.0, 13.4204359934697]}, {treecover_class=2, mean=[59.91503267973856, 28.49673202614379, 10.032679738562091, 85.6078431372549], median=[56.0, 21.0, 3.0, -2.625], stdDev=[29.468926297980293, 22.850215365758004, 28.325239513066716, 271.5207291234206], min=[10, 6, -22, -16], max=[218, 128, 99, 960], count=[153, 153, 153, 153], p10=[34.0, 13.0, -5.0, -9.923076923076923], p25=[43.0, 16.0, 0.0, -6.314285714285714], p75=[70.0, 27.0, 5.0, 1.1666666666666667], p90=[86.0, 63.0, 13.0, 75.0]}, {treecover_class=3, mean=[56.85507246376812, 25.768115942028984, 7.36231884057971, 57.46376811594203], median=[54.0, 21.0, 1.0, -3.0], stdDev=[28.039452206974605, 21.698958051212887, 23.791955170915703, 213.99455361551998], min=[0, 0, -15, -30], max=[152, 107, 98, 950], count=[69, 69, 69, 69], p10=[12.0, 11.0, -6.0, -8.0], p25=[43.0, 15.0, -1.0, -6.0], p75=[73.0, 29.0, 5.0, 4.0], p90=[93.0, 48.0, 8.0, 29.0]}, {treecover_class=4, mean=[76.4423076923077, 35.19230769230769, 9.038461538461538, 68.48076923076923], median=[71.5, 25.0, 3.0, -5.0], stdDev=[36.55944235684931, 26.251035482535265, 26.02658517928686, 246.84567667211832], min=[0, 0, -32, -30], max=[198, 152, 99, 960], count=[52, 52, 52, 52], p10=[42.0, 18.0, -3.0, -9.0], p25=[59.0, 22.0, 0.0, -7.0], p75=[86.0, 39.0, 5.5, 1.0], p90=[120.0, 68.0, 9.0, 22.0]}]",5,East5,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,35.459755659360404,25.112288896873878,0,grid_0006_0000,"[{treecover_class=1, mean=[54.67785468984761, 24.82925520497961, 7.812030478643486, 62.60316054947414], median=[51.0, 19.0, 2.0, -2.661417322834646], stdDev=[26.942328118065213, 20.6871941064998, 25.021463513624386, 234.6813246235544], min=[0, 0, -58, -30], max=[236, 136, 99, 960], count=[440, 440, 440, 440], p10=[33.0, 12.0, -5.0, -10.153420105234007], p25=[42.0, 14.0, -1.0, -6.244631665467995], p75=[64.0, 26.0, 5.0, 1.1868953386103782], p90=[79.0, 43.0, 9.0, 17.11111111111111]}, {treecover_class=2, mean=[62.45, 21.2, 5.6, 47.9], median=[60.0, 19.5, 3.0, -5.0], stdDev=[17.194403159167805, 12.327205684987982, 22.439696967650878, 208.94685927287827], min=[18, 10, -24, -9], max=[94, 69, 99, 957], count=[20, 20, 20, 20], p10=[45.0, 10.5, -6.0, -8.5], p25=[53.0, 15.0, -0.5, -7.0], p75=[78.0, 23.5, 4.5, 0.5], p90=[84.5, 28.5, 6.0, 34.5]}, {treecover_class=3, mean=[37.75, 48.25, 43.5, 390.5], median=[28.0, 49.5, 47.0, 391.5], stdDev=[31.885537473908137, 25.810608284191986, 45.76843890717707, 389.50256738563354], min=[9, 20, -9, -1], max=[86, 74, 89, 780], count=[4, 4, 4, 4], p10=[9.0, 20.0, -9.0, -1.0], p25=[9.0, 22.5, -2.0, 1.0], p75=[66.5, 74.0, 89.0, 780.0], p90=[86.0, 74.0, 89.0, 780.0]}, {treecover_class=4, mean=[81.33333333333333, 29.333333333333332, 2.6666666666666665, -8.0], median=[87.0, 30.0, 2.0, -9.0], stdDev=[8.013876853447563, 3.299831645537214, 0.9428090415820636, 1.4142135623730951], min=[70, 25, 2, -9], max=[87, 33, 4, -6], count=[3, 3, 3, 3], p10=[70.0, 25.0, 2.0, -9.0], p25=[70.0, 25.0, 2.0, -9.0], p75=[87.0, 33.0, 4.0, -6.0], p90=[87.0, 33.0, 4.0, -6.0]}]",6,East5,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,35.68433345310816,25.112288896873878,0,grid_0007_0000,[],7,East5,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,35.90891124685591,25.112288896873878,0,grid_0008_0000,"[{treecover_class=1, mean=[215.0, 45.0, -10.0, 27.0], median=[215.0, 45.0, -10.0, 27.0], stdDev=[0.0, 0.0, 0.0, 0.0], min=[215, 45, -10, 27], max=[215, 45, -10, 27], count=[1, 1, 1, 1], p10=[215.0, 45.0, -10.0, 27.0], p25=[215.0, 45.0, -10.0, 27.0], p75=[215.0, 45.0, -10.0, 27.0], p90=[215.0, 45.0, -10.0, 27.0]}]",8,East5,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,36.13348904060366,25.112288896873878,0,grid_0009_0000,[],9,East5,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
