system:index,center_lat,center_lon,col,grid_id,groups,numeric_id,region,row,.geo
0,44.11228889687388,30.112288896873878,0,grid_0000_0000,[],0,East6b,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,44.33686669062163,30.112288896873878,0,grid_0001_0000,[],1,East6b,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,44.56144448436939,30.112288896873878,0,grid_0002_0000,[],2,East6b,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,44.78602227811714,30.112288896873878,0,grid_0003_0000,[],3,East6b,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,45.01060007186489,30.112288896873878,0,grid_0004_0000,"[{treecover_class=1, mean=[95.0, 29.0, -4.0, -4.0], median=[95.0, 29.0, -4.0, -4.0], stdDev=[0.0, 0.0, 0.0, 0.0], min=[95, 29, -4, -4], max=[95, 29, -4, -4], count=[4, 4, 4, 4], p10=[95.0, 29.0, -4.0, -4.0], p25=[95.0, 29.0, -4.0, -4.0], p75=[95.0, 29.0, -4.0, -4.0], p90=[95.0, 29.0, -4.0, -4.0]}]",4,East6b,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,45.23517786561265,30.112288896873878,0,grid_0005_0000,[],5,East6b,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,45.459755659360404,30.112288896873878,0,grid_0006_0000,"[{treecover_class=1, mean=[84.8724338566253, 38.398836315731685, 0.6930508288505872, 1.793391151608299], median=[79.0, 35.0, 0.0, -9.763683488336635], stdDev=[32.02547673456481, 17.31058932000976, 10.641040096737555, 101.89243274437244], min=[0, 0, -8, -30], max=[225, 103, 99, 960], count=[179, 179, 179, 179], p10=[53.0, 20.0, -4.0, -9.763683488336635], p25=[66.0, 27.0, -2.0, -9.763683488336635], p75=[100.0, 47.0, 1.0, -7.410256410256411], p90=[120.0, 57.0, 2.0, -7.410256410256411]}]",6,East6b,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,45.68433345310816,30.112288896873878,0,grid_0007_0000,"[{treecover_class=1, mean=[82.13333333333334, 42.666666666666664, 1.2666666666666666, -10.6], median=[77.0, 46.0, 1.0, -11.0], stdDev=[30.728633046214227, 17.445789049382533, 1.8427033281447005, 1.451436070471814], min=[35, 21, -1, -12], max=[144, 75, 5, -7], count=[15, 15, 15, 15], p10=[48.0, 21.0, -1.0, -12.0], p25=[60.0, 26.0, 0.0, -12.0], p75=[95.0, 51.0, 3.0, -10.0], p90=[144.0, 75.0, 4.0, -8.0]}]",7,East6b,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,45.90891124685591,30.112288896873878,0,grid_0008_0000,"[{treecover_class=1, mean=[61.655868532535756, 24.860160637648043, -0.08746706097944286, 5.7954845124827274], median=[57.50617283950617, 22.601869392343403, -1.0, -2.64265028096683], stdDev=[26.232502994734293, 13.352827037791574, 10.599935730414472, 78.01451436040894], min=[1, 6, -17, -17], max=[551, 319, 97, 930], count=[1988, 1988, 1988, 1988], p10=[41.47878787878788, 14.58867126749611, -7.0, -10.017182130584192], p25=[45.552475971359144, 18.485241106556533, -4.0, -6.401746884035084], p75=[73.36633663366337, 28.450485195322223, 2.0, -2.64265028096683], p90=[89.37520012808196, 34.39444375696077, 4.0, 5.063291139240507]}, {treecover_class=2, mean=[58.19672131147541, 23.59016393442623, 3.2295081967213113, 19.885245901639344], median=[54.0, 22.0, 1.0, -4.0], stdDev=[23.82643501751037, 8.966928397793653, 15.136963164931405, 112.65588083732963], min=[2, 11, -11, -12], max=[133, 57, 78, 627], count=[61, 61, 61, 61], p10=[44.0, 16.0, -6.0, -8.0], p25=[48.0, 18.0, -3.0, -6.0], p75=[63.0, 26.0, 4.0, -1.0], p90=[86.0, 33.0, 6.0, 6.0]}, {treecover_class=3, mean=[64.0, 24.818181818181817, 0.6727272727272727, -2.8545454545454545], median=[62.0, 25.0, 1.0, -5.0], stdDev=[21.369476957907636, 7.5800957276059115, 3.7997825079125276, 6.168595484219555], min=[39, 12, -9, -9], max=[148, 54, 9, 19], count=[55, 55, 55, 55], p10=[40.0, 15.0, -4.0, -8.0], p25=[45.0, 20.0, -2.0, -7.0], p75=[73.0, 29.0, 4.0, 0.0], p90=[83.0, 33.0, 6.0, 3.0]}, {treecover_class=4, mean=[60.52873563218391, 26.24712643678161, 5.431034482758621, 39.310344827586206], median=[59.0, 24.0, 2.0, -2.6818181818181817], stdDev=[20.31156121746994, 12.89265440937769, 20.337479191123606, 183.97456160641312], min=[10, 11, -37, -12], max=[129, 88, 99, 960], count=[174, 174, 174, 174], p10=[38.0, 17.0, -3.0, -6.325], p25=[52.0, 20.0, 0.0, -6.325], p75=[69.0, 27.0, 4.0, 1.0454545454545454], p90=[84.0, 34.0, 9.0, 10.0]}]",8,East6b,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,46.13348904060366,30.112288896873878,0,grid_0009_0000,"[{treecover_class=1, mean=[59.51614521008958, 24.040957220033327, 0.13855963882841674, 0.7605642070228268], median=[54.492537313432834, 22.0, 0.0, -2.625228488593983], stdDev=[21.72659370813902, 9.744336984885035, 7.943094448889495, 51.1022633705766], min=[2, 5, -34, -17], max=[268, 143, 98, 949], count=[3813, 3813, 3813, 3813], p10=[40.50560407703529, 15.0, -7.0, -10.067964081322918], p25=[44.5375, 18.0, -3.0, -6.421602422820176], p75=[70.4, 28.0, 3.0, -2.625228488593983], p90=[86.49019607843137, 35.0, 5.0, 1.0869565217391304]}, {treecover_class=2, mean=[72.30909090909091, 28.454545454545453, 0.9151515151515152, -5.381818181818182], median=[68.0, 26.0, 1.0, -6.0], stdDev=[22.186979032024457, 9.532371987206506, 3.527220659826057, 3.678722978809486], min=[32, 12, -9, -13], max=[136, 58, 8, 16], count=[165, 165, 165, 165], p10=[46.0, 18.0, -5.0, -10.0], p25=[57.0, 22.0, -1.0, -7.0], p75=[86.0, 35.0, 3.0, -4.0], p90=[106.0, 42.0, 5.0, -1.0]}, {treecover_class=3, mean=[67.24, 27.36, 3.6533333333333333, 19.066666666666666], median=[66.0, 24.0, 2.0, -5.0], stdDev=[19.78743035363612, 16.182822168377594, 14.892945384383246, 126.96680231024521], min=[13, 12, -18, -10], max=[118, 113, 89, 780], count=[75, 75, 75, 75], p10=[48.0, 18.0, -4.0, -9.0], p25=[54.0, 21.0, 0.0, -7.0], p75=[81.0, 27.0, 4.0, -3.0], p90=[94.0, 39.0, 6.0, 2.0]}, {treecover_class=4, mean=[72.24545454545455, 27.463636363636365, 2.5090909090909093, 20.8], median=[69.0, 25.0, 1.0, -6.054545454545455], stdDev=[22.105608652201756, 13.802290503409056, 15.971420756831108, 138.39448228622675], min=[12, 11, -30, -16], max=[127, 120, 97, 932], count=[110, 110, 110, 110], p10=[47.0, 17.5, -5.0, -6.054545454545455], p25=[59.0, 21.0, -2.0, -6.054545454545455], p75=[85.0, 30.0, 3.0, -2.9696969696969697], p90=[105.0, 37.5, 5.0, 2.738095238095238]}]",9,East6b,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
