grid_id,numeric_id,row,col,center_lon,center_lat,region,rh100_x10_mean,rh100_x10_median,rh100_x10_stdDev,rh100_x10_min,rh100_x10_max,rh100_x10_count,rh100_x10_p10,rh100_x10_p25,rh100_x10_p75,rh100_x10_p90
grid_0018_0022,1008,18,22,-9.946999640675529,38.154689184333456,West3,209.0,209.0,0.0,209,209,1,209.0,209.0,209.0,209.0
grid_0020_0022,1010,20,22,-9.946999640675529,38.60384477182896,West3,223.27272727272728,235.0,91.26992027556194,89,377,11,96.0,140.0,295.0,333.0
grid_0021_0022,1011,21,22,-9.946999640675529,38.828422565576716,West3,169.0408163265306,170.0,51.4928008376814,73,294,49,104.0,128.0,202.0,246.0
grid_0022_0022,1012,22,22,-9.946999640675529,39.05300035932447,West3,168.30263157894737,169.0,52.59362930764524,88,266,16,91.0,133.0,203.0,237.0
grid_0024_0022,1014,24,22,-9.946999640675529,39.50215594681998,West3,201.0,201.0,0.0,201,201,2,201.0,201.0,201.0,201.0
grid_0035_0022,1025,35,22,-9.946999640675529,41.97251167804528,West3,113.0,113.0,0.0,113,113,1,113.0,113.0,113.0,113.0
grid_0037_0022,1027,37,22,-9.946999640675529,42.42166726554078,West3,480.0,480.0,353.0,127,833,2,127.0,127.0,833.0,833.0
grid_0038_0022,1028,38,22,-9.946999640675529,42.64624505928854,West3,128.33333333333334,124.0,6.128258770283346,124,137,3,124.0,124.0,137.0,137.0
grid_0039_0022,1029,39,22,-9.946999640675529,42.870822853036294,West3,163.0,163.0,0.0,163,163,2,163.0,163.0,163.0,163.0
grid_0043_0022,1033,43,22,-9.946999640675529,43.76913402802731,West3,139.0,139.0,32.0,107,171,2,107.0,107.0,171.0,171.0
grid_0018_0023,1053,18,23,-9.722421846927777,38.154689184333456,West3,147.0,147.0,0.0,147,147,1,147.0,147.0,147.0,147.0
grid_0020_0023,1055,20,23,-9.722421846927777,38.60384477182896,West3,180.64705882352942,174.0,77.38364409681431,84,342,17,91.0,122.0,204.0,342.0
grid_0022_0023,1057,22,23,-9.722421846927777,39.05300035932447,West3,82.42857142857144,77.0,8.956685895029624,77,96,3,77.0,77.0,96.0,96.0
grid_0024_0023,1059,24,23,-9.722421846927777,39.50215594681998,West3,211.66666666666666,171.0,114.17773668958215,118,460,6,118.0,152.0,198.0,460.0
grid_0025_0023,1060,25,23,-9.722421846927777,39.72673374056773,West3,209.0,201.0,45.84134129177038,129,271,7,129.0,169.0,246.0,271.0
grid_0038_0023,1073,38,23,-9.722421846927777,42.64624505928854,West3,245.0,245.0,0.0,245,245,1,245.0,245.0,245.0,245.0
grid_0043_0023,1078,43,23,-9.722421846927777,43.76913402802731,West3,141.1764705882353,132.0,42.415639865388236,62,218,17,73.0,119.0,172.0,203.0
grid_0020_0024,1100,20,24,-9.497844053180021,38.60384477182896,West3,146.97194064142087,136.3684210526316,54.607325686251926,62,460,881,90.69367088607594,108.25,170.53846153846155,216.84297520661158
grid_0021_0024,1101,21,24,-9.497844053180021,38.828422565576716,West3,145.26023777704694,125.62295081967213,72.63621453181962,59,1052,5670,77.48995983935743,89.51852612131786,185.44594594594594,237.6530612244898
grid_0022_0024,1102,22,24,-9.497844053180021,39.05300035932447,West3,114.50936366615066,102.625,42.037752805822834,55,358,1394,72.49834894534673,80.5941098471631,140.69230769230768,174.14285714285714
