grid_id,numeric_id,row,col,center_lon,center_lat,region,rh50_x10_mean,rh50_x10_median,rh50_x10_stdDev,rh50_x10_min,rh50_x10_max,rh50_x10_count,rh50_x10_p10,rh50_x10_p25,rh50_x10_p75,rh50_x10_p90,rh_non_ground50_x10_mean,rh_non_ground50_x10_median,rh_non_ground50_x10_stdDev,rh_non_ground50_x10_min,rh_non_ground50_x10_max,rh_non_ground50_x10_count,rh_non_ground50_x10_p10,rh_non_ground50_x10_p25,rh_non_ground50_x10_p75,rh_non_ground50_x10_p90
grid_0004_0000,4,4,0,30.112288896873878,45.01060007186489,East6b,66.0,66.0,0.0,66,66,4,66.0,66.0,66.0,66.0,98.0,98.0,0.0,98,98,4,98.0,98.0,98.0,98.0
grid_0006_0000,6,6,0,30.112288896873878,45.459755659360404,East6b,70.13283565704248,66.0,41.48217854670537,-20,238,179,25.0,36.5,86.0,114.0,86.09100889230432,78.0,35.478886851944075,0,244,179,52.0,65.0,97.0,125.0
grid_0007_0000,7,7,0,30.112288896873878,45.68433345310816,East6b,65.06666666666666,61.0,37.27459665181577,15,136,15,23.0,32.0,84.0,136.0,79.8,71.0,32.16250404845161,32,145,15,47.0,57.0,96.0,145.0
grid_0008_0000,8,8,0,30.112288896873878,45.90891124685591,East6b,12.85678387193024,1.1854337559035546,29.733521872085163,-15,619,2278,1.1854337559035546,1.1854337559035546,9.406758188602755,41.142857142857146,61.78438071847798,57.453125,28.10148472653022,0,621,2278,41.383233532934135,49.43605766157387,73.55855855855856,89.15800718655917
grid_0009_0000,9,9,0,30.112288896873878,46.13348904060366,East6b,10.414251654230076,4.0,18.633734632710528,-13,154,4163,0.0,0.0,11.0,30.0,60.36964968801635,54.46524064171123,23.3899075239521,0,302,4163,38.51898734177215,44.50892857142857,70.52252252252252,90.39569940146308
grid_0010_0000,10,10,0,30.112288896873878,46.35806683435142,East6b,22.27431725641291,4.377598574349836,38.43076949963318,-25,259,7114,-1.1893603013228808,0.49456923137214703,20.365809922295277,80.38461538461539,79.22847639476676,65.46315789473684,49.46215931492018,0,580,7114,37.61045504010318,45.38336134808386,97.4060606060606,137.03690739376074
grid_0011_0000,11,11,0,30.112288896873878,46.582644628099175,East6b,10.991870961535378,3.0,26.604527557722065,-19,233,3924,0.0,1.0,8.0,23.0,66.46423303243598,49.22592592592593,39.889476705945796,0,570,3924,37.61680016222245,41.39449831946664,81.44594594594595,116.99297937691969
grid_0012_0000,12,12,0,30.112288896873878,46.80722242184693,East6b,8.764431405739826,4.0,15.818356640547188,-21,143,5842,0.0,1.0,9.0,24.0,51.501475257422165,47.0,17.68883766677947,0,159,5842,37.0,41.0,58.0,75.0
grid_0013_0000,13,13,0,30.112288896873878,47.031800215594686,East6b,9.171239630479409,4.0,16.858227908523197,-22,195,6563,0.0,1.0,11.0,25.0,52.234425163947996,48.02452126557552,18.809763770549704,0,209,6563,38.0,42.0,58.0,74.0
grid_0014_0000,14,14,0,30.112288896873878,47.256378009342434,East6b,17.48390231411718,5.121712222795255,42.7244832475049,-23,565,4266,1.3277997653733975,1.3277997653733975,13.401960784313726,49.42857142857143,60.30646025915459,49.45679012345679,46.23768670425523,0,598,4266,37.79703602371182,41.504081595327655,65.67087460205165,85.32051282051282
grid_0015_0000,15,15,0,30.112288896873878,47.48095580309019,East6b,7.3600068099343625,3.0,15.68583731873171,-18,135,4245,-1.0,0.0,8.0,21.0,51.39838393595701,46.44761904761905,19.6401452168972,0,274,4245,36.464349688833074,40.521928746928744,58.403361344537814,74.53030303030303
grid_0016_0000,16,16,0,30.112288896873878,47.705533596837945,East6b,12.426354627734987,4.0,24.81075988597336,-27,194,4814,-1.0,1.0,12.0,37.0,57.297288826458626,52.0,24.163748077068952,0,202,4814,38.00000000000001,43.0,67.0,86.0
grid_0017_0000,17,17,0,30.112288896873878,47.9301113905857,East6b,23.232759702879033,5.331129114940316,39.47911482505575,-18,554,8767,1.320784108010767,1.320784108010767,25.587570621468927,77.42857142857143,68.79526396206725,57.51562942752819,40.5022079380132,0,631,8767,37.74113279089975,45.47951449912126,81.58284713031485,113.57977294921875
