system:index,center_lat,center_lon,col,grid_id,numeric_id,region,rh_ng_kurtosis_x10_count,rh_ng_kurtosis_x10_max,rh_ng_kurtosis_x10_mean,rh_ng_kurtosis_x10_median,rh_ng_kurtosis_x10_min,rh_ng_kurtosis_x10_p10,rh_ng_kurtosis_x10_p25,rh_ng_kurtosis_x10_p75,rh_ng_kurtosis_x10_p90,rh_ng_kurtosis_x10_stdDev,rh_ng_mean_x10_count,rh_ng_mean_x10_max,rh_ng_mean_x10_mean,rh_ng_mean_x10_median,rh_ng_mean_x10_min,rh_ng_mean_x10_p10,rh_ng_mean_x10_p25,rh_ng_mean_x10_p75,rh_ng_mean_x10_p90,rh_ng_mean_x10_stdDev,rh_ng_skewness_x10_count,rh_ng_skewness_x10_max,rh_ng_skewness_x10_mean,rh_ng_skewness_x10_median,rh_ng_skewness_x10_min,rh_ng_skewness_x10_p10,rh_ng_skewness_x10_p25,rh_ng_skewness_x10_p75,rh_ng_skewness_x10_p90,rh_ng_skewness_x10_stdDev,rh_ng_std_x10_count,rh_ng_std_x10_max,rh_ng_std_x10_mean,rh_ng_std_x10_median,rh_ng_std_x10_min,rh_ng_std_x10_p10,rh_ng_std_x10_p25,rh_ng_std_x10_p75,rh_ng_std_x10_p90,rh_ng_std_x10_stdDev,row,.geo
11,36.582644628099175,15.112288896873878,0,grid_0011_0000,11,East3,500,2,-10.090446161122497,-10.0,-12,-11.0,-11.0,-10.0,-9.0,1.0485876215176264,500,688,595.0333359609018,592.0,515,577.0,584.0,605.0,619.0,18.432739894003173,500,0,-3.3387040832413684,-3.0,-8,-4.0,-4.0,-3.0,-3.0,0.7662271203761972,500,285,268.93261863471537,271.0,220,257.0,266.0,276.0,278.0,9.768565094218935,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,36.80722242184693,15.112288896873878,0,grid_0012_0000,12,East3,6055,154,-9.623249931669024,-9.999999999999998,-30,-10.999999999999998,-10.999999999999998,-9.999999999999998,-9.000000000000002,4.8198380252976785,6055,970,600.16373725327,597.492464290583,0,573.7563934499078,585.5960267223089,609.4943231052947,629.4568965517242,37.072112188262906,6055,0,-3.6400421477156684,-3.0,-39,-5.0,-4.0,-3.0,-3.0,1.5018363652351876,6055,313,267.3561280714045,270.45088442096977,0,254.53932584269663,264.4787807768619,276.45440251572325,278.42386117543384,18.517063735921575,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,37.031800215594686,15.112288896873878,0,grid_0013_0000,13,East3,12256,124,-9.686965323172997,-9.99061622947198,-30,-11.0,-9.99061622947198,-9.000000000000002,-9.000000000000002,2.8166943523478825,12256,903,599.3871775988704,597.5365642014941,0,573.68,585.6161807893417,609.4619987255504,629.433962264151,39.0732895708253,12256,0,-3.647728464083856,-4.0,-33,-5.0,-4.0,-3.0,-3.0,1.2638493290411106,12256,313,267.22167950120826,270.55367297833305,0,254.48308338117104,264.5517752866959,274.48923372317324,278.4511054073953,18.20930165098999,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,37.256378009342434,15.112288896873878,0,grid_0014_0000,14,East3,7900,110,-9.688170641168286,-10.000000000000002,-30,-11.0,-10.000000000000002,-9.000000000000004,-8.0,3.0743445805934515,7900,932,598.6747767266243,597.5166546452094,0,573.5301114425312,585.5289278087703,613.3988735867589,629.2384615384616,44.06481407464224,7900,0,-3.6618455806102976,-4.0,-30,-5.0,-4.0,-3.0000000000000004,-3.0000000000000004,1.313861093343031,7900,311,267.25501929695014,270.5178462982983,0,254.51639209676534,264.5261780104712,274.46446619442855,278.4721511840313,20.053211416401062,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,37.48095580309019,15.112288896873878,0,grid_0015_0000,15,East3,7346,330,-9.318418695633095,-9.668928256215956,-30,-11.121698619318375,-11.121698619318375,-9.668928256215956,-7.6875753920386005,5.237701168424999,7346,976,600.9479854083488,597.5066461712114,0,561.5540540540541,581.5713911825902,617.4742268041238,637.2971014492754,35.20562325257155,7346,0,-3.741172083248172,-4.0,-55,-5.0,-4.0,-2.9999999999999996,-2.0,1.6835078295830839,7346,308,266.8023460498423,270.5208536982731,0,252.5,262.504132231405,274.45747675698397,278.485081370022,14.255763159874808,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,37.705533596837945,15.112288896873878,0,grid_0016_0000,16,East3,17293,103,-9.258589759306936,-10.000000000000002,-30,-10.999999999999998,-10.000000000000002,-9.0,-8.0,2.1893254628921297,17293,886,605.7220081366153,605.5320909043245,0,577.6425619834711,589.4678564754252,621.5156390078693,637.4776470588235,29.194060212233598,17293,0,-3.9812294825167203,-4.0,-32,-5.0,-5.0,-2.9999999999999996,-2.9999999999999996,1.267742676235169,17293,311,266.8809477431336,268.5059312561699,0,256.52777777777777,262.5469391071211,272.4859343013821,276.44905351338286,11.893609766266081,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,37.9301113905857,15.112288896873878,0,grid_0017_0000,17,East3,20337,189,-9.090542526669143,-9.0,-30,-10.953031425279498,-9.964222184522326,-9.0,-7.0,2.9255016664223996,20337,919,608.5021924290281,609.531330845607,0,581.5909572813073,593.4726583124478,625.4746629814688,637.4972584557011,33.1719818264383,20337,0,-4.109116918340618,-4.0,-41,-5.0,-5.0,-3.0,-3.0,1.321627530860096,20337,308,265.9638307180446,268.51599354461086,0,254.52488415236473,262.5116406665848,272.49861304599756,276.4699437468498,13.943647892337337,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,38.154689184333456,15.112288896873878,0,grid_0018_0000,18,East3,6573,76,-9.27428551610982,-9.999999999999998,-30,-11.0,-9.999999999999998,-9.0,-7.990084246626408,2.7853661840840815,6573,936,605.4310988545774,605.375,0,577.6272217743483,589.46,621.5033546984521,637.4375838507378,37.984952380583955,6573,0,-4.003431005575235,-3.9881778310593066,-27,-5.778839845597547,-4.999999999999999,-3.0,-3.0,1.329081127595766,6573,317,266.7321405934957,268.51892402453143,0,254.59354838709677,262.5254607291091,274.48021034599526,278.4770408163265,16.851854835874683,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,38.379266978081205,15.112288896873878,0,grid_0019_0000,19,East3,26,-2,-8.795470383275262,-9.0,-11,-11.0,-10.0,-8.0,-5.0,2.099591394454796,26,678,617.3771777003486,616.0,553,586.0,589.0,639.0,669.0,30.44796220384621,26,-2,-4.368815331010453,-4.0,-8,-6.0,-5.0,-3.0,-3.0,1.3570983664905651,26,281,262.88101045296173,270.0,220,237.0,257.0,271.0,277.0,14.016526593685066,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,38.60384477182896,15.112288896873878,0,grid_0020_0000,20,East3,98,-6,-9.561224489795919,-10.0,-12,-11.0,-10.0,-9.0,-8.0,1.17860455824096,98,694,600.9285714285714,603.0,544,569.0,587.0,616.0,630.0,25.505201550320066,98,-1,-3.826530612244898,-4.0,-6,-5.0,-4.0,-3.0,-3.0,1.01041020366737,98,285,269.2857142857143,270.0,221,260.0,266.0,275.0,279.0,8.89622712968015,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
