system:index,center_lat,center_lon,col,grid_id,numeric_id,region,rh_ng_kurtosis_x10_count,rh_ng_kurtosis_x10_max,rh_ng_kurtosis_x10_mean,rh_ng_kurtosis_x10_median,rh_ng_kurtosis_x10_min,rh_ng_kurtosis_x10_p10,rh_ng_kurtosis_x10_p25,rh_ng_kurtosis_x10_p75,rh_ng_kurtosis_x10_p90,rh_ng_kurtosis_x10_stdDev,rh_ng_mean_x10_count,rh_ng_mean_x10_max,rh_ng_mean_x10_mean,rh_ng_mean_x10_median,rh_ng_mean_x10_min,rh_ng_mean_x10_p10,rh_ng_mean_x10_p25,rh_ng_mean_x10_p75,rh_ng_mean_x10_p90,rh_ng_mean_x10_stdDev,rh_ng_skewness_x10_count,rh_ng_skewness_x10_max,rh_ng_skewness_x10_mean,rh_ng_skewness_x10_median,rh_ng_skewness_x10_min,rh_ng_skewness_x10_p10,rh_ng_skewness_x10_p25,rh_ng_skewness_x10_p75,rh_ng_skewness_x10_p90,rh_ng_skewness_x10_stdDev,rh_ng_std_x10_count,rh_ng_std_x10_max,rh_ng_std_x10_mean,rh_ng_std_x10_median,rh_ng_std_x10_min,rh_ng_std_x10_p10,rh_ng_std_x10_p25,rh_ng_std_x10_p75,rh_ng_std_x10_p90,rh_ng_std_x10_stdDev,row,.geo
16,47.705533596837945,-4.887711103126123,0,grid_0016_0000,16,Central2,49,-7,-10.673469387755102,-11.0,-15,-12.0,-12.0,-10.0,-8.0,1.6336731507093487,49,127,80.53061224489795,82.0,8,37.0,62.0,107.0,122.0,29.86438875905025,49,6,0.7755102040816326,1.0,-4,-2.0,0.0,2.0,4.0,2.2063480411003393,49,90,56.48979591836735,55.0,30,32.0,48.0,67.0,77.0,16.020551149758358,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,47.9301113905857,-4.887711103126123,0,grid_0017_0000,17,Central2,24,21,-3.5695732838589986,-11.0,-12,-11.0,-11.0,-4.0,13.0,10.784505345891185,24,97,38.041828301568565,35.0,1,5.0,16.0,58.0,67.0,27.193238538692338,24,11,3.6668915500084336,2.0,-3,-2.0,1.0,7.0,11.0,4.317277948996206,24,57,37.95648507336819,42.0,21,25.0,26.0,49.0,54.0,11.033723558053993,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,48.154689184333456,-4.887711103126123,0,grid_0018_0000,18,Central2,347,4,-10.053392293685889,-10.0,-14,-12.0,-11.0,-10.0,-9.0,1.7131055987733894,347,196,74.62887775528438,72.0,-10,23.0,52.0,97.0,118.0,38.3045737790856,347,9,0.36551271756709375,0.0,-7,-2.0,-1.0,2.0,3.0,2.1426391841344175,347,119,54.351918661856345,53.0,17,36.0,43.0,63.0,74.0,16.415611428829926,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,48.379266978081205,-4.887711103126123,0,grid_0019_0000,19,Central2,478,174,2.3527734148962556,-1.0,-17,-12.0,-8.0,6.0,17.0,20.49707958963732,478,517,72.4418864181202,17.38888888888889,-8,1.6944526846633048,5.507042253521127,76.4,273.0,113.98080231023752,478,40,2.4891708688104495,2.0,-17,-6.0,-2.0,6.0,12.0,7.901485314631853,478,322,70.06613209886748,30.5625,17,22.529411764705884,24.406779661016948,70.5,232.66666666666666,78.49035854273404,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,48.60384477182896,-4.887711103126123,0,grid_0020_0000,20,Central2,18,86,6.653950953678475,2.0,-10,-9.0,-7.0,6.0,18.0,21.043752188543742,18,230,52.32425068119891,17.0,-4,5.0,6.0,63.0,180.0,62.25594324348321,18,15,-1.8079019073569484,-1.0,-27,-15.0,-5.0,3.0,6.0,9.383627717242542,18,68,36.71934604904633,31.0,23,25.0,26.0,40.0,55.0,12.259035468473197,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,48.828422565576716,-4.887711103126123,0,grid_0021_0000,21,Central2,245,-5,-10.383673469387755,-10.0,-14,-12.0,-11.0,-10.0,-9.0,1.205319322373938,245,169,79.15918367346939,77.0,-9,32.0,51.0,108.0,126.0,36.220683674721315,245,9,0.39591836734693875,0.0,-4,-2.0,-1.0,1.0,3.0,1.9572950080246336,245,99,55.85306122448979,53.0,20,37.0,45.0,66.0,77.0,16.467991241401112,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,49.05300035932447,-4.887711103126123,0,grid_0022_0000,22,Central2,1,-8,-8.0,-8.0,-8,-8.0,-8.0,-8.0,-8.0,0.0,1,37,37.0,37.0,37,37.0,37.0,37.0,37.0,0.0,1,-3,-3.0,-3.0,-3,-3.0,-3.0,-3.0,-3.0,0.0,1,20,20.0,20.0,20,20.0,20.0,20.0,20.0,0.0,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,50.17588932806324,-4.887711103126123,0,grid_0027_0000,27,Central2,5969,133,1.1213820434414818,-1.0,-16,-10.0,-7.0,5.0,15.0,12.113930618439076,5969,654,44.82618535866049,25.661538461538463,-18,1.606400945786185,5.4221813616104635,69.40776699029126,117.76595744680851,50.50372299641672,5969,31,1.4891896606771975,1.0,-30,-7.0,-3.0000000000000004,5.0,10.0,6.546458292872373,5969,364,44.92958780294328,38.51752986196105,17,24.616698945133162,28.499474755433003,54.50920245398773,70.40259740259741,22.77507751374044,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,50.400467121811,-4.887711103126123,0,grid_0028_0000,28,Central2,16110,184,2.255053523404405,-1.0,-18,-9.0,-5.9809124742151445,6.0,17.0,13.201940461017168,16110,431,35.171737523412226,18.497853476434905,-26,2.4881103074141047,6.482960077896787,48.42857142857143,94.46052631578948,43.76757053840942,16110,36,2.4290839304791425,2.0,-26,-6.0,-2.0,5.999999999999999,10.0,6.523395232451181,16110,233,40.80515298260417,35.0,16,24.0,27.01282663063788,48.0,64.0,19.98054945157274,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,50.625044915558746,-4.887711103126123,0,grid_0029_0000,29,Central2,4720,242,2.992820157921506,0.4539286687692248,-17,-9.427852348993289,-5.480605335096214,6.466369042428893,16.44927536231884,14.502046890104891,4720,368,29.251698865199735,12.469550635732633,-17,0.5479876160990712,4.509904212777829,40.44736842105263,82.43478260869566,38.96693602073443,4720,49,2.9196309606196795,3.0,-33,-5.000000000000001,-1.0,7.0,11.0,6.315563891617573,4720,174,37.75958827011748,33.0,17,23.0,26.0,45.0,60.0,16.168664054651977,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,50.8496227093065,-4.887711103126123,0,grid_0030_0000,30,Central2,10,-8,-11.016480595427964,-11.0,-12,-12.0,-12.0,-10.0,-10.0,1.428285685708573,10,150,57.13024986709197,67.0,18,18.0,18.0,91.0,91.0,46.435331376011526,10,3,0.8639021796916534,0.0,-4,0.0,0.0,2.0,3.0,2.4,10,75,46.4274322169059,52.0,26,26.0,34.0,60.0,60.0,15.981551864571847,30,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,51.07420050305426,-4.887711103126123,0,grid_0031_0000,31,Central2,132,-7,-10.170956977714217,-10.0,-16,-12.0,-11.0,-9.0,-8.0,1.3605183207182863,132,415,75.87990108449529,72.5,3,33.0,46.88894422310757,92.375,115.0,47.427855293692254,132,5,0.36184602550351563,0.0,-4,-2.0,-1.0,1.0,2.0,1.7369974780497373,132,268,53.596263854129425,47.0,24,37.0,41.0,60.0,72.0,28.44622926042787,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,51.29877829680201,-4.887711103126123,0,grid_0032_0000,32,Central2,7,-10,-10.428571428571429,-10.0,-12,-12.0,-11.0,-10.0,-10.0,0.7284313590846788,7,83,68.71428571428571,72.0,46,46.0,46.0,82.0,83.0,15.12532678007592,7,2,0.5714285714285714,1.0,-1,-1.0,-1.0,2.0,2.0,1.178030178747903,7,55,44.42857142857143,44.0,35,35.0,35.0,49.0,55.0,6.883876458946724,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,51.52335609054977,-4.887711103126123,0,grid_0033_0000,33,Central2,1259,205,3.0722795869737887,-2.0,-17,-12.0,-8.0,7.0,22.0,19.278948557228635,1259,415,63.123907863383636,44.44444444444444,-36,2.6666666666666665,14.676470588235293,94.81818181818181,152.66666666666666,64.4263787334533,1259,44,1.5536139793486894,2.0,-24,-10.0,-4.0,7.0,13.0,8.964280501289183,1259,179,53.36616362192216,48.0,19,25.0,33.0,66.0,88.0,25.80897933420588,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,51.747933884297524,-4.887711103126123,0,grid_0034_0000,34,Central2,99136,412,3.8404708607232116,-1.521476576037367,-19,-11.415809793150606,-7.502520743567648,8.47981093886249,24.48470079051078,17.494649656375945,99136,520,43.29526118370048,25.43453132367032,-36,1.6933331392672122,9.419430667312886,65.50377936763942,109.49461583897495,49.83406361168265,99136,55,4.060102580948837,4.0,-64,-5.961935021205255,-1.0,8.999999999999998,14.0,7.647177635337822,99136,463,48.325164438261226,40.50730222153848,14,24.486223349812892,28.49094093444504,56.53266671192199,74.46648139106921,32.29784681290409,34,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,51.97251167804528,-4.887711103126123,0,grid_0035_0000,35,Central2,2244,122,2.1136019255394993,0.0,-16,-11.0,-6.0,6.0,17.0,13.40539506123746,2244,298,42.30910059157085,24.35135135135135,-14,0.5925966911968129,6.401960784313726,70.4074074074074,108.46666666666667,45.59458656095537,2244,30,1.4772366966627133,1.0,-23,-7.0,-3.0000000000000004,6.0,10.0,6.816108349219609,2244,272,42.95882302449142,38.0,18,24.0,28.0,53.0,68.0,18.95289285111419,35,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,47.9301113905857,-4.663133309378369,1,grid_0017_0001,53,Central2,832,68,1.1457415565345082,-2.0,-16,-10.0,-7.0,6.0,15.0,11.826809724284816,832,194,31.839631367164408,20.0,-5,2.0,7.0,49.0,83.0,32.774749147933484,832,24,3.6226233384823696,3.0,-12,-3.0,0.0,7.0,11.0,5.651024482108776,832,104,39.6692459522856,36.0,20,23.0,28.041929666366098,49.0,60.0,14.797779953722845,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,48.154689184333456,-4.663133309378369,1,grid_0018_0001,54,Central2,2290,109,1.3666407290207672,-1.0,-17,-9.0,-6.0,6.0,16.0,11.671766617025872,2290,359,42.78641040272518,20.56140350877193,-18,2.5101531884574277,6.5468977114030835,54.35,118.75,56.748135325087716,2290,35,2.3696079957116423,2.0,-15,-6.0,-2.0,6.0,10.0,6.426243381094344,2290,245,44.94708201483633,36.0,18,24.000000000000004,28.0,51.0,76.0,27.032083572424582,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,48.379266978081205,-4.663133309378369,1,grid_0019_0001,55,Central2,20991,135,2.5461230007872206,0.0,-18,-9.96435315062581,-6.989601270103172,8.0,18.0,13.38679698373636,20991,641,40.567372330488695,17.404715030520077,-18,1.7376200789832783,5.4147217994808985,49.523348100507995,105.54744525547446,59.430202348150395,20991,32,3.446689563421432,4.0,-30,-5.0,-1.0,8.0,11.999999999999998,6.6416697970979435,20991,544,46.78847728963959,33.44887082805943,16,21.94856342432732,25.459665200067146,49.40804437894502,69.44444444444444,44.641309817766356,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,48.60384477182896,-4.663133309378369,1,grid_0020_0001,56,Central2,7663,192,4.409401631382942,1.0,-18,-9.0,-4.0,9.0,20.0,13.839043072259335,7663,223,23.26058075837871,12.0,-16,2.0,5.0,30.0,61.0,28.539725670073032,7663,42,4.088666575726588,4.0,-21,-4.0,0.0,8.0,12.0,6.392274342314277,7663,185,34.63537114320908,30.0,15,22.0,25.035968024622747,39.0,54.0,14.341354409573158,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,48.828422565576716,-4.663133309378369,1,grid_0021_0001,57,Central2,41,-8,-10.731707317073171,-11.0,-12,-12.0,-11.0,-10.0,-10.0,0.8560940865748405,41,191,66.82926829268293,62.0,8,29.0,48.0,78.0,113.0,32.87144393381393,41,7,1.0,1.0,-2,-1.0,0.0,2.0,3.0,1.7942999178292216,41,157,50.292682926829265,48.0,32,36.0,39.0,56.0,63.0,19.71781898397565,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
