system:index,center_lat,center_lon,col,grid_id,numeric_id,region,rh_ng_kurtosis_x10_count,rh_ng_kurtosis_x10_max,rh_ng_kurtosis_x10_mean,rh_ng_kurtosis_x10_median,rh_ng_kurtosis_x10_min,rh_ng_kurtosis_x10_p10,rh_ng_kurtosis_x10_p25,rh_ng_kurtosis_x10_p75,rh_ng_kurtosis_x10_p90,rh_ng_kurtosis_x10_stdDev,rh_ng_mean_x10_count,rh_ng_mean_x10_max,rh_ng_mean_x10_mean,rh_ng_mean_x10_median,rh_ng_mean_x10_min,rh_ng_mean_x10_p10,rh_ng_mean_x10_p25,rh_ng_mean_x10_p75,rh_ng_mean_x10_p90,rh_ng_mean_x10_stdDev,rh_ng_skewness_x10_count,rh_ng_skewness_x10_max,rh_ng_skewness_x10_mean,rh_ng_skewness_x10_median,rh_ng_skewness_x10_min,rh_ng_skewness_x10_p10,rh_ng_skewness_x10_p25,rh_ng_skewness_x10_p75,rh_ng_skewness_x10_p90,rh_ng_skewness_x10_stdDev,rh_ng_std_x10_count,rh_ng_std_x10_max,rh_ng_std_x10_mean,rh_ng_std_x10_median,rh_ng_std_x10_min,rh_ng_std_x10_p10,rh_ng_std_x10_p25,rh_ng_std_x10_p75,rh_ng_std_x10_p90,rh_ng_std_x10_stdDev,row,.geo
13,51.031800215594686,-9.887711103126122,0,grid_0013_0000,13,East2d,13,-10,-10.23076923076923,-10.0,-11,-11.0,-10.0,-10.0,-10.0,0.42132504423474954,13,83,51.84615384615385,52.0,33,33.0,42.0,52.0,83.0,15.20549573646699,13,2,0.8461538461538461,1.0,0,0.0,0.0,1.0,2.0,0.6617173282340482,13,57,39.30769230769231,41.0,28,28.0,30.0,42.0,57.0,9.383984846408966,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,51.256378009342434,-9.887711103126122,0,grid_0014_0000,14,East2d,18,-9,-10.777777777777779,-11.0,-12,-12.0,-12.0,-10.0,-9.0,1.0829771494232234,18,70,37.666666666666664,31.5,18,18.0,28.0,56.0,60.0,15.275252316519467,18,5,1.9444444444444444,2.0,-3,0.0,1.0,3.0,5.0,1.8096108305447034,18,52,34.611111111111114,34.0,18,21.0,27.0,42.0,52.0,9.82705386442554,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,51.48095580309019,-9.887711103126122,0,grid_0015_0000,15,East2d,3331,181,3.092286210110609,0.0,-17,-7.0,-4.0,6.0,16.0,13.960566096268833,3331,336,29.530639801440522,12.419263456090652,-13,0.6166592975643514,4.514556533513879,40.473684210526315,76.22222222222223,42.15801031371283,3331,40,1.029272401437926,1.0,-32,-6.0,-2.0,4.0,8.0,6.571195310781714,3331,288,36.01158775518401,30.5279307631786,17,22.58767424798239,26.489400090211998,38.485074626865675,52.6,20.938012118056147,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,51.705533596837945,-9.887711103126122,0,grid_0016_0000,16,East2d,64364,259,1.1563521250809674,-1.5136731510000292,-17,-7.384187836665533,-5.457245572472291,4.456334668383339,12.443942406352473,10.351850266284995,64364,812,28.450053966006912,13.392102274155247,-25,1.6725882469417783,5.430415011622885,41.52627253830908,77.54114230396902,37.10048711691295,64364,51,0.9217923992805511,1.0,-50,-5.999999999999999,-2.0,4.0,6.999999999999999,5.523450688172287,64364,406,35.84537401776739,32.50730314584963,14,24.579999212460844,26.556901037836354,40.49416279644989,50.4941489199181,17.251291602154087,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,51.9301113905857,-9.887711103126122,0,grid_0017_0000,17,East2d,6664,99,0.6148102660365448,-1.0,-17,-7.854292379471228,-4.999999999999999,4.0,11.0,9.43267996820277,6664,390,31.90401773576966,16.516265142234925,-25,0.5163147587299209,4.502864924586963,52.567968928489826,84.62962962962963,37.84732332750579,6664,27,0.3707265235101789,0.0,-21,-6.0,-2.9999999999999996,4.0,7.0,5.471913942402575,6664,403,36.92137938045378,32.50216587666977,19,24.565249907441693,28.486131386861313,42.50511229572664,54.50512851454084,15.71709854059833,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,51.031800215594686,-9.66313330937837,1,grid_0013_0001,31,East2d,25,247,42.68,22.0,-18,-13.0,-4.0,71.0,136.0,63.13649974460098,25,566,133.48,106.0,4,14.0,40.0,188.0,258.0,119.92401594342978,25,47,20.68,20.0,2,7.0,12.0,29.0,37.0,11.766800754665645,25,606,247.56,261.0,35,64.0,140.0,334.0,350.0,128.9552108291867,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,51.256378009342434,-9.66313330937837,1,grid_0014_0001,32,East2d,112,-9,-10.508928571428571,-10.0,-14,-12.0,-11.0,-10.0,-9.0,0.972804632000079,112,168,74.58928571428571,75.5,7,32.0,50.5,98.5,119.0,34.2416709297491,112,4,0.8392857142857143,1.0,-2,-1.0,0.0,2.0,3.0,1.5842617220906503,112,104,52.1875,49.0,19,31.0,37.5,63.0,78.0,18.342734670124067,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,51.48095580309019,-9.66313330937837,1,grid_0015_0001,33,East2d,17361,161,1.975312347271954,-1.0,-18,-6.999999999999999,-5.0,5.0,14.0,11.118455983463875,17361,755,23.589764194697604,13.363397297863827,-19,1.7784300285495085,5.414665809317194,33.37546610169492,61.43790849673203,32.301688121571225,17361,34,1.081477323937149,1.0,-39,-5.999999999999999,-2.0,4.0,8.0,5.883987709426051,17361,558,32.2829688563996,29.424321724447207,15,22.064647798859898,25.516882653061224,33.39026873830604,41.36807684006043,16.503116659189025,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,51.705533596837945,-9.66313330937837,1,grid_0016_0001,34,East2d,103981,164,0.6470606059907649,-1.0,-19,-7.922376897863844,-5.0,4.0,11.0,9.644227181009196,103981,683,31.11458188538445,13.410495417329123,-25,1.6521388226237075,5.431778147560889,45.532546056463225,81.42192213065731,40.52281046291129,103981,41,0.9809606568351416,1.0,-33,-5.0,-2.0,4.0,7.000000000000001,5.301784484683377,103981,546,37.785695731637794,33.43831238259923,15,25.584378572744193,25.584378572744193,41.414259495576616,53.44470406690471,19.974506074253274,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,51.9301113905857,-9.66313330937837,1,grid_0017_0001,35,East2d,6820,125,0.2287532240222511,-2.0,-16,-8.999999999999998,-5.999999999999999,2.9999999999999996,11.0,9.98422100719393,6820,415,34.940123444309975,18.514950924446474,-22,0.587328493299645,4.514723478768422,56.4966258091172,86.52542372881356,42.42011178979637,6820,30,0.9801252927975417,1.0,-19,-5.0,-3.0,4.0,8.0,5.579271599339092,6820,324,40.02292702228871,34.54304818190925,18,24.52250890363576,28.482355642291353,46.49611552102686,58.40594059405941,20.015844026455625,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
