system:index,center_lat,center_lon,col,grid_id,numeric_id,region,rh_ng_kurtosis_x10_count,rh_ng_kurtosis_x10_max,rh_ng_kurtosis_x10_mean,rh_ng_kurtosis_x10_median,rh_ng_kurtosis_x10_min,rh_ng_kurtosis_x10_p10,rh_ng_kurtosis_x10_p25,rh_ng_kurtosis_x10_p75,rh_ng_kurtosis_x10_p90,rh_ng_kurtosis_x10_stdDev,rh_ng_mean_x10_count,rh_ng_mean_x10_max,rh_ng_mean_x10_mean,rh_ng_mean_x10_median,rh_ng_mean_x10_min,rh_ng_mean_x10_p10,rh_ng_mean_x10_p25,rh_ng_mean_x10_p75,rh_ng_mean_x10_p90,rh_ng_mean_x10_stdDev,rh_ng_skewness_x10_count,rh_ng_skewness_x10_max,rh_ng_skewness_x10_mean,rh_ng_skewness_x10_median,rh_ng_skewness_x10_min,rh_ng_skewness_x10_p10,rh_ng_skewness_x10_p25,rh_ng_skewness_x10_p75,rh_ng_skewness_x10_p90,rh_ng_skewness_x10_stdDev,rh_ng_std_x10_count,rh_ng_std_x10_max,rh_ng_std_x10_mean,rh_ng_std_x10_median,rh_ng_std_x10_min,rh_ng_std_x10_p10,rh_ng_std_x10_p25,rh_ng_std_x10_p75,rh_ng_std_x10_p90,rh_ng_std_x10_stdDev,row,.geo
4,35.01060007186489,25.112288896873878,0,grid_0004_0000,4,East5,7309,111,0.6212706765261016,-1.0,-15,-5.0,-3.0,2.0,7.0,7.789373564898483,7309,330,7.246164228045016,4.540758182904376,-28,-3.457680250783699,0.5577255444175596,8.401223418346458,16.428571428571427,17.987326677222775,7309,28,1.935853675179142,1.0,-14,-1.0,0.0,3.0,6.0,3.626025203212826,7309,226,31.390874524306238,28.036429597758175,19,23.0,25.000000000000004,34.0,41.99999999999999,10.921780836446958,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,35.23517786561265,25.112288896873878,0,grid_0005_0000,5,East5,8760,130,1.0105139757304933,-1.0,-16,-6.0,-3.0,3.0,8.999999999999998,8.135977431832844,8760,209,8.985064988066165,4.0,-29,-3.0,0.0,10.0,27.0,19.47726852056855,8760,30,2.045397018738054,2.0,-19,-2.0,0.0,4.0,7.0,3.8113912019127687,8760,127,32.59169591451049,30.0,20,24.0,27.0,36.00745768767026,44.0,9.073850300924333,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,35.459755659360404,25.112288896873878,0,grid_0006_0000,6,East5,467,27,-1.323148077943741,-2.0,-16,-6.0,-4.0,0.0,5.0,5.078362406236728,467,218,10.502994920009098,4.0,-29,-6.0,-1.0,12.0,35.0,25.329210787369693,467,13,1.5360780448353426,1.0,-11,-2.0,0.0,3.0,5.0,3.1151820539879975,467,142,35.57659160411453,33.0,21,26.0,28.0,40.0,48.0,11.54489395708095,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,35.90891124685591,25.112288896873878,0,grid_0008_0000,8,East5,1,62,62.0,62.0,62,62.0,62.0,62.0,62.0,0.0,1,214,214.0,214.0,214,214.0,214.0,214.0,214.0,0.0,1,-18,-18.0,-18.0,-18,-18.0,-18.0,-18.0,-18.0,0.0,1,50,50.0,50.0,50,50.0,50.0,50.0,50.0,0.0,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,36.35806683435142,25.112288896873878,0,grid_0010_0000,10,East5,4,-2,-3.25,-3.0,-5,-5.0,-4.5,-2.0,-2.0,1.299038105676658,4,2,1.75,2.0,1,1.0,1.5,2.0,2.0,0.4330127018922193,4,1,0.75,1.0,0,0.0,0.5,1.0,1.0,0.4330127018922193,4,38,30.5,28.5,27,27.0,27.0,34.0,38.0,4.5,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,36.582644628099175,25.112288896873878,0,grid_0011_0000,11,East5,377,30,-0.06812461488652863,-1.0,-11,-5.0,-3.0,2.0,6.0,5.314744439160545,377,218,8.531409593633487,3.0,-24,-5.0,-1.0,10.0,22.0,23.183173797231746,377,13,1.928032083215841,2.0,-9,-1.0,0.0,3.0,5.0,3.057291253862869,377,97,34.99346220927197,33.0,21,26.0,27.999999999999996,39.0,47.0,9.735150578193858,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,36.80722242184693,25.112288896873878,0,grid_0012_0000,12,East5,154,36,1.3011623720619245,0.0,-9,-4.0,-3.0,3.0,10.0,7.1757007599624405,154,156,7.793704675204443,2.0,-20,-5.0,-1.0,8.0,20.0,23.3194285887292,154,13,1.9932880728282674,2.0,-6,-2.0,0.0,3.0,6.0,3.511426304296347,154,102,35.14784241115054,32.0,22,25.0,27.0,39.0,49.0,11.839899055629461,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,37.031800215594686,25.112288896873878,0,grid_0013_0000,13,East5,4677,97,0.8701691869814355,-1.0,-13,-5.0,-3.0,2.0,9.0,7.379089946521118,4677,188,6.105226601840598,3.0,-19,-4.0,-1.0,8.0,17.0,15.73082794072677,4677,28,2.238817125557728,2.0,-19,-1.0,0.0,4.0,6.0,3.429275141478554,4677,95,30.97279620304451,29.0,19,24.0,26.0,34.0,40.0,7.188860751679281,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,37.256378009342434,25.112288896873878,0,grid_0014_0000,14,East5,4,26,6.02027027027027,0.0,-6,-6.0,-6.0,26.0,26.0,12.196310917650468,4,13,9.912162162162161,12.0,-1,-1.0,10.0,13.0,13.0,5.5901699437494745,4,14,6.58445945945946,6.0,1,1.0,1.0,14.0,14.0,4.815340071064556,4,34,31.722972972972972,32.0,30,30.0,30.0,34.0,34.0,1.6583123951777,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,37.48095580309019,25.112288896873878,0,grid_0015_0000,15,East5,2362,82,0.1376793951178513,-1.0,-17,-6.0,-4.0,2.0,7.0,6.552990674769331,2362,156,9.275762356292129,2.9999999999999996,-21,-4.0,0.0,11.0,28.0,20.329427022253714,2362,22,1.8628759251168174,2.0,-14,-2.0,0.0,4.0,6.0,3.3462758915280837,2362,108,32.89215280811935,30.999999999999996,17,25.0,27.049326068253514,36.0,44.0,8.51095113744024,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
