system:index,center_lat,center_lon,col,grid_id,numeric_id,region,rh_ng_kurtosis_x10_count,rh_ng_kurtosis_x10_max,rh_ng_kurtosis_x10_mean,rh_ng_kurtosis_x10_median,rh_ng_kurtosis_x10_min,rh_ng_kurtosis_x10_p10,rh_ng_kurtosis_x10_p25,rh_ng_kurtosis_x10_p75,rh_ng_kurtosis_x10_p90,rh_ng_kurtosis_x10_stdDev,rh_ng_mean_x10_count,rh_ng_mean_x10_max,rh_ng_mean_x10_mean,rh_ng_mean_x10_median,rh_ng_mean_x10_min,rh_ng_mean_x10_p10,rh_ng_mean_x10_p25,rh_ng_mean_x10_p75,rh_ng_mean_x10_p90,rh_ng_mean_x10_stdDev,rh_ng_skewness_x10_count,rh_ng_skewness_x10_max,rh_ng_skewness_x10_mean,rh_ng_skewness_x10_median,rh_ng_skewness_x10_min,rh_ng_skewness_x10_p10,rh_ng_skewness_x10_p25,rh_ng_skewness_x10_p75,rh_ng_skewness_x10_p90,rh_ng_skewness_x10_stdDev,rh_ng_std_x10_count,rh_ng_std_x10_max,rh_ng_std_x10_mean,rh_ng_std_x10_median,rh_ng_std_x10_min,rh_ng_std_x10_p10,rh_ng_std_x10_p25,rh_ng_std_x10_p75,rh_ng_std_x10_p90,rh_ng_std_x10_stdDev,row,.geo
0,44.11228889687388,25.112288896873878,0,grid_0000_0000,0,East6a,8552,166,1.1645145540320132,-2.0,-18,-12.0,-8.0,6.0,17.0,14.821158523283955,8552,233,55.70319861213883,36.416666666666664,-36,2.5,8.496846927241359,90.52777777777777,142.34426229508196,55.06670247872271,8552,39,1.1448462976818916,1.0,-21,-9.0,-5.0,6.0,11.0,8.065278664041442,8552,130,48.69305835162549,46.0,18,24.092243543377442,29.0,64.0,78.0,21.08387345465119,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,44.33686669062163,25.112288896873878,0,grid_0001_0000,1,East6a,8876,243,2.828377063305458,-1.4815525552281086,-17,-11.302829288653033,-9.60480340472065,8.5,24.35185185185185,16.5728522608782,8876,452,49.61179698034619,28.406552330694815,-32,2.4826189588768792,8.489247311827956,76.58974358974359,116.62162162162163,57.34843755531804,8876,47,4.437173153695928,4.0,-24,-6.0,-1.0,10.0,16.0,8.238603489125927,8876,320,52.188378975094956,46.493238476011285,18,24.490486942444512,30.516358047280974,64.4703196347032,80.44086021505376,30.72388105766749,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,44.56144448436939,25.112288896873878,0,grid_0002_0000,2,East6a,5863,115,7.068426676134366,0.0,-18,-15.0,-10.981327150823988,19.0,39.0,22.212286214672652,5863,177,38.00054126655034,19.0,-39,3.0,8.0,70.0,97.0,37.62317534490197,5863,32,6.552536684541415,5.0,-18,-4.0,-1.0,14.0,20.0,9.09128882952991,5863,138,48.543566933169004,47.0,18,24.0,29.999999999999993,63.0,78.0,19.849734191770015,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,44.78602227811714,25.112288896873878,0,grid_0003_0000,3,East6a,20513,149,2.2050080152088656,-1.0,-18,-10.0,-6.0,6.0,17.0,13.74886581841486,20513,289,55.93489710572658,34.418016850291636,-44,2.4953795486799484,8.538674153390788,94.5763045988341,140.55555555555554,55.87753579343335,20513,36,1.102389764761335,0.0,-25,-8.0,-4.0,5.0,11.0,7.918500970202067,20513,155,51.009005057929365,46.0,18,25.0,32.0,66.0,85.0,22.9805055045966,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,45.01060007186489,25.112288896873878,0,grid_0004_0000,4,East6a,41195,163,1.8798963876511516,-1.0,-18,-9.98866411452002,-6.000000000000001,6.0,17.0,12.652935188994974,41195,388,86.20318180990363,78.48009822981683,-29,6.509393724754484,24.480627470032605,134.53992395437263,180.52534822436942,68.2286370215154,41195,39,-1.321262929493658,-2.0,-28,-12.0,-7.0,4.0,10.000000000000002,8.362426124849,41195,368,62.3346560441697,58.53888300178219,19,30.49311983134202,40.51858932264656,80.48466562121602,100.5365260204958,27.933057033752238,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,45.23517786561265,25.112288896873878,0,grid_0005_0000,5,East6a,23645,136,1.621858428902056,-1.0,-18,-10.0,-6.0,6.0,15.0,12.253744836352334,23645,564,71.03645525230279,45.51514368677214,-96,1.7366909294138866,9.42653689518084,113.50322580645161,177.4327485380117,72.2277244785853,23645,35,-0.054720266240922334,0.0,-32,-9.0,-5.0,5.0,9.0,7.299099750204761,23645,346,57.16210879081584,48.4932622207189,18,26.543807958427838,34.48012275303376,72.50404312668464,100.38620689655173,30.99887357058904,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,45.459755659360404,25.112288896873878,0,grid_0006_0000,6,East6a,11491,122,-1.464692289051453,-4.0,-18,-12.0,-9.0,2.0,11.0,11.562152118631763,11491,575,80.18818873389343,73.60765550239235,-23,1.543450368871672,21.352713178294575,125.50467289719626,169.4537037037037,66.07121559521923,11491,35,1.3883887510514399,1.0,-26,-6.0,-3.0,5.0,10.0,6.647032914158168,11491,384,68.82655894268441,62.47714567576455,19,30.509778826117767,42.559217798264385,92.5079365079365,114.37288135593221,33.27735654682712,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,45.68433345310816,25.112288896873878,0,grid_0007_0000,7,East6a,14724,127,1.2428064911314143,-2.0,-19,-11.0,-7.0,5.0,18.0,14.264812001875374,14724,450,95.6212873782193,86.52482269503547,-30,6.455582563603954,30.52173913043478,142.50467289719626,202.53846153846155,74.54213363864054,14724,32,-1.7673421017403301,-2.0,-32,-10.986967550074347,-6.0,3.0,9.0,7.9806225962772,14724,340,66.89537511953402,58.5,18,32.55135135135135,42.479569892473116,86.52380952380952,114.50617283950618,32.43484347766052,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,45.90891124685591,25.112288896873878,0,grid_0008_0000,8,East6a,13081,167,2.9935317537138166,0.0,-18,-11.0,-7.0,8.0,20.0,15.250163033300359,13081,625,76.61947887262647,53.541044776119406,-26,1.5698902049297037,13.374084279225482,129.4774193548387,173.2730338883238,73.91612178408785,13081,41,1.0718965488780139,1.0,-27,-11.0,-6.0,8.0,13.0,9.295331775679609,13081,413,64.24292675313605,58.6007326007326,17,26.49823943661972,34.47160662667454,80.4870848708487,98.41176470588235,43.47346551496254,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,46.13348904060366,25.112288896873878,0,grid_0009_0000,9,East6a,31293,228,4.2911204472190745,0.0,-19,-10.994790725860492,-5.985561888060792,10.0,25.0,16.72660906508645,31293,608,74.2455263715333,57.48050946038981,-27,1.619902549386247,13.412442485676511,117.37482631512466,181.48799618651412,71.88958671373409,31293,47,-0.2028280546821528,0.0,-31,-13.0,-7.0,7.0,11.0,9.575362519445306,31293,375,61.02795973059473,52.505853252351095,17,26.496015975865763,34.51111111111111,80.52164034889186,104.55793535398725,34.812338804443414,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,46.35806683435142,25.112288896873878,0,grid_0010_0000,10,East6a,49570,229,2.6239087513456743,-1.0,-18,-11.0,-6.000000000000001,7.000000000000001,19.0,14.643591750184516,49570,505,63.76336740722134,41.56530990812117,-25,1.7095948623085209,9.368988610758274,97.5271596381147,165.52978056426332,67.8053730060092,49570,43,0.6532973509694994,1.0,-31,-11.0,-4.0,5.999999999999999,10.000000000000002,8.416990462559001,49570,387,56.524710033841444,46.505291115076574,16,24.553415615203157,30.483655102514316,74.49009057265292,102.48685132062438,32.76065237867045,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,46.582644628099175,25.112288896873878,0,grid_0011_0000,11,East6a,60069,150,2.4535165794934177,-1.0,-19,-11.999999999999998,-6.99527724762998,6.999999999999999,21.000000000000004,15.451766597276926,60069,529,79.10452021909865,65.49858923427018,-45,5.413899713118435,17.436732149407774,121.48119591337294,181.51822916666666,70.05790619800526,60069,38,0.011036070461669276,0.0,-32,-10.972391794991381,-5.0,6.0,10.999999999999998,8.647450871172193,60069,398,64.02136782783666,56.5100877265993,16,28.540960595373146,38.47939307720869,82.47819556424,110.5485948909596,32.96486910293788,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
