system:index,center_lat,center_lon,col,grid_id,numeric_id,region,rh_ng_kurtosis_x10_count,rh_ng_kurtosis_x10_max,rh_ng_kurtosis_x10_mean,rh_ng_kurtosis_x10_median,rh_ng_kurtosis_x10_min,rh_ng_kurtosis_x10_p10,rh_ng_kurtosis_x10_p25,rh_ng_kurtosis_x10_p75,rh_ng_kurtosis_x10_p90,rh_ng_kurtosis_x10_stdDev,rh_ng_mean_x10_count,rh_ng_mean_x10_max,rh_ng_mean_x10_mean,rh_ng_mean_x10_median,rh_ng_mean_x10_min,rh_ng_mean_x10_p10,rh_ng_mean_x10_p25,rh_ng_mean_x10_p75,rh_ng_mean_x10_p90,rh_ng_mean_x10_stdDev,rh_ng_skewness_x10_count,rh_ng_skewness_x10_max,rh_ng_skewness_x10_mean,rh_ng_skewness_x10_median,rh_ng_skewness_x10_min,rh_ng_skewness_x10_p10,rh_ng_skewness_x10_p25,rh_ng_skewness_x10_p75,rh_ng_skewness_x10_p90,rh_ng_skewness_x10_stdDev,rh_ng_std_x10_count,rh_ng_std_x10_max,rh_ng_std_x10_mean,rh_ng_std_x10_median,rh_ng_std_x10_min,rh_ng_std_x10_p10,rh_ng_std_x10_p25,rh_ng_std_x10_p75,rh_ng_std_x10_p90,rh_ng_std_x10_stdDev,row,.geo
4,45.01060007186489,30.112288896873878,0,grid_0004_0000,4,East6b,4,-14,-14.0,-14.0,-14,-14.0,-14.0,-14.0,-14.0,0.0,4,58,58.0,58.0,58,58.0,58.0,58.0,58.0,0.0,4,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0.0,4,53,53.0,53.0,53,53.0,53.0,53.0,53.0,0.0,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,45.459755659360404,30.112288896873878,0,grid_0006_0000,6,East6b,179,-8,-10.193764408826436,-10.0,-13,-11.0,-11.0,-10.0,-9.0,0.9340140578326823,179,217,67.1920079042705,64.0,-23,26.0,39.0,85.0,109.0,37.46279741756966,179,5,-0.6058842902623778,-1.0,-4,-3.0,-2.0,1.0,2.0,1.9384750360779297,179,110,47.877922933362605,45.0,27,34.0,38.0,54.0,64.0,14.172756053010144,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,45.68433345310816,30.112288896873878,0,grid_0007_0000,7,East6b,15,-7,-10.6,-11.0,-13,-12.0,-11.0,-10.0,-9.0,1.3564659966250514,15,132,67.66666666666667,67.0,21,28.0,34.0,86.0,132.0,34.663461390281775,15,5,1.8666666666666667,1.0,-1,-1.0,0.0,4.0,5.0,2.124983660067897,15,82,49.333333333333336,51.0,24,30.0,37.0,58.0,82.0,16.33265304705747,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,45.90891124685591,30.112288896873878,0,grid_0008_0000,8,East6b,2278,162,8.965019515047198,5.0,-17,-10.0,-4.0,18.0,32.0,18.06638963848044,2278,540,17.508155271822275,9.374459821672774,-15,1.6655724414205322,5.3726659515281545,21.482758620689655,45.13895781637717,26.84689379737647,2278,35,7.494216198782704,7.0,-16,0.0,3.0,11.0,15.0,5.996024917288802,2278,327,33.18035939421431,30.50314465408805,17,22.45149253731343,24.468455689521516,38.610619469026545,48.44186046511628,14.120695713222672,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,46.13348904060366,30.112288896873878,0,grid_0009_0000,9,East6b,4163,259,9.681482431586176,4.361111111111111,-15,-9.452914798206278,-3.5105778111290693,18.546666666666667,32.46097911558299,21.721105361546726,4163,140,15.157116961799924,9.0,-16,1.0,3.0,21.0,39.0,17.424800560128443,4163,51,7.486096545167837,6.999999999999999,-21,1.0,4.0,11.0,15.0,6.282183161206124,4163,96,32.652835203223205,28.999999999999993,18,22.0,24.0,39.0,50.00000000000001,11.032659933230484,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,46.35806683435142,30.112288896873878,0,grid_0010_0000,10,East6b,7114,116,5.246766533225077,0.0,-17,-11.0,-7.0,12.0,28.0,17.6673289048252,7114,247,28.418593352829102,12.429078014184396,-29,0.6150034454191411,4.445933993996921,42.480614842373214,82.36734693877551,35.54816747104253,7114,33,6.038808233767999,4.999999999999999,-13,-1.0,1.0,10.0,15.0,6.687394839241699,7114,265,43.47057974963534,37.0,17,23.0,26.0,53.0,72.0,24.03698042413332,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,46.582644628099175,30.112288896873878,0,grid_0011_0000,11,East6b,3924,141,8.17851015728968,3.0,-16,-8.0,-3.0,14.0,31.0,18.22491946869379,3924,226,16.890131716076898,8.0,-26,1.0,3.0,18.0,45.0,25.64710148550966,3924,31,6.991673547756097,6.0,-13,0.0,3.0,11.0,16.0,6.4686349267556436,3924,270,35.84084340778271,28.000000000000004,17,22.0,24.0,42.0,62.0,19.35369072545422,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,46.80722242184693,30.112288896873878,0,grid_0012_0000,12,East6b,5842,89,3.4743034963163946,1.0,-16,-7.0,-4.0,8.0,17.0,10.83529098399381,5842,125,11.84101303026412,7.0,-23,1.0,3.0,15.0,30.0,15.222198182061684,5842,24,4.782835653835837,4.0,-13,0.0,2.0,7.0,11.0,4.417006476630912,5842,79,30.93023837390263,28.0,18,22.0,23.999999999999996,35.0,44.0,9.206930056555933,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,47.031800215594686,30.112288896873878,0,grid_0013_0000,13,East6b,6563,77,2.93840625857711,1.0,-15,-6.999999999999999,-4.0,8.0,16.0,9.958434617834307,6563,161,12.133968854214691,7.0,-25,1.0,2.9999999999999996,16.0,28.999999999999996,15.950683857993786,6563,27,4.437573587493849,4.0,-11,-1.0,1.0,7.0,10.0,4.473286926147852,6563,94,31.43041889484665,28.999999999999996,18,22.0,25.0,36.0,43.0,9.359278483714728,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,47.256378009342434,30.112288896873878,0,grid_0014_0000,14,East6b,4266,87,1.472218435566887,0.0,-17,-10.0,-5.0,6.0,14.0,9.793581667885569,4266,509,20.493839828163626,9.259758316318019,-24,1.6291554666499968,1.6291554666499968,21.607692307692307,49.78333333333333,45.916333423607554,4266,28,3.4625775087410333,3.0,-15,-1.0,0.0,6.0,10.0,4.527211672380736,4266,378,37.322977035675194,30.447154471544714,19,22.508898033066377,26.47498685824426,40.480858798137,48.47863247863248,33.335919594399584,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
