system:index,center_lat,center_lon,col,grid_id,numeric_id,region,rh_ng_kurtosis_x10_count,rh_ng_kurtosis_x10_max,rh_ng_kurtosis_x10_mean,rh_ng_kurtosis_x10_median,rh_ng_kurtosis_x10_min,rh_ng_kurtosis_x10_p10,rh_ng_kurtosis_x10_p25,rh_ng_kurtosis_x10_p75,rh_ng_kurtosis_x10_p90,rh_ng_kurtosis_x10_stdDev,rh_ng_mean_x10_count,rh_ng_mean_x10_max,rh_ng_mean_x10_mean,rh_ng_mean_x10_median,rh_ng_mean_x10_min,rh_ng_mean_x10_p10,rh_ng_mean_x10_p25,rh_ng_mean_x10_p75,rh_ng_mean_x10_p90,rh_ng_mean_x10_stdDev,rh_ng_skewness_x10_count,rh_ng_skewness_x10_max,rh_ng_skewness_x10_mean,rh_ng_skewness_x10_median,rh_ng_skewness_x10_min,rh_ng_skewness_x10_p10,rh_ng_skewness_x10_p25,rh_ng_skewness_x10_p75,rh_ng_skewness_x10_p90,rh_ng_skewness_x10_stdDev,rh_ng_std_x10_count,rh_ng_std_x10_max,rh_ng_std_x10_mean,rh_ng_std_x10_median,rh_ng_std_x10_min,rh_ng_std_x10_p10,rh_ng_std_x10_p25,rh_ng_std_x10_p75,rh_ng_std_x10_p90,rh_ng_std_x10_stdDev,row,.geo
1008,38.154689184333456,-9.946999640675529,22,grid_0018_0022,1008,West3,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,110,110.0,110.0,110,110.0,110.0,110.0,110.0,0.0,1,-9,-9.0,-9.0,-9,-9.0,-9.0,-9.0,-9.0,0.0,1,59,59.0,59.0,59,59.0,59.0,59.0,59.0,0.0,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
1010,38.60384477182896,-9.946999640675529,22,grid_0020_0022,1010,West3,11,-9,-10.636363636363637,-10.0,-13,-12.0,-11.0,-10.0,-10.0,1.067940011315519,11,176,98.81818181818181,118.0,16,21.0,49.0,149.0,159.0,53.36975340501769,11,2,0.0,0.0,-2,-2.0,-1.0,1.0,2.0,1.2792042981336627,11,115,66.81818181818181,64.0,37,38.0,45.0,84.0,96.0,23.828242150165877,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
1011,38.828422565576716,-9.946999640675529,22,grid_0021_0022,1011,West3,49,-7,-9.83673469387755,-10.0,-12,-11.0,-11.0,-9.0,-8.0,1.0944561369626087,49,171,76.10204081632654,77.0,11,21.0,57.0,92.0,117.0,35.29597589247838,49,3,-0.7142857142857143,-1.0,-6,-3.0,-1.0,0.0,2.0,1.979486637221574,49,81,49.93877551020408,50.0,25,36.0,41.0,55.0,70.0,12.681994569298896,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
1012,39.05300035932447,-9.946999640675529,22,grid_0022_0022,1012,West3,16,-6,-9.618421052631579,-10.0,-11,-11.0,-11.0,-9.0,-6.0,1.529654781315052,16,129,77.47368421052632,79.0,27,31.0,59.0,95.0,129.0,31.614869919074472,16,4,-0.868421052631579,-1.0,-3,-3.0,-2.0,1.0,1.0,1.8328597873268975,16,77,49.05263157894737,49.0,30,31.0,40.0,60.0,63.0,12.954246408031615,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
1014,39.50215594681998,-9.946999640675529,22,grid_0024_0022,1014,West3,2,-10,-10.0,-10.0,-10,-10.0,-10.0,-10.0,-10.0,0.0,2,92,92.0,92.0,92,92.0,92.0,92.0,92.0,0.0,2,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0.0,2,58,58.0,58.0,58,58.0,58.0,58.0,58.0,0.0,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
1025,41.97251167804528,-9.946999640675529,22,grid_0035_0022,1025,West3,1,27,27.0,27.0,27,27.0,27.0,27.0,27.0,0.0,1,71,71.0,71.0,71,71.0,71.0,71.0,71.0,0.0,1,-12,-12.0,-12.0,-12,-12.0,-12.0,-12.0,-12.0,0.0,1,19,19.0,19.0,19,19.0,19.0,19.0,19.0,0.0,35,"{""type"":""MultiPoint"",""coordinates"":[]}"
1027,42.42166726554078,-9.946999640675529,22,grid_0037_0022,1027,West3,2,54,44.0,44.0,34,34.0,34.0,54.0,54.0,10.0,2,90,46.5,46.5,3,3.0,3.0,90.0,90.0,43.5,2,23,19.0,19.0,15,15.0,15.0,23.0,23.0,4.0,2,240,133.0,133.0,26,26.0,26.0,240.0,240.0,107.0,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
1028,42.64624505928854,-9.946999640675529,22,grid_0038_0022,1028,West3,3,-10,-10.666666666666666,-11.0,-11,-11.0,-11.0,-10.0,-10.0,0.4714045207910384,3,62,53.333333333333336,49.0,49,49.0,49.0,62.0,62.0,6.128258770283395,3,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,41,40.0,41.0,38,38.0,38.0,41.0,41.0,1.4142135623730951,38,"{""type"":""MultiPoint"",""coordinates"":[]}"
1029,42.870822853036294,-9.946999640675529,22,grid_0039_0022,1029,West3,2,-13,-13.0,-13.0,-13,-13.0,-13.0,-13.0,-13.0,0.0,2,43,43.0,43.0,43,43.0,43.0,43.0,43.0,0.0,2,5,5.0,5.0,5,5.0,5.0,5.0,5.0,0.0,2,57,57.0,57.0,57,57.0,57.0,57.0,57.0,0.0,39,"{""type"":""MultiPoint"",""coordinates"":[]}"
1033,43.76913402802731,-9.946999640675529,22,grid_0043_0022,1033,West3,2,-9,-10.0,-10.0,-11,-11.0,-11.0,-9.0,-9.0,1.0,2,74,54.0,54.0,34,34.0,34.0,74.0,74.0,20.0,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,51,43.5,43.5,36,36.0,36.0,51.0,51.0,7.5,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
