system:index,center_lat,center_lon,col,grid_id,numeric_id,region,rh_ng_kurtosis_x10_count,rh_ng_kurtosis_x10_max,rh_ng_kurtosis_x10_mean,rh_ng_kurtosis_x10_median,rh_ng_kurtosis_x10_min,rh_ng_kurtosis_x10_p10,rh_ng_kurtosis_x10_p25,rh_ng_kurtosis_x10_p75,rh_ng_kurtosis_x10_p90,rh_ng_kurtosis_x10_stdDev,rh_ng_mean_x10_count,rh_ng_mean_x10_max,rh_ng_mean_x10_mean,rh_ng_mean_x10_median,rh_ng_mean_x10_min,rh_ng_mean_x10_p10,rh_ng_mean_x10_p25,rh_ng_mean_x10_p75,rh_ng_mean_x10_p90,rh_ng_mean_x10_stdDev,rh_ng_skewness_x10_count,rh_ng_skewness_x10_max,rh_ng_skewness_x10_mean,rh_ng_skewness_x10_median,rh_ng_skewness_x10_min,rh_ng_skewness_x10_p10,rh_ng_skewness_x10_p25,rh_ng_skewness_x10_p75,rh_ng_skewness_x10_p90,rh_ng_skewness_x10_stdDev,rh_ng_std_x10_count,rh_ng_std_x10_max,rh_ng_std_x10_mean,rh_ng_std_x10_median,rh_ng_std_x10_min,rh_ng_std_x10_p10,rh_ng_std_x10_p25,rh_ng_std_x10_p75,rh_ng_std_x10_p90,rh_ng_std_x10_stdDev,row,.geo
1008,38.154689184333456,-9.946999640675529,22,grid_0018_0022,1008,West3,1,-11,-11.0,-11.0,-11,-11.0,-11.0,-11.0,-11.0,0.0,1,567,567.0,567.0,567,567.0,567.0,567.0,567.0,0.0,1,-3,-3.0,-3.0,-3,-3.0,-3.0,-3.0,-3.0,0.0,1,280,280.0,280.0,280,280.0,280.0,280.0,280.0,0.0,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
1010,38.60384477182896,-9.946999640675529,22,grid_0020_0022,1010,West3,11,-4,-7.818181818181818,-8.0,-11,-10.0,-9.0,-6.0,-6.0,1.8982375470746453,11,673,628.4545454545455,638.0,567,590.0,611.0,651.0,658.0,29.546153837878684,11,-3,-4.818181818181818,-5.0,-7,-6.0,-5.0,-4.0,-4.0,1.0285189544531597,11,277,253.9090909090909,247.0,232,241.0,244.0,267.0,272.0,13.839696170170852,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
1011,38.828422565576716,-9.946999640675529,22,grid_0021_0022,1011,West3,49,-7,-8.204081632653061,-8.0,-10,-10.0,-9.0,-8.0,-7.0,0.9030468118301057,49,648,624.9795918367347,629.0,586,600.0,616.0,637.0,642.0,15.812020480321545,49,-3,-4.489795918367347,-5.0,-6,-5.0,-5.0,-4.0,-4.0,0.6737785313967003,49,271,254.71428571428572,251.0,244,246.0,249.0,262.0,268.0,8.149120398258093,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
1012,39.05300035932447,-9.946999640675529,22,grid_0022_0022,1012,West3,16,-6,-8.131578947368421,-8.0,-10,-9.0,-9.0,-7.0,-7.0,1.0532687216470449,16,660,623.2763157894736,620.0,602,607.0,608.0,635.0,644.0,15.606363886248456,16,-4,-4.407894736842105,-4.0,-6,-5.0,-5.0,-4.0,-4.0,0.6091746465505602,16,270,257.22368421052636,255.0,239,249.0,250.0,264.0,267.0,7.989983964314321,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
1014,39.50215594681998,-9.946999640675529,22,grid_0024_0022,1014,West3,2,-8,-8.0,-8.0,-8,-8.0,-8.0,-8.0,-8.0,0.0,2,628,628.0,628.0,628,628.0,628.0,628.0,628.0,0.0,2,-5,-5.0,-5.0,-5,-5.0,-5.0,-5.0,-5.0,0.0,2,255,255.0,255.0,255,255.0,255.0,255.0,255.0,0.0,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
1025,41.97251167804528,-9.946999640675529,22,grid_0035_0022,1025,West3,1,-11,-11.0,-11.0,-11,-11.0,-11.0,-11.0,-11.0,0.0,1,561,561.0,561.0,561,561.0,561.0,561.0,561.0,0.0,1,-2,-2.0,-2.0,-2,-2.0,-2.0,-2.0,-2.0,0.0,1,277,277.0,277.0,277,277.0,277.0,277.0,277.0,0.0,35,"{""type"":""MultiPoint"",""coordinates"":[]}"
1027,42.42166726554078,-9.946999640675529,22,grid_0037_0022,1027,West3,2,-8,-9.0,-9.0,-10,-10.0,-10.0,-8.0,-8.0,1.0,2,644,621.5,621.5,599,599.0,599.0,644.0,644.0,22.5,2,-3,-4.5,-4.5,-6,-6.0,-6.0,-3.0,-3.0,1.5,2,272,260.5,260.5,249,249.0,249.0,272.0,272.0,11.5,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
1028,42.64624505928854,-9.946999640675529,22,grid_0038_0022,1028,West3,3,-7,-8.333333333333334,-9.0,-9,-9.0,-9.0,-7.0,-7.0,0.9428090415820617,3,639,621.6666666666666,613.0,613,613.0,613.0,639.0,639.0,12.256517540567879,3,-4,-4.333333333333333,-4.0,-5,-5.0,-5.0,-4.0,-4.0,0.47140452079103085,3,263,258.6666666666667,263.0,250,250.0,250.0,263.0,263.0,6.128258770283148,38,"{""type"":""MultiPoint"",""coordinates"":[]}"
1029,42.870822853036294,-9.946999640675529,22,grid_0039_0022,1029,West3,2,-8,-8.0,-8.0,-8,-8.0,-8.0,-8.0,-8.0,0.0,2,612,612.0,612.0,612,612.0,612.0,612.0,612.0,0.0,2,-4,-4.0,-4.0,-4,-4.0,-4.0,-4.0,-4.0,0.0,2,252,252.0,252.0,252,252.0,252.0,252.0,252.0,0.0,39,"{""type"":""MultiPoint"",""coordinates"":[]}"
1033,43.76913402802731,-9.946999640675529,22,grid_0043_0022,1033,West3,2,-7,-8.0,-8.0,-9,-9.0,-9.0,-7.0,-7.0,1.0,2,637,622.0,622.0,607,607.0,607.0,637.0,637.0,15.0,2,-4,-4.5,-4.5,-5,-5.0,-5.0,-4.0,-4.0,0.5,2,269,261.0,261.0,253,253.0,253.0,269.0,269.0,8.0,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
