system:index,center_lat,center_lon,col,grid_id,numeric_id,region,rh_ng_kurtosis_x10_count,rh_ng_kurtosis_x10_max,rh_ng_kurtosis_x10_mean,rh_ng_kurtosis_x10_median,rh_ng_kurtosis_x10_min,rh_ng_kurtosis_x10_p10,rh_ng_kurtosis_x10_p25,rh_ng_kurtosis_x10_p75,rh_ng_kurtosis_x10_p90,rh_ng_kurtosis_x10_stdDev,rh_ng_mean_x10_count,rh_ng_mean_x10_max,rh_ng_mean_x10_mean,rh_ng_mean_x10_median,rh_ng_mean_x10_min,rh_ng_mean_x10_p10,rh_ng_mean_x10_p25,rh_ng_mean_x10_p75,rh_ng_mean_x10_p90,rh_ng_mean_x10_stdDev,rh_ng_skewness_x10_count,rh_ng_skewness_x10_max,rh_ng_skewness_x10_mean,rh_ng_skewness_x10_median,rh_ng_skewness_x10_min,rh_ng_skewness_x10_p10,rh_ng_skewness_x10_p25,rh_ng_skewness_x10_p75,rh_ng_skewness_x10_p90,rh_ng_skewness_x10_stdDev,rh_ng_std_x10_count,rh_ng_std_x10_max,rh_ng_std_x10_mean,rh_ng_std_x10_median,rh_ng_std_x10_min,rh_ng_std_x10_p10,rh_ng_std_x10_p25,rh_ng_std_x10_p75,rh_ng_std_x10_p90,rh_ng_std_x10_stdDev,row,.geo
0,34.11228889687388,5.112288896873877,0,grid_0000_0000,0,East1,93,25,-4.881720430107527,-6.0,-14,-12.0,-9.0,-2.0,4.0,6.654046327159979,93,58,46.39784946236559,45.0,37,39.0,42.0,50.0,55.0,5.6055651781587335,93,8,-2.4731182795698925,-3.0,-13,-9.0,-5.0,1.0,3.0,4.589823708399048,93,28,20.49462365591398,21.0,12,16.0,18.0,23.0,24.0,3.284449041091435,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,34.33686669062163,5.112288896873877,0,grid_0001_0000,1,East1,2032,950,1.1838502926148122,-2.49543576898475,-30,-6.201829775436651,-6.201829775436651,1.2529772509892914,5.189814917679472,46.83360717101045,2032,173,56.949114419547364,51.0,0,39.00000000000001,43.0,64.0,86.0,20.169135711425103,2032,98,0.37398996638700965,1.0,-21,-7.0,-3.0,4.0,6.0,7.103625143050578,2032,83,21.18548452603363,19.0,0,14.0,16.0,24.0,31.0,7.757552194767663,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,34.56144448436939,5.112288896873877,0,grid_0002_0000,2,East1,2266,949,1.923993039065127,-2.536437196667274,-18,-6.018343035061594,-6.018343035061594,1.2466103170151448,5.107822841647957,50.7706216276829,2266,134,59.467244086845284,55.0,2,40.0,45.0,70.0,86.0,19.44886204539032,2266,98,0.7860916499980933,1.0,-15,-6.0,-2.0,3.0,5.0,7.420652371659495,2266,105,21.69349353652238,20.0,5,14.0,17.0,25.0,31.0,7.194637434509273,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,34.78602227811714,5.112288896873877,0,grid_0003_0000,3,East1,4780,960,54.07806469859886,-2.607311198699784,-30,-10.154993246285455,-6.293792999427531,1.108740849559285,25.884615384615383,212.0469555780016,4780,221,55.924378805642746,51.00000000000001,0,36.0,42.0,67.0,84.0,23.884026119231894,4780,99,6.277368974073533,2.0,-74,-7.0,-1.0,5.0,10.0,23.4957827389511,4780,257,24.7171027209061,18.48564380040218,0,12.603632264529057,16.46877181551636,26.43507183697405,38.39473684210526,19.461951162883768,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,35.01060007186489,5.112288896873877,0,grid_0004_0000,4,East1,7550,960,57.51584785311822,-2.5744701053215877,-30,-10.140619455014987,-6.278037824421303,1.1486957266931708,33.36666666666667,220.07656879195446,7550,440,53.819615626739655,48.469554125466345,0,36.621848042468486,40.519386047864984,64.43992224517069,80.53431036844268,22.995270688379396,7550,99,6.926324469717859,2.0,-71,-6.0,-1.0,6.000000000000001,10.0,24.140047511278038,7550,256,24.55883699514591,18.482925730221012,0,12.665989914205255,14.530130788379052,26.453433485645313,38.470588235294116,18.51913226167605,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,35.23517786561265,5.112288896873877,0,grid_0005_0000,5,East1,2897,960,52.33898219955556,-2.5694373839338516,-30,-10.120007027495074,-6.305537574295299,1.1320609346961066,28.88888888888889,211.42759268295796,2897,219,59.29587181182271,53.0,0,36.0,43.0,70.0,90.0,28.395077895054296,2897,99,5.803124070984582,2.0,-63,-8.0,-2.0,5.0,10.0,23.512720644784814,2897,184,26.4320283112994,21.070097244732576,0,13.0,16.0,28.0,43.0,19.362922269705926,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,35.459755659360404,5.112288896873877,0,grid_0006_0000,6,East1,1573,920,8.205297319149254,-2.3627450980392157,-17,-6.266666666666667,-2.3627450980392157,1.1662591687041566,9.23443500838427,67.3017794361683,1573,156,48.47767954063948,44.0,1,37.0,40.0,54.0,68.0,15.790074161871972,1573,96,-0.30186833561666054,-1.0,-16,-8.0,-5.0,2.0,4.0,10.11790243719483,1573,77,17.489223444155805,15.000000000000002,4,12.0,13.0,20.0,26.0,6.796136805064219,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,35.68433345310816,5.112288896873877,0,grid_0007_0000,7,East1,12084,960,42.10134053900934,-2.6051709979435866,-30,-10.049412205979607,-6.298671107135895,1.1635076761219174,17.491525423728813,191.32097910484254,12084,314,53.89375060503899,50.472425826618874,0,36.50972308829303,42.51087981887931,64.46478873239437,78.4997071808271,20.12980424352425,12084,99,4.91009948952576,2.0,-74,-7.0,-2.0,5.0,8.0,21.15526740629719,12084,181,23.20930061065895,19.0,0,13.018327059150536,15.0,25.0,34.0,16.066832397364596,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,35.90891124685591,5.112288896873877,0,grid_0008_0000,8,East1,7423,960,46.19871425108936,-2.52497203663688,-30,-10.083805216767448,-6.342961394197649,1.1306190621576482,17.477777777777778,198.8164853064181,7423,290,52.445369959748916,48.48821267496811,0,36.594365142827975,42.49271087626375,60.49671340552972,76.50961538461539,19.805776222255986,7423,99,5.145428912839391,2.0,-68,-7.0,-2.0,5.0,8.0,21.981666537329996,7423,172,22.638153974464956,18.0,0,13.000000000000002,15.0,24.0,33.0,16.455784650002435,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,36.13348904060366,5.112288896873877,0,grid_0009_0000,9,East1,3033,960,33.446436249851054,-2.615781469910282,-30,-10.176638176638177,-6.323598474487925,1.1839378238341969,9.26865671641791,173.81464084129618,3033,597,73.2065099701078,49.27531971803516,0,37.76772634694936,41.44068645302258,65.25308855790325,109.33333333333333,81.36168780231758,3033,99,3.820279028322463,1.0,-67,-6.0,-3.0,4.0,8.0,19.298582062496045,3033,337,31.201326757396632,18.4683908045977,0,12.638960583356303,14.467018469656992,26.522042991775795,66.5,37.63647603901235,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
