system:index,center_lat,center_lon,col,grid_id,numeric_id,region,rh_ng_kurtosis_x10_count,rh_ng_kurtosis_x10_max,rh_ng_kurtosis_x10_mean,rh_ng_kurtosis_x10_median,rh_ng_kurtosis_x10_min,rh_ng_kurtosis_x10_p10,rh_ng_kurtosis_x10_p25,rh_ng_kurtosis_x10_p75,rh_ng_kurtosis_x10_p90,rh_ng_kurtosis_x10_stdDev,rh_ng_mean_x10_count,rh_ng_mean_x10_max,rh_ng_mean_x10_mean,rh_ng_mean_x10_median,rh_ng_mean_x10_min,rh_ng_mean_x10_p10,rh_ng_mean_x10_p25,rh_ng_mean_x10_p75,rh_ng_mean_x10_p90,rh_ng_mean_x10_stdDev,rh_ng_skewness_x10_count,rh_ng_skewness_x10_max,rh_ng_skewness_x10_mean,rh_ng_skewness_x10_median,rh_ng_skewness_x10_min,rh_ng_skewness_x10_p10,rh_ng_skewness_x10_p25,rh_ng_skewness_x10_p75,rh_ng_skewness_x10_p90,rh_ng_skewness_x10_stdDev,rh_ng_std_x10_count,rh_ng_std_x10_max,rh_ng_std_x10_mean,rh_ng_std_x10_median,rh_ng_std_x10_min,rh_ng_std_x10_p10,rh_ng_std_x10_p25,rh_ng_std_x10_p75,rh_ng_std_x10_p90,rh_ng_std_x10_stdDev,row,.geo
16,47.705533596837945,-4.887711103126123,0,grid_0016_0000,16,East4a,49,3,-10.10204081632653,-10.0,-15,-12.0,-11.0,-9.0,-8.0,2.47637735708041,49,134,95.75510204081633,92.0,48,54.0,77.0,119.0,130.0,26.59870382927994,49,5,0.5714285714285714,1.0,-5,-3.0,0.0,1.0,4.0,2.1946130708196026,49,85,48.734693877551024,49.0,14,25.0,39.0,60.0,71.0,16.975102428477697,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,47.9301113905857,-4.887711103126123,0,grid_0017_0000,17,East4a,24,34,-5.95715972339349,-8.0,-13,-11.0,-10.0,-4.0,-2.0,9.027350417235146,24,102,66.00995108787316,70.0,39,43.0,52.0,81.0,84.0,17.18021310176978,24,7,0.4515095294316074,1.0,-18,-1.0,0.0,2.0,4.0,4.470388685561916,24,54,28.81683251813122,26.0,15,16.0,20.0,38.0,44.0,11.12796464867777,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,47.9301113905857,-4.663133309378369,1,grid_0017_0001,35,East4a,832,935,-2.5014493582775525,-6.539059309615893,-18,-10.023585356072035,-10.023585356072035,-2.74193845163071,1.18679807471923,48.4171671868808,832,216,68.88333619390889,61.0,10,41.0,48.0,84.0,107.0,28.039844349631025,832,97,1.185479718519366,1.0,-21,-5.0,-1.0,4.0,5.0,6.459103750892449,832,83,28.482154776207643,26.0,9,16.0,19.0,36.0,44.0,11.977038383692113,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,47.705533596837945,-4.438555515630615,2,grid_0016_0002,52,East4a,206,222,0.9223137006544228,-4.0,-13,-10.0,-7.0,-2.0,3.0,31.02751918751885,206,115,51.558235937589956,49.0,3,36.0,41.0,56.0,75.0,17.06287754130678,206,43,1.1917208820312049,1.0,-11,-6.0,-2.0,4.0,6.0,6.113406519933999,206,51,20.90982017771125,19.0,6,13.0,16.0,24.0,30.0,7.731815069931191,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,47.9301113905857,-4.438555515630615,2,grid_0017_0002,53,East4a,7065,936,-2.4331997359671154,-6.51101638589724,-30,-10.182687590489751,-6.51101638589724,-2.621337111501338,1.1273424884819934,32.56273687482569,7065,716,79.73959115076934,69.58888175747953,0,41.61931303892145,49.4910465868651,101.54736227288848,129.36815827713403,39.57820707994489,7065,97,-0.10322558686218784,0.0,-21,-6.999999999999999,-3.0,3.0,6.0,6.177490313928118,7065,410,31.47850157432118,28.47470364757417,0,16.443715980300976,20.49231821332884,38.52765957446808,50.42748091603053,18.988617781365786,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,47.705533596837945,-4.21397772188286,3,grid_0016_0003,70,East4a,2085,947,-2.0829799112423237,-6.389072203326734,-16,-10.246220079924194,-6.389072203326734,-2.778299865748808,1.119051006615921,32.25498254772521,2085,179,64.99648375772371,56.0,2,38.0,44.0,79.0,109.0,28.607915790842664,2085,98,0.9328356090498766,1.0,-13,-5.0,-2.0,4.0,6.0,6.362552653380868,2085,85,26.4741401008696,24.0,9,14.0,18.0,33.0,42.0,11.411196797915583,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,47.9301113905857,-4.21397772188286,3,grid_0017_0003,71,East4a,26481,960,-1.8316016485097608,-6.48391615850311,-30,-10.204194489132822,-6.48391615850311,-2.698481096975197,1.2350161491464022,43.00930238492036,26481,549,86.84783754726621,81.44120430202544,0,45.553251512714716,57.50236223821691,109.38109202392656,137.47572125633616,36.45982687293692,26481,99,-0.3122747939511131,-1.0,-54,-6.981526762743893,-4.0,3.0,5.0,6.921761906877618,26481,227,33.822149446926886,32.0,0,17.0,23.007685139505565,42.0,53.0,14.272348581801282,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,47.705533596837945,-3.9893999281351062,4,grid_0016_0004,88,East4a,24,21,-1.125,-1.5,-14,-9.0,-6.0,2.0,6.0,7.04930552134984,24,72,52.041666666666664,55.0,29,36.0,41.5,62.0,69.0,12.19111413648847,24,10,2.25,1.0,-6,-5.0,-1.0,6.5,10.0,4.9180788932265,24,31,19.208333333333332,17.5,12,14.0,15.5,22.5,25.0,4.9747626967413145,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,47.9301113905857,-3.9893999281351062,4,grid_0017_0004,89,East4a,24263,960,-2.698864834944764,-6.519630790338235,-30,-10.183275446892202,-10.183275446892202,-2.718154491833031,1.2408040960607856,36.927729842869645,24263,695,85.79673799311654,81.51392417145124,0,45.49487128759351,57.503347849286534,109.50643805416928,137.40748153771827,37.22762620272783,24263,99,0.05310426367262978,0.0,-58,-5.986687348719872,-3.0000000000000004,3.0000000000000004,6.0,6.344103269010887,24263,339,33.93089168504591,32.495804668093726,0,16.51604509973981,22.505051079935118,42.472507802247236,52.49770642201835,15.597571477932078,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,47.705533596837945,-3.7648221343873516,5,grid_0016_0005,106,East4a,1526,958,-2.59547424743615,-6.560771930949366,-30,-10.169871755386643,-6.560771930949366,-2.7525353820353313,5.20869327998545,35.616091904538365,1526,208,88.19310534338479,82.00000000000001,0,44.0,56.0,113.0,143.0,38.020126558157735,1526,99,-0.07408982029718887,0.0,-18,-7.0,-3.0,3.0,6.0,6.269537586306873,1526,103,34.13237398508871,33.0,0,17.0,23.0,43.0,53.0,14.117469257489033,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,47.9301113905857,-3.7648221343873516,5,grid_0017_0005,107,East4a,26195,960,-2.0478845563954553,-6.528342225542227,-30,-10.200434488358567,-10.200434488358567,-2.7467900931914007,1.2350853300798503,42.30943518925763,26195,338,89.543887664331,84.46607142857142,0,46.503259134619164,60.50768158741746,112.45565668168831,138.52542372881356,36.364834349009996,26195,99,-0.5664413463420636,-1.0,-46,-7.0,-4.0,2.0,5.0,6.821026844924164,26195,149,34.91542035502764,33.00000000000001,0,18.011760857374295,24.999999999999996,42.999999999999986,53.0,14.199506679474416,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,47.031800215594686,-3.540244340639598,6,grid_0013_0006,121,East4a,2,-12,-12.0,-12.0,-12,-12.0,-12.0,-12.0,-12.0,0.0,2,60,60.0,60.0,60,60.0,60.0,60.0,60.0,0.0,2,1,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,2,26,26.0,26.0,26,26.0,26.0,26.0,26.0,0.0,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,47.256378009342434,-3.540244340639598,6,grid_0014_0006,122,East4a,10,-8,-9.3,-9.5,-11,-11.0,-10.0,-8.0,-8.0,1.1874342087037928,10,87,66.9,66.0,52,53.0,64.0,70.0,81.5,9.55458005356594,10,3,0.4,1.0,-4,-4.0,0.0,2.0,3.0,2.3748684174075834,10,36,28.0,32.0,15,15.0,21.0,36.0,36.0,8.508818954473059,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,47.705533596837945,-3.540244340639598,6,grid_0016_0006,124,East4a,8707,947,-1.070441940811733,-6.521005193900265,-30,-10.125032948787116,-6.521005193900265,-2.6643493603216584,5.340156780079707,45.22959204910135,8707,465,91.125313953641,86.5,0,44.43463158672678,58.578947368421055,116.49975796794985,144.45569620253164,39.462311320448116,8707,98,-0.6995391801017778,-1.0,-27,-6.9841214151519955,-4.0,2.0,5.0,7.097036536792112,8707,159,34.183082781467455,33.0,0,17.0,23.0,42.01905798493288,53.0,14.140410583813624,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,47.9301113905857,-3.540244340639598,6,grid_0017_0006,125,East4a,35619,960,-2.5315092915047632,-6.567691255082421,-30,-10.204925252915057,-10.204925252915057,-2.7030915016919845,1.2043942114714268,41.49915245925982,35619,454,101.02498665218191,96.5348561671284,0,50.51119594962381,68.46334163979283,126.50092421441775,154.52,43.86553010563681,35619,99,-0.712987209154656,-1.0,-44,-6.991487697492445,-4.0,2.0,5.000000000000001,6.729798887891529,35619,191,39.70685410876133,38.0,0,20.000000000000004,27.999999999999993,47.99999999999999,60.00000000000001,17.187449182106757,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,47.256378009342434,-3.315666546891843,7,grid_0014_0007,140,East4a,889,950,4.750623574211989,-6.493905093600349,-30,-10.036797613127797,-6.493905093600349,-2.647577092511013,5.275862068965517,78.94262741060174,889,319,76.68912717363325,66.4,0,40.62068965517241,48.22628951747089,94.45454545454545,124.375,40.03305211774332,889,98,0.72020824271905,1.0,-32,-6.0,-3.0,3.0,6.0,10.10451606645186,889,105,29.124106802062904,26.0,0,15.000000000000002,18.000000000000004,36.0,48.0,14.078155337082972,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,47.48095580309019,-3.315666546891843,7,grid_0015_0007,141,East4a,169,958,6.761265134437964,-2.7906976744186047,-13,-9.909090909090908,-6.723404255319149,1.0476190476190477,9.0,77.20123989597666,169,292,70.94218121819154,52.5,28,38.8,44.5,88.0,128.0,38.59037048401251,169,99,1.474193023634124,2.0,-37,-6.0,-3.0,5.0,7.0,10.039482994400664,169,85,26.315586437684463,22.0,6,14.0,17.0,34.0,45.0,13.584275629517322,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,47.705533596837945,-3.315666546891843,7,grid_0016_0007,142,East4a,17147,955,-1.978397992916878,-6.451709480124541,-30,-10.181155389200601,-6.451709480124541,-2.6864130937428206,5.284813652015394,31.812522824986484,17147,267,93.64986148796909,88.4948230695663,0,44.423123435610435,58.48297213622291,122.51464435146444,150.46153846153845,40.795818239458086,17147,99,-1.1279625547479062,-1.0,-29,-8.0,-5.0,2.0,5.0,6.387421298808529,17147,139,34.922864780066,34.0,0,17.0,24.0,44.011477400288655,54.0,14.413570168957145,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,47.9301113905857,-3.315666546891843,7,grid_0017_0007,143,East4a,38330,957,-2.3196075597782078,-6.562431977630728,-30,-10.233406618711346,-10.233406618711346,-2.7146247633582594,5.297406261396408,40.355174698196876,38330,569,108.16307413215264,105.4906148867314,0,53.4453390518039,77.47470037151834,133.46666994983784,161.45287033584137,45.65568128542673,38330,99,-1.1531717041273355,-1.0,-41,-6.986460920498973,-5.0,2.0,5.0,6.654263749235079,38330,346,41.94266170607468,40.526995662964254,0,20.49622470552703,30.49451300314726,50.492268466662736,62.45846020008698,20.243255701952126,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,47.031800215594686,-3.0910887531440894,8,grid_0013_0008,157,East4a,36,-6,-9.196063080192372,-10.0,-11,-11.0,-10.0,-8.0,-7.0,1.5483463899301988,36,106,75.59176825858405,71.0,44,60.0,64.0,87.0,101.0,15.164809613618097,36,2,0.2584722066882899,1.0,-3,-2.0,-1.0,1.0,2.0,1.4261664058881596,36,52,33.192484062185436,31.0,14,18.0,26.0,44.0,49.0,10.724776609950126,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
