system:index,center_lat,center_lon,col,grid_id,numeric_id,region,rh_ng_kurtosis_x10_count,rh_ng_kurtosis_x10_max,rh_ng_kurtosis_x10_mean,rh_ng_kurtosis_x10_median,rh_ng_kurtosis_x10_min,rh_ng_kurtosis_x10_p10,rh_ng_kurtosis_x10_p25,rh_ng_kurtosis_x10_p75,rh_ng_kurtosis_x10_p90,rh_ng_kurtosis_x10_stdDev,rh_ng_mean_x10_count,rh_ng_mean_x10_max,rh_ng_mean_x10_mean,rh_ng_mean_x10_median,rh_ng_mean_x10_min,rh_ng_mean_x10_p10,rh_ng_mean_x10_p25,rh_ng_mean_x10_p75,rh_ng_mean_x10_p90,rh_ng_mean_x10_stdDev,rh_ng_skewness_x10_count,rh_ng_skewness_x10_max,rh_ng_skewness_x10_mean,rh_ng_skewness_x10_median,rh_ng_skewness_x10_min,rh_ng_skewness_x10_p10,rh_ng_skewness_x10_p25,rh_ng_skewness_x10_p75,rh_ng_skewness_x10_p90,rh_ng_skewness_x10_stdDev,rh_ng_std_x10_count,rh_ng_std_x10_max,rh_ng_std_x10_mean,rh_ng_std_x10_median,rh_ng_std_x10_min,rh_ng_std_x10_p10,rh_ng_std_x10_p25,rh_ng_std_x10_p75,rh_ng_std_x10_p90,rh_ng_std_x10_stdDev,row,.geo
0,48.11228889687388,25.112288896873878,0,grid_0000_0000,0,East6c,50830,960,2.2531726115929924,-6.522868083160202,-30,-10.1921541607883,-10.1921541607883,-2.713804353679907,5.2672675985027935,75.29423607087843,50830,639,124.46120243672398,109.4750254333263,0,45.43990247848151,65.54552792314713,173.41649007898286,221.4611121768229,68.27470666989309,50830,99,0.9854558807613215,1.0,-90,-6.991246390053681,-3.000000000000001,4.0,7.0,9.704277333552819,50830,391,53.24793419608206,48.51687930952007,0,18.5212546545795,26.50111348962469,72.5125164690382,96.51276833567395,32.211671081483765,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,48.33686669062163,25.112288896873878,0,grid_0001_0000,1,East6c,56431,960,0.3191715177743737,-6.552525581825799,-30,-10.235233349872082,-10.235233349872082,-2.732163601786436,5.349222130723301,60.671160940671,56431,571,114.27709014728829,101.51541403332376,0,45.55163809285852,61.52392786477471,149.4966095574369,201.4542416963173,65.20965837710078,56431,99,0.27634104309034235,0.0,-74,-6.995121694157325,-4.0,4.0,7.0,8.691092639980416,56431,297,47.94066465276152,42.50523748767758,0,18.50976587052168,24.499367032183294,62.46982957162598,86.46029520903767,28.675018703087833,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,48.56144448436939,25.112288896873878,0,grid_0002_0000,2,East6c,26901,960,2.0041608949472582,-6.474433349967326,-30,-10.14283946584306,-6.474433349967326,1.1831643994130725,5.318088655249594,65.51619871861739,26901,650,100.5349014886874,81.47126436781609,0,41.555175226303334,49.44609867113849,137.5065274151436,181.46938416628564,64.14105450310998,26901,99,-0.749385153078703,-1.0,-41,-9.0,-5.000000000000001,3.0,6.0,9.125098161596137,26901,378,39.329847959549326,32.461341799179635,0,16.520529373789543,20.473886893384027,50.49980576352592,66.46902654867256,27.084955641697228,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,48.78602227811714,25.112288896873878,0,grid_0003_0000,3,East6c,12462,960,7.489405040634095,-2.673437172137177,-30,-10.108418285567735,-6.343898347353492,1.241215732405892,9.30315496626021,90.17075904302565,12462,585,98.35496615455281,85.55354884139425,0,41.40575702580514,53.41506129597198,133.55461227280497,173.30636237897647,55.32903136985719,12462,99,-0.745783751283124,-1.0,-60,-9.0,-5.0,2.0,5.0,11.329375700877746,12462,338,35.68715690041446,30.52811336818626,0,16.48461630911604,20.480107712263763,44.48485518461198,58.48893469299197,21.73438958421708,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,49.01060007186489,25.112288896873878,0,grid_0004_0000,4,East6c,20501,960,11.861924779189208,-2.6520101014360877,-30,-10.139909723582482,-6.378784629899649,1.1753837107273624,9.357938694225608,110.62434829560448,20501,535,102.964258321564,93.47747647496574,0,45.556686665202996,61.47481421711628,137.42394014962593,173.49010972322412,52.583022992707484,20501,99,-0.009627593929252783,-1.0,-81,-8.0,-4.999999999999999,2.0,5.0,13.07921315496455,20501,264,37.683603238207034,34.489004913145116,0,16.492619986581794,22.51199538279154,48.51008480403392,62.448199887492976,20.340537150388275,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,49.23517786561265,25.112288896873878,0,grid_0005_0000,5,East6c,15591,960,6.392033526083469,-2.6694973343488195,-30,-10.132164045796584,-6.408644439244974,1.2446134981607067,9.418214702890086,84.95281142687405,15591,538,112.31452132989284,101.57234726688102,0,45.43113810039385,57.49310653282029,153.6115107913669,193.4848484848485,62.01003880111453,15591,99,-1.238675667324836,-2.0,-38,-9.0,-6.0,2.0,5.0,10.870705618514426,15591,307,40.913667363615836,36.521920668058456,0,16.51418538706786,22.466553574632588,52.48429319371728,70.47125602270478,24.282677089235047,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,49.459755659360404,25.112288896873878,0,grid_0006_0000,6,East6c,10653,960,6.679436425624497,-2.658819413872176,-30,-10.10443493876681,-6.455619422861327,1.2879053852073754,5.308113337236832,90.74244114483146,10653,485,100.92873419165828,86.50871943039935,0,42.49768991081981,54.497315368250426,138.53376272595054,174.57136901349733,58.29601713634065,10653,99,-0.5264950927628268,-1.0,-57,-8.0,-5.0,2.0,5.0,11.221589478075652,10653,190,37.997204357376994,33.0,0,16.0,21.000000000000004,50.0,66.0,22.46531367902761,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,49.68433345310816,25.112288896873878,0,grid_0007_0000,7,East6c,13985,960,5.587811595047415,-6.447413005524597,-30,-10.189969975872906,-6.447413005524597,-2.6769309503188725,5.292315738354066,87.93289709083693,13985,412,92.10567748971307,76.50456621004565,0,42.51148166284374,50.55905511811024,124.62037037037037,162.5731707317073,51.3751118071213,13985,99,0.04271031354940008,0.0,-58,-7.912960158254258,-4.0,2.999999999999999,6.0,10.912999624930235,13985,278,37.01337264277753,30.522110214495257,0,16.494664407340057,20.496556978766836,46.46514250465056,62.4545621218603,25.49939866339509,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,49.90891124685591,25.112288896873878,0,grid_0008_0000,8,East6c,55617,960,5.455347121696828,-2.6678056541509503,-30,-10.145897505331211,-6.451381820488843,1.3229638131873245,13.400862068965516,72.4236706211098,55617,560,127.73030425001687,117.49272290958956,0,49.467277711792875,73.43268945545965,169.46667934214278,217.4880174291939,64.4563937727068,55617,99,-2.807652816384666,-2.9999999999999996,-68,-12.0,-7.0,1.0,4.0,10.094547106965662,55617,372,45.756530372296815,42.52595885564767,0,18.518606247392434,28.49844226210633,58.48736310359321,74.51184834123222,24.231792658535543,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,50.13348904060366,25.112288896873878,0,grid_0009_0000,9,East6c,31462,960,-0.7927714527010572,-6.471133409897806,-30,-10.360922487887999,-10.360922487887999,1.271285639237786,9.32657842723578,41.598840594471866,31462,472,132.8476351340381,138.44623812092792,0,50.48314606741573,80.47388059701493,182.4734744774865,206.39661016949154,58.287610356701464,31462,99,-3.4031872341775453,-4.0,-42,-10.999999999999998,-8.0,1.0,4.0,7.622198143797707,31462,221,50.28300944427666,51.0,0,18.999999999999996,30.000000000000004,68.0,80.99999999999999,23.593459318400853,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,50.35806683435142,25.112288896873878,0,grid_0010_0000,10,East6c,14853,960,6.323219065409585,-2.633352558390201,-30,-10.361806199658286,-6.431031006490902,1.2972848252882456,9.499526982146092,85.06003240513438,14853,403,119.44290029284478,120.48091603053435,0,44.53296492859879,62.56747979214781,166.46239959521853,196.55963302752295,58.66921991187034,14853,99,-2.2831865406198815,-3.0,-45,-11.0,-7.0,1.0,4.0,11.186228930187156,14853,237,44.410056233287605,43.0,0,17.0,24.999999999999996,59.0,75.0,22.777006912357827,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,50.582644628099175,25.112288896873878,0,grid_0011_0000,11,East6c,9060,960,8.025126341010754,-2.66857329965089,-30,-10.200321342633487,-6.4428829414699385,1.2111629273308118,5.389096087339798,99.21731731601814,9060,418,91.25986357903942,74.48275862068965,0,42.51457459509144,48.473333333333336,128.60344827586206,160.43055555555554,51.58190882631109,9060,99,-0.613488261316029,-2.0,-39,-8.0,-5.0,2.0,5.0,11.910548353603806,9060,204,34.924181511111804,30.0,0,16.0,19.0,47.0,60.0,19.196142120823424,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
