system:index,center_lat,center_lon,col,grid_id,numeric_id,region,rh_ng_kurtosis_x10_count,rh_ng_kurtosis_x10_max,rh_ng_kurtosis_x10_mean,rh_ng_kurtosis_x10_median,rh_ng_kurtosis_x10_min,rh_ng_kurtosis_x10_p10,rh_ng_kurtosis_x10_p25,rh_ng_kurtosis_x10_p75,rh_ng_kurtosis_x10_p90,rh_ng_kurtosis_x10_stdDev,rh_ng_mean_x10_count,rh_ng_mean_x10_max,rh_ng_mean_x10_mean,rh_ng_mean_x10_median,rh_ng_mean_x10_min,rh_ng_mean_x10_p10,rh_ng_mean_x10_p25,rh_ng_mean_x10_p75,rh_ng_mean_x10_p90,rh_ng_mean_x10_stdDev,rh_ng_skewness_x10_count,rh_ng_skewness_x10_max,rh_ng_skewness_x10_mean,rh_ng_skewness_x10_median,rh_ng_skewness_x10_min,rh_ng_skewness_x10_p10,rh_ng_skewness_x10_p25,rh_ng_skewness_x10_p75,rh_ng_skewness_x10_p90,rh_ng_skewness_x10_stdDev,rh_ng_std_x10_count,rh_ng_std_x10_max,rh_ng_std_x10_mean,rh_ng_std_x10_median,rh_ng_std_x10_min,rh_ng_std_x10_p10,rh_ng_std_x10_p25,rh_ng_std_x10_p75,rh_ng_std_x10_p90,rh_ng_std_x10_stdDev,row,.geo
1008,38.154689184333456,-9.946999640675529,22,grid_0018_0022,1008,West3,1,-4,-4.0,-4.0,-4,-4.0,-4.0,-4.0,-4.0,0.0,1,133,133.0,133.0,133,133.0,133.0,133.0,133.0,0.0,1,2,2.0,2.0,2,2.0,2.0,2.0,2.0,0.0,1,32,32.0,32.0,32,32.0,32.0,32.0,32.0,0.0,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
1010,38.60384477182896,-9.946999640675529,22,grid_0020_0022,1010,West3,11,-6,-9.545454545454545,-10.0,-13,-12.0,-11.0,-8.0,-6.0,2.1893808325076907,11,183,116.45454545454545,124.0,59,62.0,74.0,158.0,169.0,41.772900385436124,11,2,0.36363636363636365,0.0,-1,-1.0,-1.0,2.0,2.0,1.2264306875665492,11,112,57.0,60.0,15,19.0,30.0,78.0,90.0,29.28232479593356,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
1011,38.828422565576716,-9.946999640675529,22,grid_0021_0022,1011,West3,49,-3,-9.183673469387756,-9.0,-11,-11.0,-10.0,-9.0,-7.0,1.4381602389753372,49,178,91.42857142857143,87.0,41,60.0,70.0,103.0,128.0,28.494181289290253,49,2,-0.6326530612244898,-1.0,-6,-3.0,-2.0,1.0,2.0,2.0273021939898195,49,75,41.42857142857143,42.0,16,22.0,31.0,48.0,62.0,14.532159972605164,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
1012,39.05300035932447,-9.946999640675529,22,grid_0022_0022,1012,West3,16,-7,-9.013157894736842,-9.0,-11,-10.0,-10.0,-8.0,-7.0,1.0879309490955758,16,138,90.26315789473685,92.0,49,51.0,74.0,103.0,138.0,27.814115121642825,16,2,-0.14473684210526316,0.0,-2,-2.0,-1.0,1.0,2.0,1.3331705629813464,16,68,40.578947368421055,43.0,18,20.0,29.0,55.0,57.0,14.2148689758295,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
1014,39.50215594681998,-9.946999640675529,22,grid_0024_0022,1014,West3,2,-10,-10.0,-10.0,-10,-10.0,-10.0,-10.0,-10.0,0.0,2,107,107.0,107.0,107,107.0,107.0,107.0,107.0,0.0,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,48,48.0,48.0,48,48.0,48.0,48.0,48.0,0.0,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
1025,41.97251167804528,-9.946999640675529,22,grid_0035_0022,1025,West3,1,5,5.0,5.0,5,5.0,5.0,5.0,5.0,0.0,1,72,72.0,72.0,72,72.0,72.0,72.0,72.0,0.0,1,-4,-4.0,-4.0,-4,-4.0,-4.0,-4.0,-4.0,0.0,1,16,16.0,16.0,16,16.0,16.0,16.0,16.0,0.0,35,"{""type"":""MultiPoint"",""coordinates"":[]}"
1027,42.42166726554078,-9.946999640675529,22,grid_0037_0022,1027,West3,2,8,4.5,4.5,1,1.0,1.0,8.0,8.0,3.5,2,598,324.5,324.5,51,51.0,51.0,598.0,598.0,273.5,2,10,-1.0,-1.0,-12,-12.0,-12.0,10.0,10.0,11.0,2,225,127.0,127.0,29,29.0,29.0,225.0,225.0,98.0,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
1028,42.64624505928854,-9.946999640675529,22,grid_0038_0022,1028,West3,3,-9,-9.333333333333334,-9.0,-10,-10.0,-10.0,-9.0,-9.0,0.4714045207910384,3,69,69.0,69.0,69,69.0,69.0,69.0,69.0,0.0,3,1,0.3333333333333333,0.0,0,0.0,0.0,1.0,1.0,0.4714045207910317,3,34,30.666666666666668,29.0,29,29.0,29.0,34.0,34.0,2.357022603955148,38,"{""type"":""MultiPoint"",""coordinates"":[]}"
1029,42.870822853036294,-9.946999640675529,22,grid_0039_0022,1029,West3,2,-9,-9.0,-9.0,-9,-9.0,-9.0,-9.0,-9.0,0.0,2,93,93.0,93.0,93,93.0,93.0,93.0,93.0,0.0,2,-5,-5.0,-5.0,-5,-5.0,-5.0,-5.0,-5.0,0.0,2,39,39.0,39.0,39,39.0,39.0,39.0,39.0,0.0,39,"{""type"":""MultiPoint"",""coordinates"":[]}"
1033,43.76913402802731,-9.946999640675529,22,grid_0043_0022,1033,West3,2,-9,-9.5,-9.5,-10,-10.0,-10.0,-9.0,-9.0,0.5,2,88,73.5,73.5,59,59.0,59.0,88.0,88.0,14.5,2,2,1.5,1.5,1,1.0,1.0,2.0,2.0,0.5,2,43,32.5,32.5,22,22.0,22.0,43.0,43.0,10.5,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
1053,38.154689184333456,-9.722421846927777,23,grid_0018_0023,1053,West3,1,20,20.0,20.0,20,20.0,20.0,20.0,20.0,0.0,1,102,102.0,102.0,102,102.0,102.0,102.0,102.0,0.0,1,-8,-8.0,-8.0,-8,-8.0,-8.0,-8.0,-8.0,0.0,1,18,18.0,18.0,18,18.0,18.0,18.0,18.0,0.0,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
1055,38.60384477182896,-9.722421846927777,23,grid_0020_0023,1055,West3,17,-7,-9.176470588235293,-9.0,-11,-11.0,-10.0,-8.0,-7.0,1.3388007854989468,17,166,94.82352941176471,88.0,51,53.0,66.0,113.0,166.0,36.06405297460364,17,4,0.23529411764705882,0.0,-3,-2.0,-1.0,1.0,3.0,1.8638799432652777,17,91,44.294117647058826,41.0,16,20.0,30.0,50.0,91.0,22.3205647880323,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
1057,39.05300035932447,-9.722421846927777,23,grid_0022_0023,1057,West3,3,-9,-9.285714285714286,-9.0,-10,-10.0,-10.0,-9.0,-9.0,0.4714045207910384,3,55,47.142857142857146,44.0,44,44.0,44.0,55.0,55.0,5.185449728701358,3,0,-0.28571428571428575,0.0,-1,-1.0,-1.0,0.0,0.0,0.4714045207910317,3,24,19.000000000000004,17.0,17,17.0,17.0,24.0,24.0,3.2998316455372256,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
1059,39.50215594681998,-9.722421846927777,23,grid_0024_0023,1059,West3,6,-5,-9.833333333333334,-10.0,-14,-14.0,-10.0,-10.0,-5.0,2.608745973749756,6,220,109.0,88.5,70,70.0,82.0,105.0,220.0,50.84617324178225,6,1,-0.16666666666666666,0.0,-1,-1.0,-1.0,0.0,1.0,0.6871842709362768,6,141,56.5,43.5,24,24.0,37.0,50.0,141.0,38.819024545532656,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
1060,39.72673374056773,-9.722421846927777,23,grid_0025_0023,1060,West3,7,-8,-9.285714285714286,-9.0,-10,-10.0,-10.0,-9.0,-8.0,0.6998542122237669,7,125,106.57142857142857,105.0,73,73.0,92.0,125.0,125.0,17.855428489134972,7,4,0.7142857142857143,0.0,-1,-1.0,0.0,1.0,4.0,1.4846149779161806,7,70,52.285714285714285,50.0,31,31.0,39.0,63.0,70.0,13.002354574837439,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
1073,42.64624505928854,-9.722421846927777,23,grid_0038_0023,1073,West3,1,21,21.0,21.0,21,21.0,21.0,21.0,21.0,0.0,1,105,105.0,105.0,105,105.0,105.0,105.0,105.0,0.0,1,14,14.0,14.0,14,14.0,14.0,14.0,14.0,0.0,1,42,42.0,42.0,42,42.0,42.0,42.0,42.0,0.0,38,"{""type"":""MultiPoint"",""coordinates"":[]}"
1078,43.76913402802731,-9.722421846927777,23,grid_0043_0023,1078,West3,17,-3,-9.235294117647058,-10.0,-11,-11.0,-11.0,-9.0,-6.0,2.015510788119036,17,125,76.52941176470588,72.0,35,46.0,58.0,93.0,105.0,22.679655685369667,17,2,-1.0588235294117647,-1.0,-8,-3.0,-3.0,1.0,2.0,2.4845543625815147,17,53,34.64705882352941,32.0,15,16.0,30.0,44.0,53.0,11.529711880847813,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
1100,38.60384477182896,-9.497844053180021,24,grid_0020_0024,1100,West3,881,740,-0.2537099111954732,-2.6599205964946258,-16,-10.127260549229739,-6.51284821487933,1.1657613168724281,9.73913043478261,36.81337838821521,881,255,81.55701842951953,74.0,10,48.0,57.0,98.0,122.0,34.23346183008665,881,87,-0.11058609192771787,0.0,-27,-8.0,-4.0,3.0,7.0,7.351333529804558,881,126,31.39795556632518,27.000000000000004,10,17.0,21.0,37.0,51.0,15.395316283924181,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
1101,38.828422565576716,-9.497844053180021,24,grid_0021_0024,1101,West3,5670,960,5.110077700110048,-2.711099193236799,-30,-10.153389649515827,-6.451898743894107,1.3609266262035653,5.236024844720497,79.53782381737453,5670,589,80.20806254865794,69.45416666666667,0,41.533129668039194,49.379919578506914,101.63157894736842,137.5909090909091,42.577480956553714,5670,99,0.8849104415681017,1.0,-51,-7.0,-3.0,4.0,7.0,10.282294312743215,5670,361,31.649459263299143,26.4391251937317,0,14.519417475728156,18.50799845369365,38.50666666666667,54.48717948717949,20.5591173616127,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
1102,39.05300035932447,-9.497844053180021,24,grid_0022_0024,1102,West3,1394,960,13.57019501282384,-2.6738556382220353,-30,-10.230263157894736,-6.2008310678808805,1.1823204419889504,9.292682926829269,113.76242535247479,1394,210,63.70222411786638,58.0,0,40.0,45.0,75.0,102.00000000000001,26.47171402931961,1394,99,1.719923282904177,1.0,-46,-7.0,-3.0,4.0,7.0,13.326044202766953,1394,132,24.38327759386263,21.0,0,13.000000000000002,16.0,29.000000000000004,39.0,12.938114941174128,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
1103,39.27757815307223,-9.497844053180021,24,grid_0023_0024,1103,West3,263,69,-5.715291886766897,-9.0,-13,-11.0,-10.0,-4.0,2.0,8.798322985492918,263,177,83.47157885231839,79.0,29,44.0,60.0,106.0,122.0,31.48248975701545,263,9,-0.7197014161662678,0.0,-19,-5.0,-2.0,1.0,3.0,3.9698949514422734,263,95,34.876758920643525,29.0,11,16.0,21.0,47.0,60.0,17.645280540197643,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
1104,39.50215594681998,-9.497844053180021,24,grid_0024_0024,1104,West3,35,959,49.0,-8.0,-13,-11.0,-10.0,-3.0,5.0,223.06603762755356,35,241,81.2,68.0,9,40.0,54.0,91.0,171.0,49.4702219233233,35,99,5.3428571428571425,0.0,-14,-5.0,-1.0,3.0,5.0,23.3016772629205,35,111,36.77142857142857,30.0,3,15.0,21.0,46.0,67.0,21.363634942564985,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
1105,39.72673374056773,-9.497844053180021,24,grid_0025_0024,1105,West3,4,-10,-11.25,-11.5,-12,-12.0,-12.0,-10.5,-10.0,0.82915619758885,4,111,88.0,93.5,54,54.0,65.0,111.0,111.0,24.279621084357967,4,0,-0.5,-0.5,-1,-1.0,-1.0,0.0,0.0,0.5,4,60,44.25,49.0,19,19.0,28.5,60.0,60.0,17.122718826167766,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
1106,39.95131153431549,-9.497844053180021,24,grid_0026_0024,1106,West3,2,-8,-8.0,-8.0,-8,-8.0,-8.0,-8.0,-8.0,0.0,2,49,47.5,47.5,46,46.0,46.0,49.0,49.0,1.5,2,5,1.5,1.5,-2,-2.0,-2.0,5.0,5.0,3.5,2,24,17.5,17.5,11,11.0,11.0,24.0,24.0,6.5,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
1122,43.544556234279554,-9.497844053180021,24,grid_0042_0024,1122,West3,9,24,-3.111111111111111,-8.0,-11,-11.0,-10.0,-8.0,24.0,12.105503288857642,9,160,83.77777777777777,92.0,46,46.0,50.0,94.0,160.0,34.672364204163706,9,2,-2.6666666666666665,-2.0,-16,-16.0,-2.0,1.0,2.0,5.270462766947299,9,47,30.77777777777778,28.0,16,16.0,17.0,46.0,47.0,13.846602293043889,42,"{""type"":""MultiPoint"",""coordinates"":[]}"
1123,43.76913402802731,-9.497844053180021,24,grid_0043_0024,1123,West3,2,-9,-9.0,-9.0,-9,-9.0,-9.0,-9.0,-9.0,0.0,2,62,61.5,61.5,61,61.0,61.0,62.0,62.0,0.5,2,4,1.5,1.5,-1,-1.0,-1.0,4.0,4.0,2.5,2,38,32.0,32.0,26,26.0,26.0,38.0,38.0,6.0,43,"{""type"":""MultiPoint"",""coordinates"":[]}"
1143,38.154689184333456,-9.273266259432269,25,grid_0018_0025,1143,West3,10,-8,-8.9,-9.0,-10,-10.0,-9.0,-8.0,-8.0,0.6999999999999984,10,81,60.9,56.0,40,40.0,54.0,73.0,81.0,14.390621946253752,10,2,0.9,1.0,-2,-0.5,1.0,1.0,2.0,1.044030650891055,10,41,26.6,23.5,14,14.0,17.0,35.0,41.0,10.051865498503249,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
1144,38.379266978081205,-9.273266259432269,25,grid_0019_0025,1144,West3,1562,950,10.986961062286216,-2.7291682462658278,-30,-10.205882352941176,-6.30362745960529,1.2121723216047944,9.241379310344827,101.69155232699222,1562,311,66.93669468352388,60.51278600269179,0,40.69230769230769,48.435483870967744,82.72,100.33333333333333,26.350161940284934,1562,98,0.2226507713884993,-1.0,-52,-7.0,-4.0,3.0,6.0,12.410351503334482,1562,110,24.464086795080068,22.0,0,15.0,18.0,28.0,36.0,10.425375418774173,19,"{""type"":""MultiPoint"",""coordinates"":[]}"
1145,38.60384477182896,-9.273266259432269,25,grid_0020_0025,1145,West3,5120,960,2.5422877790961063,-2.5636948515128437,-30,-10.178320013888811,-6.411199175165734,1.2991548477905486,9.497466769982715,59.61488748490046,5120,617,82.10693637610366,69.57827145150432,0,41.703947368421055,49.43908021504232,97.41586682663467,133.42424242424244,52.52908660772833,5120,99,-0.5049285791330878,0.0,-33,-9.0,-5.000000000000001,3.0,6.0,8.91266344731117,5120,361,32.8557460283218,24.496571590363523,0,14.548595248972132,18.505387211631184,36.47006774505738,50.473947317823495,31.389677899334398,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
1146,38.828422565576716,-9.273266259432269,25,grid_0021_0025,1146,West3,17830,960,6.565681434496862,-2.6375644061243624,-30,-10.166885857358405,-6.403920905220534,1.1843029008713855,5.316155677002561,86.67141848214054,17830,778,72.45015559777312,61.39093433893035,0,41.6256491994699,45.5393910720798,85.43015080984568,117.57625287045794,43.043535831222634,17830,99,1.1910663516509665,1.0,-74,-7.0,-2.0,4.0,7.000000000000001,10.850879387493652,17830,366,28.845813185699104,22.47376042614555,0,14.559731961534924,16.496459422775434,32.535585853983385,48.50246305418719,22.757781494057888,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
1147,39.05300035932447,-9.273266259432269,25,grid_0022_0025,1147,West3,14124,960,9.16913146482995,-2.649847743898722,-30,-10.09689231660989,-6.433303634420403,1.1906513310573883,5.232126578634524,102.10533744897893,14124,591,69.30311442871,57.444609392024404,0,41.58462042336068,45.41105914810577,81.51449275362319,109.56194906953966,37.21766511247296,14124,99,1.8065866287283014,1.0,-62,-6.0,-2.0,4.0,7.0,12.027640098352338,14124,374,27.84290063894485,22.495548961424333,0,14.51622687371265,16.51746963633107,32.469298245614034,48.51724137931034,18.76232389591402,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
1148,39.27757815307223,-9.273266259432269,25,grid_0023_0025,1148,West3,10667,960,0.24362144466490196,-2.6366488758054727,-30,-10.210511966272332,-6.414702619513289,1.2513953230033894,5.29652935578473,52.924655434739805,10667,572,73.4181138554672,65.58066906627144,0,41.54994466444172,45.50107023242929,93.41490937954757,121.35211267605634,34.9367212313423,10667,99,0.47747926994847195,0.0,-51,-7.0,-3.0000000000000004,4.0,7.0,7.8961464148366005,10667,376,29.651955100394062,24.50082541902154,0,14.53792362574996,18.48162439414616,36.470681789159634,50.423368240795625,17.39817176146808,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
1149,39.50215594681998,-9.273266259432269,25,grid_0024_0025,1149,West3,1756,944,-1.5937008085890725,-6.567716164358969,-30,-10.117477387650451,-6.567716164358969,-2.776518355608188,5.053566054769786,44.159536564451436,1756,326,80.96239589920218,70.69767441860465,0,40.56666666666667,50.59183673469388,98.4090909090909,134.42857142857142,42.5963783849684,1756,98,-0.14940062157762313,-1.0,-21,-7.0,-4.0,3.0,6.0,6.902811511225876,1756,132,32.19299850659921,28.0,0,15.000000000000002,19.0,40.0,55.0,17.43246994103474,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
1150,39.72673374056773,-9.273266259432269,25,grid_0025_0025,1150,West3,82,960,3.1219512195121952,-9.5,-13,-11.0,-10.0,-9.0,-4.0,106.3746703579086,82,182,74.71951219512195,67.5,14,45.0,55.0,89.0,111.0,30.315927710244626,82,99,0.5853658536585366,-1.0,-9,-3.0,-2.0,1.0,2.0,11.148609471985017,82,95,34.23170731707317,31.0,8,13.0,20.0,44.0,57.0,19.406623699823005,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
1151,39.95131153431549,-9.273266259432269,25,grid_0026_0025,1151,West3,10,-8,-9.5,-9.5,-12,-11.0,-10.0,-9.0,-8.0,1.118033988749895,10,126,110.2,117.0,85,85.0,99.0,119.0,124.5,14.35130656072821,10,3,-0.3,-1.0,-3,-2.5,-1.0,0.0,3.0,1.8466185312619388,10,65,49.5,50.0,28,28.0,48.0,62.0,63.5,12.192210628101861,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
1161,42.19708947179303,-9.273266259432269,25,grid_0036_0025,1161,West3,20,-5,-10.05,-10.0,-13,-13.0,-12.0,-8.5,-8.0,2.1089096708963146,20,420,289.0,287.0,161,190.5,235.5,349.0,358.5,69.32459880879225,20,-1,-3.45,-4.0,-7,-6.0,-5.0,-1.5,-1.0,1.9098429254784277,20,201,137.85,137.0,94,94.0,116.5,153.5,184.5,30.151741243251596,36,"{""type"":""MultiPoint"",""coordinates"":[]}"
1164,42.870822853036294,-9.273266259432269,25,grid_0039_0025,1164,West3,3955,960,0.8151994973795339,-6.484702744210483,-18,-10.202075217225806,-10.202075217225806,-2.667497756058642,5.329468523850284,67.51999503358184,3955,354,93.99512788191599,84.46753246753246,2,46.52564102564103,58.54117647058823,122.57692307692308,156.53333333333333,43.47270911725152,3955,99,0.3731758137759362,0.0,-29,-7.0,-3.0,3.0,6.0,8.973661017071187,3955,154,38.65865449614684,34.0,8,17.0,23.0,50.0,67.0,20.28560618282048,39,"{""type"":""MultiPoint"",""coordinates"":[]}"
1165,43.09540064678404,-9.273266259432269,25,grid_0040_0025,1165,West3,5229,958,-1.5629856417013366,-6.541679868434948,-18,-10.2980622504651,-10.2980622504651,-2.6677342927342926,5.048780487804878,49.17912137939973,5229,482,102.16863104316515,92.5578947368421,2,46.52040816326531,60.4753406487399,128.48611111111111,164.47619047619048,56.320235672023315,5229,99,-0.10431877047478949,0.0,-38,-7.0,-4.0,3.0,6.0,7.498051692997036,5229,207,41.77680110462335,36.0,3,17.0,22.999999999999996,53.0,74.0,25.047945827610206,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
1167,43.544556234279554,-9.273266259432269,25,grid_0042_0025,1167,West3,3,-8,-9.0,-8.0,-11,-11.0,-11.0,-8.0,-8.0,1.4142135623730951,3,82,68.0,61.0,61,61.0,61.0,82.0,82.0,9.899494936611665,3,1,0.3333333333333333,1.0,-1,-1.0,-1.0,1.0,1.0,0.9428090415820634,3,37,31.666666666666668,29.0,29,29.0,29.0,37.0,37.0,3.7712361663282468,42,"{""type"":""MultiPoint"",""coordinates"":[]}"
1183,37.031800215594686,-9.048688465684513,26,grid_0013_0026,1183,West3,449,950,5.380141294880479,-2.523076923076923,-30,-6.291846515643139,-6.291846515643139,1.2,4.964285714285714,72.47456824874537,449,577,69.15973535803207,57.21052631578947,0,37.638297872340424,45.549019607843135,77.28,93.53846153846153,52.35848844689738,449,98,-1.2923554718773917,-1.0,-45,-8.0,-5.0,2.0,4.0,9.747029206394417,449,157,24.50241503391605,21.0,0,13.0,16.0,27.0,35.0,15.587634850939667,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
1185,37.48095580309019,-9.048688465684513,26,grid_0015_0026,1185,West3,22,-7,-9.545454545454545,-10.0,-11,-11.0,-11.0,-9.0,-8.0,1.1957224034514466,22,106,67.45454545454545,63.5,42,48.0,50.0,79.0,94.0,18.472897279103176,22,3,0.09090909090909091,0.0,-2,-2.0,-1.0,1.0,2.0,1.4112886087509113,22,50,29.681818181818183,28.5,19,20.0,22.0,34.0,42.0,9.275512059554565,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
1188,38.154689184333456,-9.048688465684513,26,grid_0018_0026,1188,West3,28,7,-8.785714285714286,-10.0,-12,-11.0,-10.0,-8.0,-7.0,3.37381876531987,28,111,64.67857142857143,60.5,41,43.0,53.0,74.5,85.0,16.093595823513535,28,2,-0.42857142857142855,0.0,-9,-2.0,-1.0,1.0,2.0,2.0603150145508513,28,52,27.642857142857142,29.0,10,12.0,18.0,34.0,40.0,10.876627253342981,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
