system:index,center_lat,center_lon,col,grid_id,groups,numeric_id,region,row,.geo
0,34.11228889687388,-4.887711103126123,0,grid_0000_0000,"[{slope=1, mean=[22.821095969265805, 65.80608176596463], median=[4.316129032258065, 52.5], stdDev=[37.17026609074833, 36.52789091923637], min=[-14, 0], max=[255, 382], count=[1569, 1569], p10=[0.521187515858919, 36.50632911392405], p25=[0.521187515858919, 42.47674418604651], p75=[24.666666666666668, 80.5], p90=[82.75, 114.33333333333333]}, {slope=2, mean=[13.49219724060449, 56.37144114705358], median=[2.5787379132711226, 48.554621848739494], stdDev=[30.51777576133078, 27.89431747253634], min=[-23, 0], max=[266, 327], count=[2294, 2294], p10=[-1.293859649122807, 36.61607142857143], p25=[0.49091959186292755, 40.445944800101756], p75=[8.535714285714286, 62.523809523809526], p90=[58.0, 96.46666666666667]}, {slope=3, mean=[6.802798268174547, 53.3749237918741], median=[0.5055748106109375, 45.44270887537016], stdDev=[25.52398300259567, 32.4203465430614], min=[-20, 0], max=[417, 820], count=[2927, 2927], p10=[-3.4568806333071285, 37.76731114821376], p25=[-1.2814490040894386, 41.529126859306906], p75=[4.2978179673678, 61.44776119402985], p90=[12.44809336409282, 77.14754098360656]}, {slope=4, mean=[4.8774681671773275, 53.64018735033977], median=[1.0, 50.50666666666667], stdDev=[18.447903131891103, 26.193226479228976], min=[-23, 0], max=[193, 428], count=[1899, 1899], p10=[-5.0, 22.384615384615383], p25=[-1.0, 40.424528301886795], p75=[5.0, 66.34375], p90=[13.0, 82.47368421052632]}, {slope=5, mean=[7.185731883263163, 61.943184023354114], median=[1.0, 63.0], stdDev=[24.637828733826083, 30.940169044319642], min=[-30, 0], max=[214, 221], count=[932, 932], p10=[-6.0, 17.0], p25=[-3.0, 45.0], p75=[7.0, 80.0], p90=[21.0, 97.0]}]",0,Central1,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,34.33686669062163,-4.887711103126123,0,grid_0001_0000,"[{slope=1, mean=[4.928543256299467, 50.089928857599546], median=[3.0, 49.0], stdDev=[8.462862771452732, 12.067689801730364], min=[-19, 0], max=[81, 120], count=[1323, 1323], p10=[-1.0, 38.0], p25=[1.0, 42.0], p75=[6.0, 56.0], p90=[12.0, 63.0]}, {slope=2, mean=[3.5741010514776943, 47.73501391873766], median=[1.0, 46.0], stdDev=[9.423473121378015, 15.425487039665866], min=[-21, 0], max=[125, 138], count=[2176, 2176], p10=[-2.0, 36.0], p25=[0.0, 40.0], p75=[5.0, 54.0], p90=[11.0, 66.0]}, {slope=3, mean=[3.551045800746722, 49.864427040805715], median=[1.0, 48.0], stdDev=[10.599255179513309, 18.54573428164031], min=[-26, 0], max=[136, 155], count=[4345, 4345], p10=[-3.0, 36.0], p25=[-1.0, 40.0], p75=[5.0, 59.0], p90=[12.0, 72.0]}, {slope=4, mean=[3.7993026357358373, 53.69828129074937], median=[1.0, 53.0], stdDev=[11.925433810535644, 22.292363718228717], min=[-29, 0], max=[154, 170], count=[3704, 3704], p10=[-5.0, 24.0], p25=[-1.0, 42.0], p75=[6.0, 67.0], p90=[13.0, 80.0]}, {slope=5, mean=[7.518023698330216, 63.44479942868419], median=[2.551219512195122, 64.41772151898734], stdDev=[22.088124053693292, 28.67533450478428], min=[-22, 0], max=[373, 380], count=[2091, 2091], p10=[-5.612903225806452, 20.272727272727273], p25=[-1.341300191204589, 48.4117441454037], p75=[8.602409638554217, 78.48387096774194], p90=[24.60470631156512, 94.66666666666667]}]",1,Central1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,34.56144448436939,-4.887711103126123,0,grid_0002_0000,"[{slope=1, mean=[10.01273275191091, 51.623959726185966], median=[4.0, 46.5125], stdDev=[18.526699076743352, 26.023403042770177], min=[-14, 0], max=[132, 473], count=[788, 788], p10=[0.0, 36.5609756097561], p25=[1.0, 40.50909090909091], p75=[10.0, 54.480390477821544], p90=[25.0, 74.875]}, {slope=2, mean=[11.521336822813122, 54.31807980243539], median=[4.381818181818182, 48.57272727272727], stdDev=[24.12060983321033, 24.56556729166639], min=[-33, 0], max=[369, 471], count=[2022, 2022], p10=[-1.244290020949364, 36.59574468085106], p25=[0.5379193249639843, 40.467948717948715], p75=[10.35820895522388, 62.4468085106383], p90=[34.36363636363637, 80.36]}, {slope=3, mean=[13.65471597138956, 57.35229050960536], median=[4.325610555740892, 52.4915141578411], stdDev=[26.67655297783929, 26.198569281117376], min=[-33, 0], max=[403, 443], count=[4059, 4059], p10=[-3.344143016410116, 38.44275534441805], p25=[0.47355174712342935, 42.57429718875502], p75=[14.52112676056338, 68.51515151515152], p90=[46.5, 84.46808510638297]}, {slope=4, mean=[17.369961181982838, 62.28562147699362], median=[6.530748495842953, 60.489010989010985], stdDev=[29.385600092412638, 26.60548241545459], min=[-28, 0], max=[369, 471], count=[5103, 5103], p10=[-3.4074074074074074, 38.50585955522746], p25=[0.49428112543810027, 46.45728643216081], p75=[22.615384615384617, 74.3768115942029], p90=[60.78947368421053, 92.42553191489361]}, {slope=5, mean=[30.376119912835055, 73.90613917500652], median=[14.571428571428571, 72.48071216617211], stdDev=[39.15906199885608, 30.681237339032098], min=[-29, 0], max=[390, 440], count=[8945, 8945], p10=[-3.4701605892411895, 44.521126760563384], p25=[2.585055394044158, 56.51156733344064], p75=[54.583333333333336, 88.4888888888889], p90=[90.48387096774194, 108.42574257425743]}]",2,Central1,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,34.78602227811714,-4.887711103126123,0,grid_0003_0000,"[{slope=1, mean=[10.421651541308686, 59.82555569736745], median=[3.0, 54.0], stdDev=[22.04272437139957, 24.21630228824067], min=[-11, 0], max=[159, 189], count=[585, 585], p10=[-1.0, 38.0], p25=[1.0, 44.0], p75=[9.0, 71.0], p90=[26.0, 92.0]}, {slope=2, mean=[8.915337410861456, 57.807127314267824], median=[3.0, 52.0], stdDev=[20.817085418154647, 25.334220963079915], min=[-17, 0], max=[215, 236], count=[2707, 2707], p10=[-1.0, 37.0], p25=[0.0, 42.0], p75=[8.0, 67.0], p90=[22.0, 88.0]}, {slope=3, mean=[10.298311424024158, 57.51253306554101], median=[2.5610417760992576, 52.51428571428571], stdDev=[22.182602460032946, 25.356350148724466], min=[-28, 0], max=[360, 510], count=[4285, 4285], p10=[-3.412280701754386, 36.54283728204831], p25=[0.5000649519355677, 42.46583013895544], p75=[10.456043956043956, 68.43478260869566], p90=[30.333333333333332, 86.54838709677419]}, {slope=4, mean=[13.829881200524676, 59.2810972115049], median=[4.0, 58.0], stdDev=[25.904685246698374, 25.711483366144446], min=[-28, 0], max=[166, 206], count=[3691, 3691], p10=[-4.0, 36.0], p25=[0.0, 45.0], p75=[16.0, 73.0], p90=[51.0, 89.0]}, {slope=5, mean=[30.398273592623397, 71.78341570849675], median=[12.488930165673027, 70.52732082642473], stdDev=[38.54593883092716, 28.94204085627458], min=[-27, 0], max=[254, 262], count=[5782, 5782], p10=[-3.4419921423619138, 42.5273799494524], p25=[0.5087761727143348, 56.48420987450462], p75=[54.5, 86.48214285714286], p90=[88.47731526874053, 106.45]}]",3,Central1,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,35.01060007186489,-4.887711103126123,0,grid_0004_0000,"[{slope=1, mean=[17.325928347730322, 61.33504835323674], median=[3.0, 50.0], stdDev=[36.41853922428153, 33.49772568686827], min=[-17, 0], max=[181, 185], count=[228, 228], p10=[-1.0, 36.0], p25=[1.0, 41.0], p75=[12.0, 66.0], p90=[57.0, 102.0]}, {slope=2, mean=[16.670937791852616, 59.41408923731212], median=[4.327873871115873, 50.4220467032967], stdDev=[34.65169422173688, 32.192014792460235], min=[-23, 0], max=[353, 380], count=[1291, 1291], p10=[-1.2792792792792793, 36.473684210526315], p25=[0.5302325581395348, 40.57], p75=[14.551724137931034, 68.48148148148148], p90=[60.4, 92.63636363636364]}, {slope=3, mean=[17.802119682751076, 60.91124768485668], median=[4.339437589841879, 53.40816326530612], stdDev=[35.35534446343058, 33.77047205848954], min=[-33, 0], max=[456, 518], count=[3237, 3237], p10=[-3.4550898203592815, 37.70866141732284], p25=[0.4751232699958526, 41.54016620498615], p75=[16.38095238095238, 69.5051479704598], p90=[66.0, 93.78378378378379]}, {slope=4, mean=[20.48837649697256, 64.53795252358026], median=[6.467826574621783, 60.46450258071046], stdDev=[37.39852290658963, 33.494610895408115], min=[-23, 0], max=[447, 460], count=[4752, 4752], p10=[-3.443502413861517, 38.52307692307692], p25=[0.5182857954507024, 46.482546341685854], p75=[24.58, 76.52837620303454], p90=[70.27762039660057, 98.61538461538461]}, {slope=5, mean=[33.73148436825126, 76.57962814604922], median=[12.58108108108108, 72.53156146179403], stdDev=[45.99912713497871, 36.75985504657944], min=[-31, 0], max=[449, 464], count=[8967, 8967], p10=[-3.382707898698075, 42.59959459459459], p25=[0.4855584193432808, 56.50199578035011], p75=[58.46282491735269, 92.48366013071896], p90=[100.62745098039215, 118.32692307692308]}]",4,Central1,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,35.23517786561265,-4.887711103126123,0,grid_0005_0000,"[{slope=1, mean=[27.13095238095238, 60.19047619047619], median=[13.0, 55.5], stdDev=[34.06358891205037, 26.017153769185303], min=[-8, 9], max=[156, 170], count=[84, 84], p10=[-1.0, 35.0], p25=[2.0, 41.5], p75=[48.0, 73.5], p90=[74.0, 87.0]}, {slope=2, mean=[26.266762438876153, 60.412257921927235], median=[12.0, 54.63636363636363], stdDev=[34.17739133631825, 34.94242916542804], min=[-17, 0], max=[209, 445], count=[284, 284], p10=[-1.0, 36.63636363636363], p25=[3.0, 42.2], p75=[46.0, 70.28571428571429], p90=[72.0, 94.5]}, {slope=3, mean=[26.493343272705953, 61.247084148236254], median=[10.4, 56.375], stdDev=[37.92682379640354, 30.47205985150702], min=[-23, 0], max=[358, 388], count=[937, 937], p10=[-1.2560080316245215, 36.65217391304348], p25=[0.5841584158415841, 42.53703703703704], p75=[42.55555555555556, 74.3913043478261], p90=[80.8, 94.7]}, {slope=4, mean=[29.44290860819839, 63.79935725162677], median=[12.5, 60.46736860053711], stdDev=[36.06276205762745, 26.846080274657723], min=[-18, 0], max=[358, 362], count=[2172, 2172], p10=[-1.356060606060606, 38.563380281690144], p25=[2.649827026170544, 46.4795918367347], p75=[52.78260869565217, 78.56], p90=[82.26086956521739, 96.65]}, {slope=5, mean=[43.46913693969179, 77.71513754337427], median=[29.529128668329, 73.4845171368189], stdDev=[46.379440222620225, 36.361023713937676], min=[-26, 0], max=[673, 673], count=[9548, 9548], p10=[-2.2849641079441465, 45.50778816199377], p25=[5.464895708832941, 57.627864939560595], p75=[73.54545454545455, 93.45991322003154], p90=[101.48666666666666, 117.67637328161543]}]",5,Central1,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,35.459755659360404,-4.887711103126123,0,grid_0006_0000,"[{slope=1, mean=[7.0, 33.0], median=[7.0, 33.0], stdDev=[0.0, 0.0], min=[7, 33], max=[7, 33], count=[1, 1], p10=[7.0, 33.0], p25=[7.0, 33.0], p75=[7.0, 33.0], p90=[7.0, 33.0]}, {slope=2, mean=[8.833333333333334, 50.666666666666664], median=[9.0, 45.5], stdDev=[5.814254514170802, 10.418999738725194], min=[0, 40], max=[18, 66], count=[6, 6], p10=[0.0, 40.0], p25=[4.0, 43.0], p75=[13.0, 64.0], p90=[18.0, 66.0]}, {slope=3, mean=[11.442037470725996, 56.58343091334895], median=[9.0, 58.0], stdDev=[16.55294535724685, 23.345781422006027], min=[-9, 0], max=[42, 91], count=[14, 14], p10=[-4.0, 34.0], p25=[-1.0, 45.0], p75=[19.0, 80.0], p90=[42.0, 84.0]}, {slope=4, mean=[7.275862068965517, 62.6551724137931], median=[0.0, 59.0], stdDev=[19.094856775878675, 20.34406778242224], min=[-9, 7], max=[79, 107], count=[29, 29], p10=[-7.0, 44.0], p25=[-2.0, 48.0], p75=[3.0, 76.0], p90=[45.0, 94.0]}, {slope=5, mean=[16.288509902546366, 62.55194907261866], median=[4.0, 63.5], stdDev=[31.537317577752233, 28.62352878315321], min=[-16, 1], max=[144, 147], count=[100, 100], p10=[-6.0, 23.0], p25=[-3.0, 45.0], p75=[16.0, 80.0], p90=[73.0, 96.0]}]",6,Central1,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,35.68433345310816,-4.887711103126123,0,grid_0007_0000,"[{slope=1, mean=[null, null], median=[null, null], stdDev=[null, null], min=[null, null], max=[null, null], count=[0, 0], p10=[null, null], p25=[null, null], p75=[null, null], p90=[null, null]}]",7,Central1,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,35.90891124685591,-4.887711103126123,0,grid_0008_0000,"[{slope=1, mean=[190.0, 215.0], median=[190.0, 215.0], stdDev=[0.0, 0.0], min=[190, 215], max=[190, 215], count=[2, 2], p10=[190.0, 215.0], p25=[190.0, 215.0], p75=[190.0, 215.0], p90=[190.0, 215.0]}]",8,Central1,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,36.13348904060366,-4.887711103126123,0,grid_0009_0000,"[{slope=1, mean=[null, null], median=[null, null], stdDev=[null, null], min=[null, null], max=[null, null], count=[0, 0], p10=[null, null], p25=[null, null], p75=[null, null], p90=[null, null]}]",9,Central1,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
