system:index,center_lat,center_lon,col,grid_id,groups,numeric_id,region,row,.geo
0,44.11228889687388,-9.887711103126122,0,grid_0000_0000,[],0,East2b,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,44.33686669062163,-9.887711103126122,0,grid_0001_0000,[],1,East2b,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,44.56144448436939,-9.887711103126122,0,grid_0002_0000,[],2,East2b,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,44.78602227811714,-9.887711103126122,0,grid_0003_0000,[],3,East2b,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,45.01060007186489,-9.887711103126122,0,grid_0004_0000,[],4,East2b,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,45.23517786561265,-9.887711103126122,0,grid_0005_0000,[],5,East2b,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,45.459755659360404,-9.887711103126122,0,grid_0006_0000,[],6,East2b,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,45.68433345310816,-9.887711103126122,0,grid_0007_0000,[],7,East2b,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,45.90891124685591,-9.887711103126122,0,grid_0008_0000,[],8,East2b,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,46.13348904060366,-9.887711103126122,0,grid_0009_0000,[],9,East2b,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,46.35806683435142,-9.887711103126122,0,grid_0010_0000,[],10,East2b,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,46.582644628099175,-9.887711103126122,0,grid_0011_0000,[],11,East2b,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,46.80722242184693,-9.887711103126122,0,grid_0012_0000,[],12,East2b,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,47.031800215594686,-9.887711103126122,0,grid_0013_0000,[],13,East2b,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,47.256378009342434,-9.887711103126122,0,grid_0014_0000,[],14,East2b,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,47.48095580309019,-9.887711103126122,0,grid_0015_0000,[],15,East2b,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,47.705533596837945,-9.887711103126122,0,grid_0016_0000,[],16,East2b,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,47.9301113905857,-9.887711103126122,0,grid_0017_0000,[],17,East2b,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,44.11228889687388,-9.66313330937837,1,grid_0000_0001,[],18,East2b,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,44.33686669062163,-9.66313330937837,1,grid_0001_0001,[],19,East2b,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,44.56144448436939,-9.66313330937837,1,grid_0002_0001,[],20,East2b,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,44.78602227811714,-9.66313330937837,1,grid_0003_0001,[],21,East2b,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,45.01060007186489,-9.66313330937837,1,grid_0004_0001,[],22,East2b,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,45.23517786561265,-9.66313330937837,1,grid_0005_0001,[],23,East2b,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,45.459755659360404,-9.66313330937837,1,grid_0006_0001,[],24,East2b,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,45.68433345310816,-9.66313330937837,1,grid_0007_0001,[],25,East2b,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,45.90891124685591,-9.66313330937837,1,grid_0008_0001,[],26,East2b,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,46.13348904060366,-9.66313330937837,1,grid_0009_0001,[],27,East2b,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,46.35806683435142,-9.66313330937837,1,grid_0010_0001,[],28,East2b,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,46.582644628099175,-9.66313330937837,1,grid_0011_0001,[],29,East2b,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,46.80722242184693,-9.66313330937837,1,grid_0012_0001,[],30,East2b,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,47.031800215594686,-9.66313330937837,1,grid_0013_0001,[],31,East2b,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,47.256378009342434,-9.66313330937837,1,grid_0014_0001,[],32,East2b,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
