system:index,center_lat,center_lon,col,grid_id,groups,numeric_id,region,row,.geo
0,48.11228889687388,-14.887711103126122,0,grid_0000_0000,[],0,East2c,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,48.33686669062163,-14.887711103126122,0,grid_0001_0000,[],1,East2c,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,48.56144448436939,-14.887711103126122,0,grid_0002_0000,[],2,East2c,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,48.78602227811714,-14.887711103126122,0,grid_0003_0000,[],3,East2c,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,49.01060007186489,-14.887711103126122,0,grid_0004_0000,[],4,East2c,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,49.23517786561265,-14.887711103126122,0,grid_0005_0000,[],5,East2c,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,49.459755659360404,-14.887711103126122,0,grid_0006_0000,[],6,East2c,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,49.68433345310816,-14.887711103126122,0,grid_0007_0000,[],7,East2c,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,49.90891124685591,-14.887711103126122,0,grid_0008_0000,[],8,East2c,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,50.13348904060366,-14.887711103126122,0,grid_0009_0000,[],9,East2c,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,50.35806683435142,-14.887711103126122,0,grid_0010_0000,[],10,East2c,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,50.582644628099175,-14.887711103126122,0,grid_0011_0000,[],11,East2c,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,50.80722242184693,-14.887711103126122,0,grid_0012_0000,[],12,East2c,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,51.031800215594686,-14.887711103126122,0,grid_0013_0000,[],13,East2c,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,51.256378009342434,-14.887711103126122,0,grid_0014_0000,[],14,East2c,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,51.48095580309019,-14.887711103126122,0,grid_0015_0000,[],15,East2c,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,51.705533596837945,-14.887711103126122,0,grid_0016_0000,[],16,East2c,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,51.9301113905857,-14.887711103126122,0,grid_0017_0000,[],17,East2c,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,48.11228889687388,-14.66313330937837,1,grid_0000_0001,[],18,East2c,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,48.33686669062163,-14.66313330937837,1,grid_0001_0001,[],19,East2c,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,48.56144448436939,-14.66313330937837,1,grid_0002_0001,[],20,East2c,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,48.78602227811714,-14.66313330937837,1,grid_0003_0001,[],21,East2c,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,49.01060007186489,-14.66313330937837,1,grid_0004_0001,[],22,East2c,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,49.23517786561265,-14.66313330937837,1,grid_0005_0001,[],23,East2c,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,49.459755659360404,-14.66313330937837,1,grid_0006_0001,[],24,East2c,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,49.68433345310816,-14.66313330937837,1,grid_0007_0001,[],25,East2c,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,49.90891124685591,-14.66313330937837,1,grid_0008_0001,[],26,East2c,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,50.13348904060366,-14.66313330937837,1,grid_0009_0001,[],27,East2c,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,50.35806683435142,-14.66313330937837,1,grid_0010_0001,[],28,East2c,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,50.582644628099175,-14.66313330937837,1,grid_0011_0001,[],29,East2c,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,50.80722242184693,-14.66313330937837,1,grid_0012_0001,[],30,East2c,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,51.031800215594686,-14.66313330937837,1,grid_0013_0001,[],31,East2c,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,51.256378009342434,-14.66313330937837,1,grid_0014_0001,[],32,East2c,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,51.48095580309019,-14.66313330937837,1,grid_0015_0001,[],33,East2c,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,51.705533596837945,-14.66313330937837,1,grid_0016_0001,[],34,East2c,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,51.9301113905857,-14.66313330937837,1,grid_0017_0001,[],35,East2c,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,48.11228889687388,-14.438555515630615,2,grid_0000_0002,[],36,East2c,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,48.33686669062163,-14.438555515630615,2,grid_0001_0002,[],37,East2c,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,48.56144448436939,-14.438555515630615,2,grid_0002_0002,[],38,East2c,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,48.78602227811714,-14.438555515630615,2,grid_0003_0002,[],39,East2c,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,49.01060007186489,-14.438555515630615,2,grid_0004_0002,[],40,East2c,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,49.23517786561265,-14.438555515630615,2,grid_0005_0002,[],41,East2c,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,49.459755659360404,-14.438555515630615,2,grid_0006_0002,[],42,East2c,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,49.68433345310816,-14.438555515630615,2,grid_0007_0002,[],43,East2c,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,49.90891124685591,-14.438555515630615,2,grid_0008_0002,[],44,East2c,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,50.13348904060366,-14.438555515630615,2,grid_0009_0002,[],45,East2c,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,50.35806683435142,-14.438555515630615,2,grid_0010_0002,[],46,East2c,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,50.582644628099175,-14.438555515630615,2,grid_0011_0002,[],47,East2c,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,50.80722242184693,-14.438555515630615,2,grid_0012_0002,[],48,East2c,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,51.031800215594686,-14.438555515630615,2,grid_0013_0002,[],49,East2c,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,51.256378009342434,-14.438555515630615,2,grid_0014_0002,[],50,East2c,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,51.48095580309019,-14.438555515630615,2,grid_0015_0002,[],51,East2c,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,51.705533596837945,-14.438555515630615,2,grid_0016_0002,[],52,East2c,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,51.9301113905857,-14.438555515630615,2,grid_0017_0002,[],53,East2c,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,48.11228889687388,-14.21397772188286,3,grid_0000_0003,[],54,East2c,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,48.33686669062163,-14.21397772188286,3,grid_0001_0003,[],55,East2c,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,48.56144448436939,-14.21397772188286,3,grid_0002_0003,[],56,East2c,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,48.78602227811714,-14.21397772188286,3,grid_0003_0003,[],57,East2c,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,49.01060007186489,-14.21397772188286,3,grid_0004_0003,[],58,East2c,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,49.23517786561265,-14.21397772188286,3,grid_0005_0003,[],59,East2c,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,49.459755659360404,-14.21397772188286,3,grid_0006_0003,[],60,East2c,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,49.68433345310816,-14.21397772188286,3,grid_0007_0003,[],61,East2c,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,49.90891124685591,-14.21397772188286,3,grid_0008_0003,[],62,East2c,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,50.13348904060366,-14.21397772188286,3,grid_0009_0003,[],63,East2c,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,50.35806683435142,-14.21397772188286,3,grid_0010_0003,[],64,East2c,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,50.582644628099175,-14.21397772188286,3,grid_0011_0003,[],65,East2c,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,50.80722242184693,-14.21397772188286,3,grid_0012_0003,[],66,East2c,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,51.031800215594686,-14.21397772188286,3,grid_0013_0003,[],67,East2c,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,51.256378009342434,-14.21397772188286,3,grid_0014_0003,[],68,East2c,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,51.48095580309019,-14.21397772188286,3,grid_0015_0003,[],69,East2c,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,51.705533596837945,-14.21397772188286,3,grid_0016_0003,[],70,East2c,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,51.9301113905857,-14.21397772188286,3,grid_0017_0003,[],71,East2c,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,48.11228889687388,-13.989399928135107,4,grid_0000_0004,[],72,East2c,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,48.33686669062163,-13.989399928135107,4,grid_0001_0004,[],73,East2c,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,48.56144448436939,-13.989399928135107,4,grid_0002_0004,[],74,East2c,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,48.78602227811714,-13.989399928135107,4,grid_0003_0004,[],75,East2c,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,49.01060007186489,-13.989399928135107,4,grid_0004_0004,[],76,East2c,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,49.23517786561265,-13.989399928135107,4,grid_0005_0004,[],77,East2c,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,49.459755659360404,-13.989399928135107,4,grid_0006_0004,[],78,East2c,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,49.68433345310816,-13.989399928135107,4,grid_0007_0004,[],79,East2c,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,49.90891124685591,-13.989399928135107,4,grid_0008_0004,[],80,East2c,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,50.13348904060366,-13.989399928135107,4,grid_0009_0004,[],81,East2c,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,50.35806683435142,-13.989399928135107,4,grid_0010_0004,[],82,East2c,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,50.582644628099175,-13.989399928135107,4,grid_0011_0004,[],83,East2c,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
