system:index,center_lat,center_lon,col,grid_id,groups,numeric_id,region,row,.geo
0,34.11228889687388,15.112288896873878,0,grid_0000_0000,[],0,East3,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,34.33686669062163,15.112288896873878,0,grid_0001_0000,[],1,East3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,34.56144448436939,15.112288896873878,0,grid_0002_0000,[],2,East3,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,34.78602227811714,15.112288896873878,0,grid_0003_0000,[],3,East3,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,35.01060007186489,15.112288896873878,0,grid_0004_0000,[],4,East3,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,35.23517786561265,15.112288896873878,0,grid_0005_0000,[],5,East3,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,35.459755659360404,15.112288896873878,0,grid_0006_0000,[],6,East3,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,35.68433345310816,15.112288896873878,0,grid_0007_0000,[],7,East3,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,35.90891124685591,15.112288896873878,0,grid_0008_0000,"[{slope=1, mean=[null, null], median=[null, null], stdDev=[null, null], min=[null, null], max=[null, null], count=[0, 0], p10=[null, null], p25=[null, null], p75=[null, null], p90=[null, null]}]",8,East3,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,36.13348904060366,15.112288896873878,0,grid_0009_0000,"[{slope=1, mean=[null, null], median=[null, null], stdDev=[null, null], min=[null, null], max=[null, null], count=[0, 0], p10=[null, null], p25=[null, null], p75=[null, null], p90=[null, null]}]",9,East3,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,36.35806683435142,15.112288896873878,0,grid_0010_0000,"[{slope=1, mean=[null, null], median=[null, null], stdDev=[null, null], min=[null, null], max=[null, null], count=[0, 0], p10=[null, null], p25=[null, null], p75=[null, null], p90=[null, null]}]",10,East3,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,36.582644628099175,15.112288896873878,0,grid_0011_0000,"[{slope=1, mean=[9.19473743903822, 46.768698580539336], median=[3.0, 42.0], stdDev=[17.964436527192532, 14.981154921359172], min=[-2, 31], max=[144, 143], count=[451, 451], p10=[0.0, 35.0], p25=[1.0, 38.0], p75=[9.0, 49.0], p90=[21.0, 65.0]}, {slope=2, mean=[14.81198135728089, 47.78117540070479], median=[4.0, 43.0], stdDev=[21.913559309994646, 13.609120591180975], min=[-1, 34], max=[89, 93], count=[35, 35], p10=[0.0, 36.0], p25=[1.0, 40.0], p75=[17.0, 48.0], p90=[56.0, 68.0]}, {slope=3, mean=[11.512386457473163, 48.62180016515276], median=[4.0, 41.0], stdDev=[23.657768280207666, 21.18962010041709], min=[-1, 32], max=[79, 96], count=[10, 10], p10=[-1.0, 32.0], p25=[2.0, 34.0], p75=[9.0, 54.0], p90=[37.0, 84.0]}, {slope=4, mean=[27.75, 71.75], median=[17.5, 71.0], stdDev=[32.19763190049852, 7.46240577829965], min=[-1, 62], max=[77, 83], count=[4, 4], p10=[-1.0, 62.0], p25=[-1.0, 66.5], p75=[56.5, 77.0], p90=[77.0, 83.0]}, {slope=5, mean=[null, null], median=[null, null], stdDev=[null, null], min=[null, null], max=[null, null], count=[0, 0], p10=[null, null], p25=[null, null], p75=[null, null], p90=[null, null]}]",11,East3,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
