system:index,center_lat,center_lon,col,grid_id,groups,numeric_id,region,row,.geo
0,48.11228889687388,30.112288896873878,0,grid_0000_0000,"[{slope=1, mean=[55.08789998018182, 103.35108717313027], median=[22.600361366622863, 104.42892596167104], stdDev=[59.7144717250248, 48.182289773517184], min=[-25, 0], max=[260, 304], count=[14308, 14308], p10=[0.5071083951747263, 42.49240121580547], p25=[4.375476614512986, 56.495145631067956], p75=[106.5042735042735, 142.54607072691553], p90=[148.5531914893617, 166.5187969924812]}, {slope=2, mean=[48.776152661551116, 96.32080458918898], median=[18.396825396825395, 92.65217391304348], stdDev=[56.49171469570665, 47.548812831705085], min=[-20, 0], max=[260, 267], count=[4136, 4136], p10=[0.5358649789029536, 40.618705035971225], p25=[2.584070796460177, 52.506493506493506], p75=[92.5, 134.4923076923077], p90=[136.3846153846154, 162.45454545454547]}, {slope=3, mean=[45.012110524367195, 92.39488298680801], median=[13.0, 80.0], stdDev=[57.54590372773383, 49.60389952184419], min=[-21, 0], max=[219, 249], count=[806, 806], p10=[0.0, 42.0], p25=[3.0, 49.0], p75=[82.0, 128.0], p90=[143.0, 166.0]}, {slope=4, mean=[23.68831168831169, 72.01298701298701], median=[7.0, 59.0], stdDev=[44.80644078824653, 40.828591174708926], min=[-21, 1], max=[183, 186], count=[77, 77], p10=[-3.0, 40.0], p25=[0.0, 46.0], p75=[18.0, 83.0], p90=[78.0, 138.0]}, {slope=5, mean=[15.192982456140351, 65.0], median=[9.0, 59.0], stdDev=[29.11106294592826, 31.156086955616953], min=[-27, 2], max=[158, 160], count=[57, 57], p10=[-4.0, 33.0], p25=[0.0, 48.0], p75=[18.0, 88.0], p90=[31.0, 103.0]}]",0,East6d,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,48.33686669062163,30.112288896873878,0,grid_0001_0000,"[{slope=1, mean=[49.89320376918911, 102.60955296630418], median=[14.636008618367894, 96.50642784919832], stdDev=[59.49348608929857, 50.207517285680495], min=[-32, 0], max=[291, 293], count=[11348, 11348], p10=[0.5484901436851413, 44.48658623849756], p25=[2.5359117762898777, 56.48806670661075], p75=[96.48648648648648, 140.53731343283582], p90=[140.625, 172.41975308641975]}, {slope=2, mean=[31.81574062081769, 83.79490334386075], median=[6.4548875107039985, 66.42318567389255], stdDev=[52.03492085796794, 47.74343616140412], min=[-29, 0], max=[275, 279], count=[2368, 2368], p10=[0.5648979189269158, 40.65555555555556], p25=[0.5648979189269158, 48.52157598499062], p75=[36.785714285714285, 110.41666666666667], p90=[118.5, 154.6]}, {slope=3, mean=[31.402127032108233, 83.52550963984223], median=[6.666666666666667, 68.0], stdDev=[54.23364908740387, 49.82584680709948], min=[-20, 1], max=[240, 245], count=[214, 214], p10=[-1.6153846153846154, 40.0], p25=[0.45478388585816193, 48.0], p75=[33.0, 97.0], p90=[138.5, 172.0]}, {slope=4, mean=[8.928571428571429, 54.25], median=[3.0, 48.0], stdDev=[24.108280396441994, 20.973835741568248], min=[-12, 12], max=[124, 125], count=[28, 28], p10=[-4.0, 36.0], p25=[0.5, 40.0], p75=[8.5, 62.0], p90=[23.0, 80.0]}, {slope=5, mean=[4.5, 63.5], median=[4.5, 63.5], stdDev=[1.5, 7.5], min=[3, 56], max=[6, 71], count=[2, 2], p10=[3.0, 56.0], p25=[3.0, 56.0], p75=[6.0, 71.0], p90=[6.0, 71.0]}]",1,East6d,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,48.56144448436939,30.112288896873878,0,grid_0002_0000,"[{slope=1, mean=[59.35838407469563, 116.2939152350041], median=[13.306923033906836, 105.45042565998796], stdDev=[73.09905446865643, 67.78170834565285], min=[-23, 0], max=[644, 662], count=[13474, 13474], p10=[1.6371743842807815, 45.44978784796551], p25=[1.6371743842807815, 61.47183023872679], p75=[109.39893708211898, 161.52945626954502], p90=[173.56039551042224, 197.47214792417728]}, {slope=2, mean=[56.41758188126978, 106.58284161539571], median=[17.604110641567424, 93.3], stdDev=[73.27163497560569, 62.7211205791621], min=[-22, 0], max=[656, 665], count=[2498, 2498], p10=[1.4462660944206007, 45.65549326016939], p25=[1.4462660944206007, 57.39252336448598], p75=[101.25, 149.48888888888888], p90=[169.8095238095238, 189.0690245293782]}, {slope=3, mean=[61.96534653465346, 108.34158415841584], median=[36.5, 95.75], stdDev=[67.3929204726313, 53.919422403637896], min=[-18, 0], max=[280, 282], count=[202, 202], p10=[0.45, 47.0], p25=[4.545454545454546, 64.28571428571429], p75=[116.66666666666667, 144.6], p90=[159.0, 184.0]}, {slope=4, mean=[35.90909090909091, 98.72727272727273], median=[24.0, 97.0], stdDev=[23.78867012773688, 33.158273091042695], min=[4, 38], max=[79, 141], count=[11, 11], p10=[11.0, 42.0], p25=[16.0, 89.0], p75=[57.0, 132.0], p90=[62.0, 141.0]}, {slope=5, mean=[null, null], median=[null, null], stdDev=[null, null], min=[null, null], max=[null, null], count=[0, 0], p10=[null, null], p25=[null, null], p75=[null, null], p90=[null, null]}]",2,East6d,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,48.78602227811714,30.112288896873878,0,grid_0003_0000,"[{slope=1, mean=[67.87963855351312, 118.02134587287813], median=[14.597609561752988, 100.40860215053763], stdDev=[84.01772367761562, 69.57040339584489], min=[-25, 0], max=[392, 448], count=[15463, 15463], p10=[0.4654694353345145, 42.47472433051697], p25=[2.621491503592299, 56.50186235232378], p75=[130.7462686567164, 170.4111111111111], p90=[208.53191489361703, 222.39743589743588]}, {slope=2, mean=[70.38828735427313, 121.18736649773095], median=[24.6, 110.5], stdDev=[81.14433706989684, 65.62595282463819], min=[-22, 0], max=[319, 360], count=[4209, 4209], p10=[0.5393226725401145, 46.54453677098702], p25=[4.299295774647887, 62.51063829787234], p75=[132.61111111111111, 172.45], p90=[198.42105263157896, 214.44444444444446]}, {slope=3, mean=[73.74125447991655, 123.34493549953007], median=[41.0, 114.46153846153847], stdDev=[78.55570826206086, 61.57386230691218], min=[-18, 0], max=[279, 283], count=[760, 760], p10=[0.49122807017543857, 48.15384615384615], p25=[4.408163265306122, 70.6875], p75=[134.0, 170.5], p90=[198.57142857142858, 212.25]}, {slope=4, mean=[79.83333333333333, 127.74444444444444], median=[27.75, 114.0], stdDev=[86.35665708109724, 64.18299551735059], min=[-3, 37], max=[263, 266], count=[90, 90], p10=[1.7, 52.0], p25=[6.545454545454546, 73.0], p75=[165.0, 179.0], p90=[217.0, 225.0]}, {slope=5, mean=[8.25, 96.25], median=[6.5, 84.0], stdDev=[7.660776723022281, 58.8573487340366], min=[1, 40], max=[19, 177], count=[4, 4], p10=[1.0, 40.0], p25=[1.0, 40.0], p75=[15.5, 152.5], p90=[19.0, 177.0]}]",3,East6d,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,49.01060007186489,30.112288896873878,0,grid_0004_0000,"[{slope=1, mean=[41.02343804620802, 98.39224324963185], median=[6.4464066339066335, 84.48484848484848], stdDev=[63.96875968302447, 54.015229313105486], min=[-20, 0], max=[299, 300], count=[3541, 3541], p10=[0.5214521452145214, 42.51960784313726], p25=[2.546728971962617, 52.54], p75=[54.38461538461539, 136.52], p90=[152.36363636363637, 178.7538015930485]}, {slope=2, mean=[44.82351952237631, 99.98533258977996], median=[8.536585365853659, 82.125], stdDev=[67.1151431942769, 57.183044296755064], min=[-22, 0], max=[278, 279], count=[958, 958], p10=[0.5906040268456376, 42.56], p25=[2.4444444444444446, 54.69565217391305], p75=[76.75, 138.7], p90=[165.0, 190.4]}, {slope=3, mean=[49.284615384615385, 103.42307692307692], median=[6.636363636363637, 83.0], stdDev=[68.76886981491917, 58.914392310383505], min=[-5, 35], max=[271, 274], count=[130, 130], p10=[-1.3571428571428572, 44.0], p25=[2.3333333333333335, 57.0], p75=[76.0, 147.0], p90=[173.5, 199.5]}, {slope=4, mean=[40.84615384615385, 96.92307692307692], median=[20.0, 76.0], stdDev=[51.6613918539176, 47.861115642372404], min=[-5, 45], max=[152, 181], count=[13, 13], p10=[-1.0, 45.0], p25=[5.0, 58.0], p75=[44.0, 131.0], p90=[152.0, 181.0]}, {slope=5, mean=[31.0, 89.0], median=[31.0, 89.0], stdDev=[0.0, 0.0], min=[31, 89], max=[31, 89], count=[1, 1], p10=[31.0, 89.0], p25=[31.0, 89.0], p75=[31.0, 89.0], p90=[31.0, 89.0]}]",4,East6d,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,49.23517786561265,30.112288896873878,0,grid_0005_0000,"[{slope=1, mean=[42.88747119854028, 98.62592480987708], median=[8.529411764705882, 78.515625], stdDev=[64.81014065657871, 57.4410123153074], min=[-21, 0], max=[286, 292], count=[4718, 4718], p10=[0.5174563591022444, 42.51332217497512], p25=[2.5807860262008733, 50.4264705882353], p75=[62.6, 140.30397350993377], p90=[158.11111111111111, 188.375]}, {slope=2, mean=[52.557300187662406, 106.29115640939273], median=[10.409090909090908, 90.25], stdDev=[69.8209077681043, 59.566599766604696], min=[-18, 0], max=[292, 308], count=[1312, 1312], p10=[0.44549763033175355, 44.45], p25=[2.5659574468085107, 56.56410256410256], p75=[98.77777777777777, 152.85714285714286], p90=[172.53846153846155, 194.74452554744522]}, {slope=3, mean=[56.439872011376764, 105.15385299084525], median=[17.0, 94.6], stdDev=[67.56437386821253, 56.657077278348005], min=[-13, 0], max=[263, 268], count=[221, 221], p10=[0.6666666666666666, 44.857142857142854], p25=[4.833333333333333, 56.42857142857143], p75=[106.33333333333333, 142.33333333333334], p90=[162.66666666666666, 186.33333333333334]}, {slope=4, mean=[91.33333333333333, 131.73333333333332], median=[93.0, 112.0], stdDev=[66.98125774340825, 59.17484450526441], min=[1, 70], max=[255, 283], count=[15, 15], p10=[2.0, 82.0], p25=[53.0, 98.0], p75=[130.0, 145.0], p90=[176.0, 260.0]}, {slope=5, mean=[null, null], median=[null, null], stdDev=[null, null], min=[null, null], max=[null, null], count=[0, 0], p10=[null, null], p25=[null, null], p75=[null, null], p90=[null, null]}]",5,East6d,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,49.459755659360404,30.112288896873878,0,grid_0006_0000,"[{slope=1, mean=[42.853636811561195, 104.00533680249707], median=[6.471337579617835, 88.67948717948718], stdDev=[65.8757679654586, 59.89371747453799], min=[-23, 0], max=[408, 418], count=[6756, 6756], p10=[0.5181297709923665, 42.51184834123223], p25=[2.5622294170336644, 54.544117647058826], p75=[66.61904761904762, 142.6122448979592], p90=[154.3, 190.49232551404575]}, {slope=2, mean=[48.14829704732009, 112.84831495252321], median=[10.435185185185185, 102.55555555555556], stdDev=[67.4528067980714, 61.711450070309304], min=[-33, 0], max=[420, 442], count=[2808, 2808], p10=[0.5074183976261127, 42.411764705882355], p25=[2.5681663436861677, 58.496200607902736], p75=[84.55555555555556, 160.40740740740742], p90=[158.4, 198.52941176470588]}, {slope=3, mean=[55.52369689187855, 122.04309990798838], median=[12.25, 112.5], stdDev=[72.0165611359461, 63.68314458519292], min=[-13, 0], max=[316, 357], count=[755, 755], p10=[0.5454545454545454, 44.42857142857143], p25=[4.34, 64.375], p75=[102.44444444444444, 176.28571428571428], p90=[182.0, 204.33333333333334]}, {slope=4, mean=[42.270833333333336, 109.33333333333333], median=[11.5, 89.5], stdDev=[65.59622054132049, 64.46359868604571], min=[-11, 3], max=[210, 248], count=[48, 48], p10=[-1.0, 48.0], p25=[3.0, 60.0], p75=[41.0, 155.5], p90=[180.0, 215.0]}, {slope=5, mean=[8.666666666666666, 81.0], median=[6.0, 88.0], stdDev=[7.586537784494028, 30.21037349432586], min=[1, 41], max=[19, 114], count=[3, 3], p10=[1.0, 41.0], p25=[1.0, 41.0], p75=[19.0, 114.0], p90=[19.0, 114.0]}]",6,East6d,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,49.68433345310816,30.112288896873878,0,grid_0007_0000,"[{slope=1, mean=[62.891954308623205, 115.29887120800058], median=[29.5963998809878, 105.5], stdDev=[70.96570502563016, 62.97854104805556], min=[-23, 0], max=[542, 562], count=[19509, 19509], p10=[1.4841922168748536, 45.413069486983154], p25=[5.297486349797449, 61.449986742675335], p75=[113.55416934964585, 161.5689223057644], p90=[165.41553867534788, 193.35194455140547]}, {slope=2, mean=[57.271567319091545, 110.84676505346954], median=[16.492537313432837, 96.65602517985612], stdDev=[71.18932377518742, 62.692756811005815], min=[-31, 0], max=[438, 459], count=[4221, 4221], p10=[0.5415730337078651, 42.58974358974359], p25=[4.401679263551888, 56.50684931506849], p75=[104.55555555555556, 160.3421052631579], p90=[172.6315789473684, 200.47368421052633]}, {slope=3, mean=[63.981270100638966, 115.021213995948], median=[24.923076923076923, 102.25], stdDev=[71.96344205287662, 60.52710117255377], min=[-31, 0], max=[284, 292], count=[831, 831], p10=[0.68, 44.421052631578945], p25=[6.444444444444445, 62.666666666666664], p75=[114.0, 164.71428571428572], p90=[182.75, 200.6]}, {slope=4, mean=[61.64601769911504, 115.070796460177], median=[30.0, 104.0], stdDev=[70.08678821555007, 58.82292563942719], min=[-6, 41], max=[236, 240], count=[113, 113], p10=[0.0, 49.0], p25=[5.0, 61.0], p75=[107.0, 160.0], p90=[188.0, 208.0]}, {slope=5, mean=[55.666666666666664, 103.47619047619048], median=[63.0, 115.0], stdDev=[45.94337439494024, 40.93155616696529], min=[2, 42], max=[176, 192], count=[21, 21], p10=[11.0, 42.0], p25=[12.0, 76.0], p75=[97.0, 121.0], p90=[109.0, 140.0]}]",7,East6d,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,49.90891124685591,30.112288896873878,0,grid_0008_0000,"[{slope=1, mean=[49.52053711557125, 104.6338783764503], median=[10.450424441472105, 90.53995723640251], stdDev=[65.66906085716968, 58.14452951166199], min=[-18, 0], max=[359, 373], count=[16140, 16140], p10=[0.5243370905531778, 40.493622993836574], p25=[2.5926981450618425, 52.530836644711776], p75=[92.68, 152.63309352517985], p90=[162.52238805970148, 190.46875]}, {slope=2, mean=[43.86740319077222, 99.62801537962198], median=[12.456140350877194, 86.34782608695652], stdDev=[58.955928388615376, 52.29075097364342], min=[-14, 0], max=[262, 268], count=[1576, 1576], p10=[0.522237768167557, 42.54545454545455], p25=[2.5083225356324133, 56.56521739130435], p75=[74.42857142857143, 136.35714285714286], p90=[142.875, 178.55555555555554]}, {slope=3, mean=[40.694139861529806, 89.44817305462617], median=[13.0, 78.0], stdDev=[56.032746385189675, 49.705856070231796], min=[-12, 0], max=[231, 241], count=[119, 119], p10=[0.0, 43.0], p25=[2.0, 48.0], p75=[72.0, 109.0], p90=[128.0, 170.0]}, {slope=4, mean=[5.714285714285714, 58.142857142857146], median=[4.0, 47.0], stdDev=[5.7498890849994595, 15.770030993977793], min=[-1, 41], max=[16, 85], count=[7, 7], p10=[-1.0, 41.0], p25=[1.0, 46.0], p75=[11.0, 74.0], p90=[16.0, 85.0]}, {slope=5, mean=[null, null], median=[null, null], stdDev=[null, null], min=[null, null], max=[null, null], count=[0, 0], p10=[null, null], p25=[null, null], p75=[null, null], p90=[null, null]}]",8,East6d,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,50.13348904060366,30.112288896873878,0,grid_0009_0000,"[{slope=1, mean=[49.805271391824434, 137.04320604003715], median=[13.455773187820698, 113.48262377333431], stdDev=[72.52623934083269, 86.74544526085135], min=[-19, 0], max=[529, 540], count=[25070, 25070], p10=[1.4333509247205904, 41.547855138827124], p25=[5.412717480484903, 53.43623350936933], p75=[69.4300553491546, 217.5242254309244], p90=[161.27868852459014, 257.6235896416323]}, {slope=2, mean=[54.46458288092404, 129.72285521345012], median=[21.5, 109.65573770491804], stdDev=[72.56335414662367, 79.86290813243313], min=[-19, 0], max=[504, 540], count=[4285, 4285], p10=[1.460388639760837, 41.539101964452755], p25=[5.420743639921722, 57.397260273972606], p75=[81.44067796610169, 197.43859649122808], p90=[165.4375, 241.6995650719304]}, {slope=3, mean=[52.738085578598195, 117.10316683769658], median=[26.6, 94.57142857142857], stdDev=[66.38951757677664, 72.97542629274527], min=[-12, 1], max=[438, 444], count=[825, 825], p10=[0.3888888888888889, 44.6], p25=[6.564102564102564, 58.208333333333336], p75=[72.42857142857143, 162.5], p90=[154.0, 232.4]}, {slope=4, mean=[34.53825463239689, 110.78989838613269], median=[19.0, 97.0], stdDev=[39.347061268748966, 66.11150562035526], min=[-19, 0], max=[145, 278], count=[66, 66], p10=[0.0, 42.0], p25=[5.0, 63.0], p75=[52.0, 136.0], p90=[105.0, 232.0]}, {slope=5, mean=[16.0, 100.0], median=[16.0, 100.0], stdDev=[0.0, 0.0], min=[16, 100], max=[16, 100], count=[1, 1], p10=[16.0, 100.0], p25=[16.0, 100.0], p75=[16.0, 100.0], p90=[16.0, 100.0]}]",9,East6d,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
