grid_id,numeric_id,row,col,center_lon,center_lat,region,rh50_x10_mean,rh50_x10_median,rh50_x10_stdDev,rh50_x10_min,rh50_x10_max,rh50_x10_count,rh50_x10_p10,rh50_x10_p25,rh50_x10_p75,rh50_x10_p90,rh_non_ground50_x10_mean,rh_non_ground50_x10_median,rh_non_ground50_x10_stdDev,rh_non_ground50_x10_min,rh_non_ground50_x10_max,rh_non_ground50_x10_count,rh_non_ground50_x10_p10,rh_non_ground50_x10_p25,rh_non_ground50_x10_p75,rh_non_ground50_x10_p90
grid_0031_0017,643,31,17,-11.069888609414303,51.07420050305426,West4,33.642857142857146,35.5,12.5732547374925,15,55,14,15.0,23.0,36.0,52.0,56.142857142857146,56.0,14.381819589115883,31,73,14,31.0,44.0,70.0,73.0
grid_0032_0017,644,32,17,-11.069888609414303,51.29877829680201,West4,366.6923076923077,183.0,345.25896292390433,15,858,13,18.0,18.0,705.0,858.0,647.6923076923077,660.0,164.9705729541738,416,879,13,441.0,523.0,823.0,826.0
grid_0034_0017,646,34,17,-11.069888609414303,51.747933884297524,West4,48.75,44.0,18.046814123273947,32,75,4,32.0,32.0,65.5,75.0,56.5,54.5,18.714967272212903,38,79,4,38.0,38.0,75.0,79.0
grid_0031_0018,679,31,18,-10.845310815666547,51.07420050305426,West4,61.935064935064936,60.0,32.99600041183176,-4,190,77,17.0,41.0,81.0,97.0,77.07792207792208,75.0,28.157150015243754,31,192,77,48.0,54.0,92.0,106.0
grid_0032_0018,680,32,18,-10.845310815666547,51.29877829680201,West4,279.8666666666667,54.0,381.19117979769095,9,1041,30,14.5,32.0,552.0,1032.0,252.16666666666666,63.0,328.84019252856274,30,959,30,35.0,39.0,339.0,869.0
grid_0034_0018,682,34,18,-10.845310815666547,51.747933884297524,West4,91.37404580152672,84.28571428571429,52.35847312574128,-7,403,262,32.0,59.0,116.66666666666667,152.6,105.48091603053435,98.25,45.59828762437677,30,404,262,60.55555555555556,76.4,126.5,158.0
grid_0035_0018,683,35,18,-10.845310815666547,51.97251167804528,West4,68.0,68.0,0.0,68,68,2,68.0,68.0,68.0,68.0,72.0,72.0,0.0,72,72,2,72.0,72.0,72.0,72.0
grid_0031_0019,715,31,19,-10.620733021918792,51.07420050305426,West4,70.4054054054054,67.5,24.313781499009817,18,130,74,31.0,59.0,86.0,100.0,84.43243243243244,82.5,21.6595781703085,41,141,74,57.0,72.0,103.0,110.0
grid_0032_0019,716,32,19,-10.620733021918792,51.29877829680201,West4,620.5280898876405,728.0,368.8659843079835,-1,1149,89,8.0,424.0,907.0,1019.0,701.9101123595506,804.0,284.57157392167096,49,1153,89,234.0,514.0,920.0,1007.0
grid_0033_0019,717,33,19,-10.620733021918792,51.52335609054977,West4,69.85714285714286,75.0,22.743467328497854,34,110,7,34.0,55.0,85.0,110.0,83.28571428571429,83.0,20.373051428045727,57,119,7,57.0,68.0,105.0,119.0
grid_0034_0019,718,34,19,-10.620733021918792,51.747933884297524,West4,102.36952410967537,86.0,78.80894075776585,1,449,252,18.5,47.0,134.25,203.0,124.97462968799243,104.66666666666667,76.4131958853769,32,444,252,49.0,72.5,156.5,230.0
grid_0035_0019,719,35,19,-10.620733021918792,51.97251167804528,West4,56.63636363636363,4.0,78.16564314706969,-6,215,11,-1.0,-1.0,108.0,191.0,92.54545454545455,51.0,64.61123408702186,42,224,11,43.0,47.0,132.0,211.0
grid_0031_0020,751,31,20,-10.39615522817104,51.07420050305426,West4,47.70967741935484,39.0,31.86584130117116,10,127,31,13.0,19.0,69.0,84.0,67.29032258064517,69.0,27.20317053199343,30,138,31,39.0,44.0,77.0,103.0
grid_0032_0020,752,32,20,-10.39615522817104,51.29877829680201,West4,343.8965517241379,349.0,285.01946029478427,6,775,29,11.0,66.0,624.0,768.0,524.8275862068965,598.0,276.64954414110997,77,912,29,84.0,314.0,735.0,862.0
grid_0033_0020,753,33,20,-10.39615522817104,51.52335609054977,West4,57.78260869565217,46.0,40.2426947426639,17,149,23,18.0,28.0,104.0,107.0,74.8695652173913,58.0,36.32498762419501,29,161,23,45.0,49.0,110.0,111.0
grid_0034_0020,754,34,20,-10.39615522817104,51.747933884297524,West4,29.997454229561868,10.467289719626168,41.18490322207059,-15,493,3126,0.5049180327868853,2.6553234627851965,52.507936507936506,78.30555555555556,58.02167990676822,48.36538461538461,35.72918597134051,0,492,3126,34.52713178294574,38.47280334728033,64.37509776317847,86.46428571428571
grid_0035_0020,755,35,20,-10.39615522817104,51.97251167804528,West4,17.843882171468376,6.4,32.27352220534933,-6,326,158,-1.1666666666666667,0.5172413793103449,26.5,48.5,49.49014778325123,44.6,27.739680340735454,13,338,158,34.333333333333336,38.5625,54.714285714285715,69.0
grid_0031_0021,787,31,21,-10.171577434423284,51.07420050305426,West4,37.476190476190474,31.0,26.227246914718737,13,120,21,14.0,22.0,33.0,63.0,60.0,51.0,22.77007225452283,31,130,21,36.0,48.0,72.0,77.0
grid_0032_0021,788,32,21,-10.171577434423284,51.29877829680201,West4,35.42857142857143,30.5,25.902879833591275,0,88,14,0.0,23.0,40.0,88.0,69.71428571428571,63.5,29.141106389988924,39,123,14,39.0,40.0,99.0,123.0
