ADM0_NAME,ADM1_NAME,ADM2_NAME,ADM0_CODE,ADM1_CODE,ADM2_CODE,rh50_x10_mean,rh50_x10_median,rh50_x10_stdDev,rh50_x10_min,rh50_x10_max,rh50_x10_count,rh50_x10_p10,rh50_x10_p25,rh50_x10_p75,rh50_x10_p90,rh_non_ground50_x10_mean,rh_non_ground50_x10_median,rh_non_ground50_x10_stdDev,rh_non_ground50_x10_min,rh_non_ground50_x10_max,rh_non_ground50_x10_count,rh_non_ground50_x10_p10,rh_non_ground50_x10_p25,rh_non_ground50_x10_p75,rh_non_ground50_x10_p90
Italy,Toscana,Firenze,122,1631,18400,53.25629970616056,33.57018140074422,57.8450029075784,-27,855,225809,1.493655628567335,5.391487067283515,89.48087515421659,133.5042370579608,88.65893327077559,77.46867698763747,48.574560485730885,0,882,225809,41.513140071056505,53.48193978941836,113.48919077037196,149.45730062119597
Italy,Toscana,Prato,122,1631,18407,60.119852220544416,41.49676325749273,60.506797253878574,-25,540,16786,1.493569237071432,9.492452006073338,97.574194216302,145.48781021897807,95.30150175574437,85.4516087893589,49.70595502442572,0,577,16786,41.55427111645105,57.50453967677502,121.41870045890697,161.56338837042355
Italy,Calabria,Catanzaro,122,1618,18323,60.74900270773057,33.53957059878617,68.10518956868584,-37,824,207788,1.5280586316276816,5.396063300477019,101.49030907229425,161.5163906383409,98.36094255578767,81.51899081069857,60.817088239263015,0,907,207788,41.48248218489915,53.456793799426485,129.53398201385818,185.4481776719568
Italy,Calabria,Crotone,122,1618,18325,37.160251291032225,10.918176964444072,55.016627818253035,-317,823,101504,-2.835681335818781,2.8899881114536092,59.56847341965175,115.4027700831025,78.17769429036763,61.45420602919346,49.74427192264262,0,933,101504,37.69199717639159,45.399728146671336,97.48080516714407,149.43955133327415
Italy,Calabria,Vibo Valentia,122,1618,18327,53.34020675568538,25.522754675920478,64.45458297631691,-28,815,89624,1.5551426495156315,5.4132591153139105,85.46063540311059,145.47058298565406,89.63555519973299,69.45722909509242,57.37940963478322,0,846,89624,41.56884335529741,49.472833117723155,109.46357196212787,173.56697911630297
Italy,Emilia-romagna,Forli',122,1620,18336,50.1565834135658,25.539227206852843,60.280201412182166,-27,811,125566,1.4092892611726942,5.358004206157013,85.40968629004735,129.48838666838313,85.89917570330698,73.48402589633086,50.83926655094505,0,816,125566,41.484087770153494,53.47587558151959,105.44286431547093,141.45548679236393
Italy,Emilia-romagna,Rimini,122,1620,18342,20.546948622740576,5.3410577478411545,36.07131474721884,-27,749,26996,1.4012700379144882,1.4012700379144882,21.540859813084115,65.34814814814816,66.79320324664143,57.51325321762871,35.085477644259214,0,774,26996,37.680741026177685,45.38361786526475,81.45621474220815,105.44543399110471
Italy,Abruzzi,Chieti,122,1616,18317,34.34681257082732,9.421166285311587,46.345441023439676,-34,663,148736,1.461801651874469,1.461801651874469,57.59083612016003,105.4830513289622,72.43402846572845,61.48702850104495,38.359925020654245,0,756,148736,37.657593561662985,45.43712120209672,89.46403511105723,121.46516992498547
Italy,Abruzzi,L'Aquila,122,1616,18318,49.53171240334711,21.50022804983766,60.40821555623228,-38,921,197776,1.3656762016569441,1.3656762016569441,85.50091113968504,137.4338615272847,88.82782621934379,73.48942981216817,52.40324792864465,0,934,197776,41.525095674448224,53.49282041012592,113.48850434719435,157.52064577493218
Italy,Abruzzi,Pescara,122,1616,18319,30.41283080530636,9.397429403230507,44.552815534107594,-32,484,48238,1.4632117414425418,1.4632117414425418,45.4325545785411,97.5136130300291,70.02105707059486,61.465215449507895,37.47169327231029,0,541,48238,37.655677189538956,45.42813266865247,85.46055166660518,117.4676658340272
